actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-10-22T23:46:33.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-22T23:46:33Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-10-22T23:46:36.5Z,1,REGULAR,jumpball,recovered,[],203552,,,1610612755,0,0,2021-10-22T23:46:36Z,40000,,,0,,Jump Ball J. Embiid vs. N. Claxton: Tip to S. Curry,"[203552, 203954, 1629651]",1610612755.0,PHI,startperiod,S. Curry,203552.0,Curry,S. Curry,Embiid,203954.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2021-10-22T23:46:44.7Z,1,REGULAR,3pt,Jump Shot,[],203552,28.991458607095925,24.264705882352942,1610612755,3,0,2021-10-22T23:46:50Z,70000,129.0,220.0,1,left,S. Curry 25' 3PT  (3 PTS) (J. Embiid 1 AST),"[203552, 203954]",1610612755.0,PHI,,,,Curry,S. Curry,,,,,25.49,Made,3.0,J. Embiid,203954.0,1.0,,,,,,,,,,,,,,
9,PT11M31.00S,2021-10-22T23:47:06.1Z,1,REGULAR,foul,personal,[],201980,,,1610612751,3,0,2021-10-22T23:47:20Z,90000,,,0,,D. Green personal FOUL (1 PF),"[201980, 1629651]",1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,201245.0,1.0,0.0,Claxton,1629651.0,,,,,,,,,
11,PT11M25.00S,2021-10-22T23:47:25.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629651,93.11760840998686,48.77450980392157,1610612751,3,2,2021-10-22T23:47:31Z,110000,-6.0,12.0,1,right,N. Claxton alley-oop DUNK (2 PTS) (J. Harden 1 AST),"[1629651, 201935]",1610612751.0,BKN,alley-oop,,,Claxton,N. Claxton,,,,,1.36,Made,2.0,J. Harden,201935.0,1.0,,,,,,,,,,,,,,
13,PT11M12.00S,2021-10-22T23:47:37.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,4.812746386333772,52.20588235294118,1610612755,3,2,2021-10-22T23:47:44Z,130000,-11.0,-7.0,1,left,MISS T. Harris driving Layup - blocked,"[202699, 201933]",1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,1.32,Missed,,,,,,,,,,Griffin,201933.0,,,,,,,
14,PT11M12.00S,2021-10-22T23:47:37.6Z,1,REGULAR,block,,[],201933,,,1610612755,3,2,2021-10-22T23:49:45Z,140000,,,0,,B. Griffin BLOCK (1 BLK),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M10.00S,2021-10-22T23:47:39.6Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,3,2,2021-10-22T23:47:44Z,150000,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,
16,PT11M06.00S,2021-10-22T23:47:44.4Z,1,REGULAR,3pt,Jump Shot,[],201142,69.33311432325887,68.38235294117648,1610612751,3,2,2021-10-22T23:47:53Z,160000,92.0,236.0,1,right,MISS K. Durant 25' pullup 3PT,[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,25.31,Missed,,,,,,,,,,,,,,,,,,
17,PT11M03.00S,2021-10-22T23:47:47.4Z,1,REGULAR,rebound,defensive,[],201980,,,1610612755,3,2,2021-10-22T23:47:53Z,170000,,,0,,D. Green REBOUND (Off:0 Def:1),[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,
18,PT11M00.00S,2021-10-22T23:47:50.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201980,29.911300919842315,33.088235294117645,1610612755,6,2,2021-10-22T23:48:02Z,180000,85.0,229.0,1,left,D. Green 24' 3PT running (3 PTS),[201980],1610612755.0,PHI,running,,,Green,D. Green,,,,,24.38,Made,3.0,,,,,,,,,,,,,,,,,
19,PT10M41.00S,2021-10-22T23:48:09.4Z,1,REGULAR,3pt,Jump Shot,[],201935,90.48948751642575,3.1862745098039214,1610612751,6,2,2021-10-22T23:48:17Z,190000,-234.0,37.0,1,right,MISS J. Harden step back 3PT,[201935],1610612751.0,BKN,step back,,,Harden,J. Harden,,,,,23.7,Missed,,,,,,,,,,,,,,,,,,
20,PT10M37.00S,2021-10-22T23:48:13.4Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,6,2,2021-10-22T23:48:17Z,200000,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,19.0,1.0,1.0,0.0,,,
21,PT10M34.00S,2021-10-22T23:48:15.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201980,31.61957950065703,29.901960784313726,1610612755,9,2,2021-10-22T23:48:24Z,210000,100.0,245.0,1,left,D. Green 26' 3PT running pullup (6 PTS),[201980],1610612755.0,PHI,running pullup,,,Green,D. Green,,,,,26.45,Made,6.0,,,,,,,,,,,,,,,,,
23,PT10M18.00S,2021-10-22T23:48:31.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,89.83245729303549,35.78431372549019,1610612751,9,4,2021-10-22T23:48:38Z,230000,-71.0,43.0,1,right,K. Durant 8' driving floating bank Jump Shot (2 PTS),[201142],1610612751.0,BKN,driving floating bank,,,Durant,K. Durant,,,,,8.31,Made,2.0,,,,,,,,,,,,,,,,,
24,PT10M04.00S,2021-10-22T23:48:47.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,4.5499342969776615,56.61764705882353,1610612755,9,4,2021-10-22T23:48:56Z,240000,-33.0,-10.0,1,left,MISS T. Harris driving Layup - blocked,"[202699, 1629651]",1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,3.45,Missed,,,,,,,,,,Claxton,1629651.0,,,,,,,
25,PT10M04.00S,2021-10-22T23:48:47.5Z,1,REGULAR,block,,[],1629651,,,1610612755,9,4,2021-10-22T23:48:49Z,250000,,,0,,N. Claxton BLOCK (1 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,
26,PT10M04.00S,2021-10-22T23:48:47.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,9,4,2021-10-22T23:48:56Z,260000,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,
27,PT10M04.00S,2021-10-22T23:48:53.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,9,4,2021-10-22T23:48:53Z,270000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M59.00S,2021-10-22T23:49:04.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203954,8.886333771353483,27.696078431372552,1610612755,11,4,2021-10-22T23:49:12Z,280000,112.0,31.0,1,left,J. Embiid 11' fadeaway Jump Shot (2 PTS),[203954],1610612755.0,PHI,fadeaway,,,Embiid,J. Embiid,,,,,11.57,Made,2.0,,,,,,,,,,,,,,,,,
29,PT09M48.00S,2021-10-22T23:49:14.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201142,94.03745072273325,51.9607843137255,1610612751,11,6,2021-10-22T23:52:40Z,290000,10.0,4.0,1,right,K. Durant driving Layup (4 PTS) (J. Harden 2 AST),"[201142, 201935]",1610612751.0,BKN,driving,,,Durant,K. Durant,,,,,1.04,Made,4.0,J. Harden,201935.0,2.0,,,,,,,,,,,,,,
