actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-26T00:10:36.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-26T00:10:36Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-26T00:10:38.8Z,1,REGULAR,jumpball,recovered,[],202066,,,1610612740,0,0,2022-01-26T00:10:38Z,40000,,,0,,Jump Ball W. Hernangomez vs. J. Embiid: Tip to G. Temple,"[202066, 1626195, 203954]",1610612740.0,NOP,startperiod,G. Temple,202066.0,Temple,G. Temple,Hernangomez,1626195.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-01-26T00:10:53.5Z,1,REGULAR,2pt,Jump Shot,[],1629638,79.02431011826545,46.568627450980394,1610612740,0,0,2022-01-26T00:10:58Z,70000,-17.0,145.0,1,right,MISS N. Alexander-Walker 14' driving floating Shot,[1629638],1610612740.0,NOP,driving floating,,,Alexander-Walker,N. Alexander-Walker,,,,,14.57,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-01-26T00:10:55.4Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,0,0,2022-01-26T00:10:55Z,80000,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M33.00S,2022-01-26T00:11:02.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,3.5972404730617598,37.99019607843137,1610612755,2,0,2022-01-26T00:11:07Z,90000,60.0,-19.0,1,left,J. Embiid 6' pullup Jump Shot (2 PTS),[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,6.28,Made,,,,,2.0,,,,,,,,,,,,,,
10,PT11M11.00S,2022-01-26T00:11:24.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630529,94.79303547963207,49.50980392156863,1610612740,2,2,2022-01-26T00:11:30Z,100000,-2.0,-4.0,1,right,H. Jones driving DUNK (2 PTS) (N. Alexander-Walker 1 AST),"[1630529, 1629638]",1610612740.0,NOP,driving,,,Jones,H. Jones,,,,,0.44,Made,,,,,2.0,N. Alexander-Walker,1629638.0,1.0,,,,,,,,,,,
12,PT10M51.00S,2022-01-26T00:11:45.3Z,1,REGULAR,3pt,Jump Shot,[],203954,33.55781865965835,52.205882352941174,1610612755,2,2,2022-01-26T00:11:57Z,120000,-11.0,263.0,1,left,MISS J. Embiid 26' 3PT,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,26.31,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M48.00S,2022-01-26T00:11:48.3Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,2,2,2022-01-26T00:11:57Z,130000,,,0,,H. Jones REBOUND (Off:0 Def:1),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
14,PT10M38.00S,2022-01-26T00:11:58.0Z,1,REGULAR,2pt,Jump Shot,[],1629638,84.4119579500657,71.32352941176471,1610612740,2,2,2022-01-26T00:12:03Z,140000,107.0,94.0,1,right,MISS N. Alexander-Walker 14' pullup Shot,[1629638],1610612740.0,NOP,pullup,,,Alexander-Walker,N. Alexander-Walker,,,,,14.21,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M35.00S,2022-01-26T00:12:01.0Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,2,2,2022-01-26T00:12:03Z,150000,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
