actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-12-10T00:11:45.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-10T00:11:45Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-10T00:11:48.6Z,1,REGULAR,jumpball,recovered,[],1626220,,,1610612762,0,0,2021-12-10T00:11:48Z,40000,,,0,,Jump Ball R. Gobert vs. J. Embiid: Tip to R. O'Neale,"[1626220, 203497, 203954]",1610612762.0,UTA,startperiod,R. O'Neale,1626220.0,O'Neale,R. O'Neale,Gobert,203497.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-12-10T00:12:00.8Z,1,REGULAR,3pt,Jump Shot,[],201144,73.242444152431,86.27450980392157,1610612762,0,3,2021-12-10T00:12:07Z,70000,181.0,199.0,1,right,M. Conley 26' 3PT pullup (3 PTS),[201144],1610612762.0,UTA,pullup,,,Conley,M. Conley,,,,,26.93,Made,3.0,,,,,,,,,,,,,,,,,
8,PT11M27.00S,2021-12-10T00:12:16.5Z,1,REGULAR,2pt,Jump Shot,[],203954,21.73127463863338,39.70588235294118,1610612755,2,3,2021-12-10T00:12:21Z,80000,51.0,152.0,1,left,J. Embiid 16' pullup Jump Shot (2 PTS),[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,16.03,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M14.00S,2021-12-10T00:12:29.9Z,1,REGULAR,2pt,Jump Shot,[],202711,76.26478318002628,56.127450980392155,1610612762,2,3,2021-12-10T00:12:35Z,90000,31.0,171.0,1,right,MISS B. Bogdanovic 17' fadeaway Shot,[202711],1610612762.0,UTA,fadeaway,,,Bogdanovic,B. Bogdanovic,,,,,17.33,Missed,,,,,,,,,,,,,,,,,,
10,PT11M13.00S,2021-12-10T00:12:30.9Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,2,3,2021-12-10T00:12:35Z,100000,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT11M09.00S,2021-12-10T00:12:36.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203552,17.000657030223394,4.656862745098039,1610612755,2,3,2021-12-10T00:12:45Z,110000,227.0,107.0,1,left,MISS S. Curry 25' 3PT,[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,25.08,Missed,,,,,,,,,,,,,,,,,,
12,PT11M07.00S,2021-12-10T00:12:38.3Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612762,2,3,2021-12-10T00:13:00Z,120000,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT10M58.00S,2021-12-10T00:12:46.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,94.53022339027595,47.549019607843135,1610612762,2,5,2021-12-10T00:12:52Z,130000,-12.0,-1.0,1,right,R. Gobert cutting DUNK (2 PTS) (M. Conley 1 AST),"[203497, 201144]",1610612762.0,UTA,cutting,,,Gobert,R. Gobert,,,,,1.23,Made,2.0,,,,,M. Conley,201144.0,1.0,,,,,,,,,,
15,PT10M36.00S,2021-12-10T00:13:07.4Z,1,REGULAR,2pt,Jump Shot,[],203954,20.942838370565042,50.49019607843137,1610612755,4,5,2021-12-10T00:13:12Z,150000,-2.0,144.0,1,left,J. Embiid 14' pullup Jump Shot (4 PTS),[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,14.44,Made,4.0,,,,,,,,,,,,,,,,,
