actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-01-04T00:10:48.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-04T00:10:48Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M47.00S,2022-01-04T00:11:00.0Z,1,REGULAR,jumpball,recovered,[],1630224,,,1610612745,0,0,2022-01-04T00:11:00Z,40000,,,0,,Jump Ball D. Theis vs. J. Embiid: Tip to J. Green,"[1630224, 1628464, 203954]",1610612745.0,HOU,startperiod,J. Green,1630224.0,Green,J. Green,Theis,1628464.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-01-04T00:11:06.2Z,1,REGULAR,3pt,Jump Shot,[],1630224,36.711563731931676,51.22549019607843,1610612745,0,0,2022-01-04T00:11:15Z,70000,-6.0,293.0,1,left,MISS J. Green 29' pullup 3PT,[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,29.27,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-01-04T00:11:09.2Z,1,REGULAR,rebound,offensive,[],1628464,,,1610612745,0,0,2022-01-04T00:11:15Z,80000,,,0,,D. Theis REBOUND (Off:1 Def:0),[1628464],1610612745.0,HOU,,,,Theis,D. Theis,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M37.00S,2022-01-04T00:11:11.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629726,29.352825229960573,20.09803921568627,1610612745,0,0,2022-01-04T00:11:17Z,90000,150.0,223.0,1,left,MISS G. Mathews 26' 3PT,[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,26.88,Missed,,,,,,,,,,,,,,,,,,
10,PT11M32.00S,2022-01-04T00:11:16.1Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,0,0,2022-01-04T00:11:17Z,100000,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M16.00S,2022-01-04T00:11:31.8Z,1,REGULAR,2pt,Jump Shot,[],202699,72.32260183968462,51.22549019607843,1610612755,2,0,2022-01-04T00:11:35Z,110000,6.0,208.0,1,right,T. Harris 20' step back Jump Shot (2 PTS),[202699],1610612755.0,PHI,step back,,,Harris,T. Harris,,,,,20.78,Made,,,,,2.0,,,,,,,,,,,,,
12,PT11M08.00S,2022-01-04T00:11:41.3Z,1,REGULAR,foul,personal,['2freethrow'],202699,,,1610612745,2,0,2022-01-04T00:11:51Z,120000,,,0,,T. Harris shooting personal FOUL (1 PF) (Tate 2 FT),"[202699, 1630256]",1610612755.0,PHI,shooting,,,Harris,T. Harris,,,,,,,,,,,,1627961.0,1.0,0.0,Tate,1630256.0,,,,,,,,
14,PT11M08.00S,2022-01-04T00:12:08.3Z,1,REGULAR,freethrow,1 of 2,[],1630256,,,1610612745,2,0,2022-01-04T00:12:08Z,140000,,,0,,MISS J. Tate Free Throw 1 of 2,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,Missed,,,,,,,,,,,,,,,,,,
15,PT11M08.00S,2022-01-04T00:12:08.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612745,2,0,2022-01-04T00:12:08Z,150000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,
