actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-03-03T00:46:32.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-03T00:46:32Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-03-03T00:46:35.6Z,1,REGULAR,jumpball,recovered,[],203095,,,1610612752,0,0,2022-03-03T00:46:35Z,40000,,,0,,Jump Ball M. Robinson vs. J. Embiid: Tip to E. Fournier,"[203095, 1629011, 203954]",1610612752.0,NYK,startperiod,E. Fournier,203095.0,Fournier,E. Fournier,Robinson,1629011.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-03-03T00:46:48.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629011,93.38042049934296,46.07843137254902,1610612752,0,2,2022-03-03T00:46:52Z,70000,-20.0,10.0,1,right,M. Robinson Layup (2 PTS) (R. Barrett 1 AST),"[1629011, 1629628]",1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,2.19,Made,2.0,R. Barrett,1629628.0,1.0,,,,,,,,,,,,,,
9,PT11M21.00S,2022-03-03T00:47:09.8Z,1,REGULAR,2pt,Jump Shot,[],203954,8.623521681997373,65.93137254901961,1610612755,2,2,2022-03-03T00:47:15Z,90000,-80.0,29.0,1,left,J. Embiid 8' turnaround fadeaway Jump Shot (2 PTS),[203954],1610612755.0,PHI,turnaround fadeaway,,,Embiid,J. Embiid,,,,,8.47,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M06.00S,2022-03-03T00:47:25.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,82.86793692509855,47.549019607843135,1610612752,2,4,2022-03-03T00:47:30Z,100000,-12.0,109.0,1,right,J. Randle 10' turnaround fadeaway Jump Shot (2 PTS),[203944],1610612752.0,NYK,turnaround fadeaway,,,Randle,J. Randle,,,,,10.92,Made,2.0,,,,,,,,,,,,,,,,,
11,PT10M43.00S,2022-03-03T00:47:50.4Z,1,REGULAR,foul,personal,['2freethrow'],1629011,,,1610612755,2,4,2022-03-03T00:47:58Z,110000,,,0,,M. Robinson shooting personal FOUL (1 PF) (Embiid 2 FT),"[1629011, 203954]",1610612752.0,NYK,shooting,,,Robinson,M. Robinson,,,,,,,,,,,101283.0,1.0,0.0,Embiid,203954.0,,,,,,,,,
13,PT10M43.00S,2022-03-03T00:48:13.8Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,3,4,2022-03-03T00:48:13Z,130000,,,0,,J. Embiid Free Throw 1 of 2 (3 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
14,PT10M43.00S,2022-03-03T00:48:32.2Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,4,4,2022-03-03T00:48:32Z,140000,,,0,,J. Embiid Free Throw 2 of 2 (4 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
15,PT10M33.00S,2022-03-03T00:48:44.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,88.91261498028909,48.77450980392157,1610612752,4,4,2022-03-03T00:48:49Z,150000,-6.0,52.0,1,right,MISS R. Barrett driving Layup - blocked,"[1629628, 1629680]",1610612752.0,NYK,driving,,,Barrett,R. Barrett,,,,,5.21,Missed,,,,,,,,,,Thybulle,1629680.0,,,,,,,
16,PT10M33.00S,2022-03-03T00:48:44.1Z,1,REGULAR,block,,[],1629680,,,1610612752,4,4,2022-03-03T00:48:47Z,160000,,,0,,M. Thybulle BLOCK (1 BLK),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M33.00S,2022-03-03T00:48:44.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,4,4,2022-03-03T00:48:49Z,170000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,
18,PT10M33.00S,2022-03-03T00:48:49.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,4,4,2022-03-03T00:48:49Z,180000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M31.00S,2022-03-03T00:48:58.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629628,89.83245729303549,19.362745098039216,1610612752,4,4,2022-03-03T00:49:03Z,190000,-153.0,43.0,1,right,MISS R. Barrett 15' Jump Shot,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,15.91,Missed,,,,,,,,,,,,,,,,,,
20,PT10M28.00S,2022-03-03T00:49:01.0Z,1,REGULAR,rebound,defensive,[],201935,,,1610612755,4,4,2022-03-03T00:49:03Z,200000,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,19.0,1.0,1.0,0.0,,,
21,PT10M26.00S,2022-03-03T00:49:03.8Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612755,4,4,2022-03-03T00:49:08Z,210000,,,0,,J. Harden bad pass TURNOVER (1 TO),"[201935, 203095]",1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,1.0,Fournier,203095.0
22,PT10M26.00S,2022-03-03T00:49:03.8Z,1,REGULAR,steal,,[],203095,,,1610612752,4,4,2022-03-03T00:49:06Z,220000,,,0,,E. Fournier STEAL (1 STL),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M19.00S,2022-03-03T00:49:10.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629628,89.17542706964521,2.696078431372549,1610612752,4,7,2022-03-03T00:49:14Z,230000,-237.0,49.0,1,right,R. Barrett 24' 3PT  (3 PTS) (A. Burks 1 AST),"[1629628, 202692]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,24.16,Made,3.0,A. Burks,202692.0,1.0,,,,,,,,,,,,,,
25,PT10M06.00S,2022-03-03T00:49:23.4Z,1,REGULAR,3pt,Jump Shot,[],1630178,31.09395532194481,23.03921568627451,1610612755,4,7,2022-03-03T00:49:27Z,250000,135.0,240.0,1,left,MISS T. Maxey 27' 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,27.51,Missed,,,,,,,,,,,,,,,,,,
26,PT10M02.00S,2022-03-03T00:49:27.4Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,4,7,2022-03-03T00:49:27Z,260000,,,0,,M. Robinson REBOUND (Off:0 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,25.0,1.0,1.0,0.0,,,
27,PT09M46.00S,2022-03-03T00:49:47.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,4,7,2022-03-03T00:49:47Z,270000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M45.00S,2022-03-03T00:50:01.2Z,1,REGULAR,foul,personal,['2freethrow'],1629680,,,1610612752,4,7,2022-03-03T00:50:12Z,280000,,,0,,M. Thybulle shooting personal FOUL (1 PF) (Barrett 2 FT),"[1629680, 1629628]",1610612755.0,PHI,shooting,,,Thybulle,M. Thybulle,,,,,,,,,,,202037.0,1.0,0.0,Barrett,1629628.0,,,,,,,,,
30,PT09M45.00S,2022-03-03T00:50:21.7Z,1,REGULAR,freethrow,1 of 2,[],1629628,,,1610612752,4,8,2022-03-03T00:50:21Z,300000,,,0,,R. Barrett Free Throw 1 of 2 (4 PTS),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
31,PT09M45.00S,2022-03-03T00:50:31.9Z,1,REGULAR,freethrow,2 of 2,[],1629628,,,1610612752,4,9,2022-03-03T00:50:31Z,310000,,,0,,R. Barrett Free Throw 2 of 2 (5 PTS),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
