actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-02-12T00:10:48.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-12T00:10:48Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-02-12T00:10:51.7Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2022-02-12T00:10:51Z,40000,,,0,,Jump Ball J. Embiid vs. D. Favors: Tip to T. Maxey,"[1630178, 203954, 202324]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Embiid,203954.0,Favors,202324.0,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-02-12T00:11:05.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,6.521024967148489,44.85294117647059,1610612755,0,0,2022-02-12T00:11:26Z,70000,26.0,9.0,1,left,MISS T. Maxey driving finger roll Layup,[1630178],1610612755.0,PHI,driving finger roll,,,Maxey,T. Maxey,,,,,2.72,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2022-02-12T00:11:07.1Z,1,REGULAR,rebound,defensive,[],202324,,,1610612760,0,0,2022-02-12T00:11:10Z,80000,,,0,,D. Favors REBOUND (Off:0 Def:1),[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M24.00S,2022-02-12T00:11:24.1Z,1,REGULAR,3pt,Jump Shot,[],1629647,66.5735873850197,63.725490196078425,1610612760,0,3,2022-02-12T00:11:32Z,90000,69.0,262.0,1,right,D. Bazley 27' 3PT pullup (3 PTS),[1629647],1610612760.0,OKC,pullup,,,Bazley,D. Bazley,,,,,27.05,Made,,,,,3.0,,,,,,,,,,,,,
10,PT11M05.00S,2022-02-12T00:11:44.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,9.411957950065702,44.6078431372549,1610612755,0,3,2022-02-12T00:12:26Z,100000,27.0,36.0,1,left,MISS J. Embiid driving Layup - blocked,"[203954, 1630581]",1610612755.0,PHI,driving,,,Embiid,J. Embiid,,,,,4.5,Missed,,,,,,Giddey,1630581.0,,,,,,,,,,,
11,PT11M05.00S,2022-02-12T00:11:44.9Z,1,REGULAR,block,,[],1630581,,,1610612755,0,3,2022-02-12T00:11:50Z,110000,,,0,,J. Giddey BLOCK (1 BLK),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M02.00S,2022-02-12T00:11:47.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,0,3,2022-02-12T00:12:26Z,120000,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,
12,PT11M02.00S,2022-02-12T00:12:19.9Z,1,REGULAR,jumpball,recovered,[],202699,,,1610612755,0,3,2022-02-12T00:12:19Z,130000,,,0,,Jump Ball J. Embiid vs. J. Giddey: Tip to T. Harris,"[202699, 203954, 1630581]",1610612755.0,PHI,heldball,T. Harris,202699.0,Harris,T. Harris,Embiid,203954.0,Giddey,1630581.0,,,,,,,,,,,,,,,,,,,,
16,PT10M59.00S,2022-02-12T00:12:23.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",202699,17.95335085413929,54.90196078431373,1610612755,0,3,2022-02-12T00:12:29Z,160000,-25.0,116.0,1,left,MISS T. Harris 11' pullup Shot,[202699],1610612755.0,PHI,pullup,,,Harris,T. Harris,,,,,11.89,Missed,,,,,,,,,,,,,,,,,,
