actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-12-24T00:10:30.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-24T00:10:30Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-24T00:10:34.0Z,1,REGULAR,jumpball,recovered,[],1627788,,,1610612755,0,0,2021-12-24T00:10:34Z,40000,,,0,,Jump Ball J. Embiid vs. O. Okongwu: Tip to F. Korkmaz,"[1627788, 203954, 1630168]",1610612755.0,PHI,startperiod,F. Korkmaz,1627788.0,Korkmaz,F. Korkmaz,Embiid,203954.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-12-24T00:10:44.4Z,1,REGULAR,turnover,bad pass,[],203552,,,1610612755,0,0,2021-12-24T00:10:49Z,70000,,,0,,S. Curry bad pass TURNOVER (1 TO),"[203552, 1628381]",1610612755.0,PHI,,,,Curry,S. Curry,,,,,1.0,Collins,1628381.0,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2021-12-24T00:10:44.4Z,1,REGULAR,steal,,[],1628381,,,1610612737,0,0,2021-12-24T00:10:47Z,80000,,,0,,J. Collins STEAL (1 STL),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M28.00S,2021-12-24T00:11:01.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628381,82.7365308804205,39.705882352941174,1610612737,0,0,2021-12-24T00:11:35Z,90000,-51.0,110.0,1,right,MISS J. Collins 12' Jump Shot,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,12.13,Missed,,,,,,,,,,,,,,,,
10,PT11M26.00S,2021-12-24T00:11:03.2Z,1,REGULAR,rebound,offensive,[],1630168,,,1610612737,0,0,2021-12-24T00:11:05Z,100000,,,0,,O. Okongwu REBOUND (Off:1 Def:0),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,
11,PT11M23.00S,2021-12-24T00:11:06.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629629,64.60249671484888,54.65686274509803,1610612737,0,0,2021-12-24T00:11:11Z,110000,23.0,280.0,1,right,MISS C. Reddish 28' 3PT - blocked,"[1629629, 1629680]",1610612737.0,ATL,,,,Reddish,C. Reddish,,,,,,,,28.12,Missed,,,,,Thybulle,1629680.0,,,,,,,,,,
12,PT11M23.00S,2021-12-24T00:11:06.0Z,1,REGULAR,block,,[],1629680,,,1610612737,0,0,2021-12-24T00:11:08Z,120000,,,0,,M. Thybulle BLOCK (1 BLK),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M20.00S,2021-12-24T00:11:09.0Z,1,REGULAR,rebound,defensive,[],1629680,,,1610612755,0,0,2021-12-24T00:11:11Z,130000,,,0,,M. Thybulle REBOUND (Off:0 Def:1),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,
14,PT11M16.00S,2021-12-24T00:11:13.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627788,30.17411300919842,24.264705882352942,1610612755,0,0,2021-12-24T00:11:19Z,140000,129.0,231.0,1,left,MISS F. Korkmaz 26' 3PT,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,26.45,Missed,,,,,,,,,,,,,,,,
