actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-05T00:10:45.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-05T00:10:45Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-03-05T00:10:49.4Z,1,REGULAR,jumpball,recovered,[],1628374,,,1610612739,0,0,2022-03-05T00:10:49Z,40000,,,0,,Jump Ball J. Allen vs. J. Embiid: Tip to L. Markkanen,"[1628374, 1628386, 203954]",1610612739.0,CLE,startperiod,L. Markkanen,1628374.0,Markkanen,L. Markkanen,Allen,1628386.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2022-03-05T00:11:07.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628386,92.59198423127464,51.470588235294116,1610612739,0,2,2022-03-05T00:11:11Z,70000,7.0,17.0,1,right,J. Allen driving Hook (2 PTS) (D. Garland 1 AST),"[1628386, 1629636]",1610612739.0,CLE,driving,,,Allen,J. Allen,,,,,1.86,Made,2.0,D. Garland,1629636.0,1.0,,,,,,,,,,,,,,,
9,PT11M18.00S,2022-03-05T00:11:26.2Z,1,REGULAR,2pt,Jump Shot,[],203954,6.258212877792378,66.42156862745098,1610612755,2,2,2022-03-05T00:11:30Z,90000,-82.0,6.0,1,left,J. Embiid 8' turnaround fadeaway Jump Shot (2 PTS),[203954],1610612755.0,PHI,turnaround fadeaway,,,Embiid,J. Embiid,,,,,8.23,Made,2.0,,,,,,,,,,,,,,,,,,
10,PT11M11.00S,2022-03-05T00:11:33.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630171,93.51182654402102,44.85294117647059,1610612739,2,4,2022-03-05T00:11:40Z,100000,-26.0,8.0,1,right,I. Okoro driving floating bank Jump Shot (2 PTS) (D. Garland 2 AST),"[1630171, 1629636]",1610612739.0,CLE,driving floating bank,,,Okoro,I. Okoro,,,,,2.71,Made,2.0,D. Garland,1629636.0,2.0,,,,,,,,,,,,,,,
12,PT11M00.00S,2022-03-05T00:11:44.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,10.726018396846255,43.38235294117647,1610612755,4,4,2022-03-05T00:11:49Z,120000,33.0,48.0,1,left,T. Harris driving floating Jump Shot (2 PTS),[202699],1610612755.0,PHI,driving floating,,,Harris,T. Harris,,,,,5.86,Made,2.0,,,,,,,,,,,,,,,,,,
13,PT10M42.00S,2022-03-05T00:12:02.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,93.64323258869908,49.01960784313725,1610612739,4,6,2022-03-05T00:12:06Z,130000,-5.0,7.0,1,right,J. Allen cutting Layup (4 PTS) (D. Garland 3 AST),"[1628386, 1629636]",1610612739.0,CLE,cutting,,,Allen,J. Allen,,,,,0.88,Made,4.0,D. Garland,1629636.0,3.0,,,,,,,,,,,,,,,
15,PT10M34.00S,2022-03-05T00:12:13.8Z,1,REGULAR,foul,personal,[],1630171,,,1610612755,4,6,2022-03-05T00:12:19Z,150000,,,0,,I. Okoro personal FOUL (1 PF),"[1630171, 201935]",1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,1627962.0,1.0,0.0,Harden,201935.0,,,,,,,,,,
17,PT10M27.00S,2022-03-05T00:12:40.0Z,1,REGULAR,3pt,Jump Shot,[],202699,32.013797634691194,38.72549019607843,1610612755,4,6,2022-03-05T00:12:45Z,170000,56.0,248.0,1,left,MISS T. Harris 25' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,25.47,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M25.00S,2022-03-05T00:12:42.0Z,1,REGULAR,rebound,offensive,[],203954,,,1610612755,4,6,2022-03-05T00:12:45Z,180000,,,0,,J. Embiid REBOUND (Off:1 Def:0),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,17.0,1.0,0.0,1.0,,,,,,
