actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-09T00:10:49.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-09T00:10:49Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-02-09T00:10:52.4Z,1,REGULAR,jumpball,recovered,[],1628969,,,1610612756,0,0,2022-02-09T00:10:52Z,40000,,,0,,Jump Ball D. Ayton vs. J. Embiid: Tip to M. Bridges,"[1628969, 1629028, 203954]",1610612756.0,PHX,startperiod,M. Bridges,1628969.0,Bridges,M. Bridges,Ayton,1629028.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2022-02-09T00:10:59.4Z,1,REGULAR,2pt,Jump Shot,[],1626164,88.61695137976346,26.960784313725497,1610612756,0,0,2022-02-09T00:11:06Z,70000,-115.0,55.0,1,right,MISS D. Booker 12' step back Shot,[1626164],1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,12.74,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2022-02-09T00:11:02.4Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,0,0,2022-02-09T00:11:06Z,80000,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M39.00S,2022-02-09T00:11:09.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,6.619579500657039,56.372549019607845,1610612755,0,0,2022-02-09T00:11:14Z,90000,-32.0,10.0,1,left,MISS T. Maxey driving finger roll Layup,[1630178],1610612755.0,PHI,driving finger roll,,,Maxey,T. Maxey,,,,,3.33,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M36.00S,2022-02-09T00:11:12.9Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,0,0,2022-02-09T00:11:14Z,100000,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M33.00S,2022-02-09T00:11:15.3Z,1,REGULAR,2pt,Jump Shot,[],1628969,75.47634691195795,20.09803921568627,1610612756,0,0,2022-02-09T00:36:57Z,110000,-150.0,178.0,1,right,MISS M. Bridges 23' running Shot,[1628969],1610612756.0,PHX,running,,,Bridges,M. Bridges,,,,,23.25,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M32.00S,2022-02-09T00:11:16.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,0,0,2022-02-09T00:11:39Z,120000,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,
13,PT11M32.00S,2022-02-09T00:11:21.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,0,0,2022-02-09T00:11:21Z,130000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M17.00S,2022-02-09T00:11:40.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,20.02299605781866,48.774509803921575,1610612755,0,0,2022-02-09T00:11:44Z,140000,6.0,136.0,1,left,MISS J. Embiid 13' pullup Shot,[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,13.58,Missed,,,,,,,,,,,,,,,,,,,
