actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2022-03-11T00:48:57.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-11T00:48:57Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-11T00:49:01.0Z,1,REGULAR,jumpball,recovered,[],202681,,,1610612751,0,0,2022-03-11T00:49:01Z,40000,,,0,,Jump Ball A. Drummond vs. J. Embiid: Tip to K. Irving,"[202681, 203083, 203954]",1610612751.0,BKN,startperiod,K. Irving,202681.0,Irving,K. Irving,Drummond,203083.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-03-11T00:49:17.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628971,86.94152431011827,44.6078431372549,1610612751,0,0,2022-03-11T00:49:25Z,70000,-27.0,70.0,1,right,MISS B. Brown 7' floating Shot,[1628971],1610612751.0,BKN,floating,,,Brown,B. Brown,,,,,7.52,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2022-03-11T00:49:22.5Z,1,REGULAR,rebound,defensive,[],1629680,,,1610612755,0,0,2022-03-11T00:49:25Z,80000,,,0,,M. Thybulle REBOUND (Off:0 Def:1),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M30.00S,2022-03-11T00:49:26.9Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612755,0,0,2022-03-11T00:49:48Z,90000,,,0,,J. Harden bad pass TURNOVER (1 TO),"[201935, 201142]",1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,1.0,Durant,201142.0,,,,,,,,,,,
10,PT11M30.00S,2022-03-11T00:49:26.9Z,1,REGULAR,steal,,[],201142,,,1610612751,0,0,2022-03-11T00:49:29Z,100000,,,0,,K. Durant STEAL (1 STL),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M25.00S,2022-03-11T00:49:32.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203552,77.87450722733246,6.862745098039216,1610612751,0,0,2022-03-11T01:00:32Z,110000,-216.0,155.0,1,right,MISS S. Curry 26' running 3PT,[203552],1610612751.0,BKN,running,,,Curry,S. Curry,,,,,26.59,Missed,,,,,,,,,,,,,,,,,,
12,PT11M22.00S,2022-03-11T00:49:34.4Z,1,REGULAR,rebound,offensive,[],201142,,,1610612751,0,0,2022-03-11T00:49:34Z,120000,,,0,,K. Durant REBOUND (Off:1 Def:0),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,
14,PT11M15.00S,2022-03-11T00:49:48.3Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",201142,91.27792378449409,66.17647058823529,1610612751,0,2,2022-03-11T00:50:15Z,140000,81.0,29.0,1,right,K. Durant 8' Jump Shot (2 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,8.61,Made,,,,,,,,2.0,,,,,,,,,,
15,PT11M02.00S,2022-03-11T00:49:55.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,16.63929040735874,64.4607843137255,1610612755,2,2,2022-03-11T00:50:03Z,150000,-72.0,104.0,1,left,J. Embiid 12' turnaround fadeaway Jump Shot (2 PTS),[203954],1610612755.0,PHI,turnaround fadeaway,,,Embiid,J. Embiid,,,,,12.66,Made,,,,,,,,2.0,,,,,,,,,,
16,PT10M47.00S,2022-03-11T00:50:15.2Z,1,REGULAR,turnover,out-of-bounds,[],201142,,,1610612751,2,2,2022-03-11T00:50:20Z,160000,,,0,,K. Durant bad pass out-of-bounds TURNOVER (1 TO),[201142],1610612751.0,BKN,bad pass,,,Durant,K. Durant,,,,,,,,,,,1.0,,,,202027.0,,,,,,,,,
20,PT10M34.00S,2022-03-11T00:50:46.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,2,2,2022-03-11T00:50:46Z,200000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M27.00S,2022-03-11T00:50:59.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201935,12.434296977660972,49.01960784313725,1610612755,2,2,2022-03-11T00:51:55Z,210000,5.0,64.0,1,left,MISS J. Harden 6' driving Layup - blocked,"[201935, 202681]",1610612755.0,PHI,driving,,,Harden,J. Harden,,,,,6.46,Missed,,,,,,,,,,Irving,202681.0,,,,,,,
22,PT10M27.00S,2022-03-11T00:50:59.1Z,1,REGULAR,block,,[],202681,,,1610612755,2,2,2022-03-11T00:51:01Z,220000,,,0,,K. Irving BLOCK (1 BLK),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M27.00S,2022-03-11T00:50:59.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,2,2,2022-03-11T00:51:04Z,230000,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,
24,PT10M27.00S,2022-03-11T00:51:04.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,2,2,2022-03-11T00:51:04Z,240000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
