actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-21T23:40:56.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-21T23:40:56Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-21T23:40:58.3Z,1,REGULAR,jumpball,recovered,[],200782,,,1610612748,0,0,2022-03-21T23:40:58Z,40000,,,0,,Jump Ball B. Adebayo vs. P. Millsap: Tip to P. Tucker,"[200782, 1628389, 200794]",1610612748.0,MIA,startperiod,P. Tucker,200782.0,Tucker,P. Tucker,Adebayo,1628389.0,Millsap,200794.0,,,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2022-03-21T23:41:12.0Z,1,REGULAR,turnover,bad pass,[],200768,,,1610612748,0,0,2022-03-21T23:41:17Z,80000,,,0,,K. Lowry bad pass TURNOVER (1 TO),"[200768, 200794]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,1.0,Millsap,200794.0,,,,,,,,,,,,,,,,,,
9,PT11M43.00S,2022-03-21T23:41:12.0Z,1,REGULAR,steal,,[],200794,,,1610612755,0,0,2022-03-21T23:43:00Z,90000,,,0,,P. Millsap STEAL (1 STL),[200794],1610612755.0,PHI,,,,Millsap,P. Millsap,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M29.00S,2022-03-21T23:41:26.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202699,91.24507227332458,51.96078431372549,1610612755,2,0,2022-03-21T23:41:44Z,100000,10.0,30.0,1,right,T. Harris Layup (2 PTS),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,3.14,Made,2.0,,,,,,,,,,,,,,,
11,PT11M13.00S,2022-03-21T23:41:45.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,2,0,2022-03-21T23:41:45Z,110000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M05.00S,2022-03-21T23:42:08.8Z,1,REGULAR,3pt,Jump Shot,[],202710,35.39750328515112,53.67647058823529,1610612748,2,0,2022-03-21T23:42:13Z,120000,-18.0,280.0,1,left,MISS J. Butler 28' 3PT,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,28.08,Missed,,,,,,,,,,,,,,,,
13,PT11M01.00S,2022-03-21T23:42:12.8Z,1,REGULAR,rebound,defensive,[],200794,,,1610612755,2,0,2022-03-21T23:42:13Z,130000,,,0,,P. Millsap REBOUND (Off:0 Def:1),[200794],1610612755.0,PHI,,,,Millsap,P. Millsap,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,
14,PT10M57.00S,2022-03-21T23:42:16.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630178,66.93495400788436,70.09803921568627,1610612755,2,0,2022-03-21T23:42:22Z,140000,100.0,258.0,1,right,MISS T. Maxey 27' running pullup 3PT,[1630178],1610612755.0,PHI,running pullup,,,Maxey,T. Maxey,,,,,,,,27.72,Missed,,,,,,,,,,,,,,,,
15,PT10M54.00S,2022-03-21T23:42:19.2Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,2,0,2022-03-21T23:42:22Z,150000,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,
