actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-04-09T17:10:57.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-09T17:10:57Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-04-09T17:10:59.3Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2022-04-09T17:10:59Z,40000,,,0,,Jump Ball J. Embiid vs. I. Jackson: Tip to T. Maxey,"[1630178, 203954, 1630543]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Embiid,203954.0,Jackson,1630543.0,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-04-09T17:11:13.4Z,1,REGULAR,foul,personal,['2freethrow'],1630543,,,1610612755,0,0,2022-04-09T17:11:23Z,70000,,,0,,I. Jackson shooting personal FOUL (1 PF) (Embiid 2 FT),"[1630543, 203954]",1610612754.0,IND,shooting,,,Jackson,I. Jackson,,,,,1627962.0,1.0,0.0,Embiid,203954.0,,,,,,,,,,,,,,,
9,PT11M45.00S,2022-04-09T17:11:40.1Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,0,0,2022-04-09T17:11:40Z,90000,,,0,,MISS J. Embiid Free Throw 1 of 2,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,Missed,,,,,,,,,,,,,,
10,PT11M45.00S,2022-04-09T17:11:40.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612755,0,0,2022-04-09T17:11:40Z,100000,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,
11,PT11M45.00S,2022-04-09T17:11:55.9Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,1,0,2022-04-09T17:11:55Z,110000,,,0,,J. Embiid Free Throw 2 of 2 (1 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
12,PT11M27.00S,2022-04-09T17:12:14.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630543,93.64323258869908,48.28431372549019,1610612754,1,0,2022-04-09T17:12:23Z,120000,-9.0,7.0,1,right,MISS I. Jackson driving finger roll Layup,[1630543],1610612754.0,IND,driving finger roll,,,Jackson,I. Jackson,,,,,,,,,,Missed,,,1.13,,,,,,,,,,,
13,PT11M27.00S,2022-04-09T17:12:18.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,1,0,2022-04-09T17:12:18Z,130000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,
14,PT11M27.00S,2022-04-09T17:12:20.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,1,0,2022-04-09T17:12:20Z,140000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M18.00S,2022-04-09T17:12:37.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",204456,92.46057818659659,43.13725490196079,1610612754,1,0,2022-04-09T17:12:43Z,150000,-34.0,18.0,1,right,MISS T. McConnell driving reverse Layup - blocked,"[204456, 202699]",1610612754.0,IND,driving reverse,,,McConnell,T. McConnell,,,,,,,,,,Missed,,,3.89,Harris,202699.0,,,,,,,,,
