actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2021-12-16T00:11:14.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-16T00:11:14Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M51.00S,2021-12-16T00:11:21.1Z,1,REGULAR,jumpball,recovered,[],200768,,,1610612748,0,0,2021-12-16T00:11:21Z,40000,,,0,,Jump Ball D. Dedmon vs. J. Embiid: Tip to K. Lowry,"[200768, 203473, 203954]",1610612748.0,MIA,startperiod,K. Lowry,200768.0,Lowry,K. Lowry,Dedmon,203473.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-12-16T00:11:30.9Z,1,REGULAR,turnover,bad pass,[],200768,,,1610612748,0,0,2021-12-16T00:11:37Z,70000,,,0,,K. Lowry bad pass TURNOVER (1 TO),"[200768, 1629680]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,1.0,Thybulle,1629680.0,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2021-12-16T00:11:30.9Z,1,REGULAR,steal,,[],1629680,,,1610612755,0,0,2021-12-16T00:11:33Z,80000,,,0,,M. Thybulle STEAL (1 STL),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M20.00S,2021-12-16T00:11:52.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202699,11.908672798948752,42.40196078431372,1610612755,0,0,2021-12-16T00:12:01Z,90000,38.0,59.0,1,left,MISS T. Harris 7' fadeaway Shot,[202699],1610612755.0,PHI,fadeaway,,,Harris,T. Harris,,,,,,,,7.05,Missed,,,,,,,,,,,,,,,
10,PT11M17.00S,2021-12-16T00:11:55.8Z,1,REGULAR,rebound,offensive,[],203954,,,1610612755,0,0,2021-12-16T00:13:09Z,100000,,,0,,J. Embiid REBOUND (Off:1 Def:0),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,
11,PT11M15.00S,2021-12-16T00:11:57.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",203954,5.590000152587891,50.0,1610612755,2,0,2021-12-16T00:12:12Z,110000,0.0,0.0,1,left,J. Embiid putback Layup (2 PTS),[203954],1610612755.0,PHI,putback,,,Embiid,J. Embiid,,,,,,,,0.0,Made,,,,,2.0,,,,,,,,,,
12,PT11M00.00S,2021-12-16T00:12:13.7Z,1,REGULAR,2pt,Jump Shot,[],1629216,92.72339027595268,23.52941176470588,1610612748,2,0,2021-12-16T00:12:19Z,120000,-132.0,16.0,1,right,MISS G. Vincent 13' floating Shot - blocked,"[1629216, 1629680]",1610612748.0,MIA,floating,,,Vincent,G. Vincent,,,,,,,,13.34,Missed,,,,,,Thybulle,1629680.0,,,,,,,,
13,PT11M00.00S,2021-12-16T00:12:13.7Z,1,REGULAR,block,,[],1629680,,,1610612748,2,0,2021-12-16T00:12:16Z,130000,,,0,,M. Thybulle BLOCK (1 BLK),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M00.00S,2021-12-16T00:12:13.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,2,0,2021-12-16T00:12:19Z,140000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,
