actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2023-11-09T01:11:08.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-09T01:11:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-11-09T01:11:14.7Z,1,REGULAR,jumpball,recovered,[],0,,,1610612756,0,0,2023-11-09T01:11:14Z,40000,False,,,0,,Jump Ball J. Nurkic vs. N. Vucevic: Tip to Team (PHX),"[203994, 202696]",1610612756.0,PHX,startperiod,Team (PHX),Nurkic,203994.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M52.00S,2023-11-09T01:11:29.5Z,1,REGULAR,3pt,Jump Shot,[],1628960,72.61826544021025,81.86274509803921,1610612756,0,3,2023-11-09T01:11:35Z,70000,False,159.0,205.0,1,right,G. Allen 25' 3PT  (3 PTS) (J. Nurkic 1 AST),"[1628960, 203994]",1610612756.0,PHX,,,,,,,Above the Break 3,24+ Right Center,25.95,Made,3.0,Allen,G. Allen,J. Nurkic,203994.0,1.0,,,,,,,,,,,,,,,
9,PT11M31.00S,2023-11-09T01:11:51.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,12.302890932982917,49.50980392156863,1610612741,2,3,2023-11-09T01:11:56Z,90000,False,2.0,63.0,1,left,N. Vucevic 6' floating Jump Shot (2 PTS) (C. White 1 AST),"[202696, 1629632]",1610612741.0,CHI,floating,,,,,,In The Paint (Non-RA),0-8 Center,6.31,Made,2.0,Vucevic,N. Vucevic,C. White,1629632.0,1.0,,,,,,,,,,,,,,,
11,PT11M12.00S,2023-11-09T01:12:09.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,93.77463863337714,50.73529411764706,1610612756,2,5,2023-11-09T01:12:17Z,110000,False,4.0,6.0,1,right,J. Nurkic cutting Layup (2 PTS) (B. Beal 1 AST),"[203994, 203078]",1610612756.0,PHX,cutting,,,,,,Restricted Area,0-8 Center,0.7,Made,2.0,Nurkic,J. Nurkic,B. Beal,203078.0,1.0,,,,,,,,,,,,,,,
13,PT11M00.00S,2023-11-09T01:12:21.2Z,1,REGULAR,2pt,Jump Shot,[],1628470,25.18068331143233,54.41176470588235,1610612741,2,5,2023-11-09T01:12:44Z,130000,False,-22.0,184.0,1,left,MISS T. Craig 18' step back Shot,[1628470],1610612741.0,CHI,step back,,,,,,Mid-Range,16-24 Center,18.55,Missed,,Craig,T. Craig,,,,,,,,,,,,,,,,,,
14,PT10M57.00S,2023-11-09T01:12:24.2Z,1,REGULAR,rebound,defensive,[],203994,,,1610612756,2,5,2023-11-09T01:12:35Z,140000,False,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612756.0,PHX,,,,,,,Mid-Range,16-24 Center,,,,Nurkic,J. Nurkic,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
15,PT10M50.00S,2023-11-09T01:12:31.1Z,1,REGULAR,3pt,Jump Shot,[],203078,73.80091984231275,16.911764705882355,1610612756,2,5,2023-11-09T01:12:59Z,150000,False,-165.0,194.0,1,right,MISS B. Beal 25' pullup 3PT,[203078],1610612756.0,PHX,pullup,,,,,,Above the Break 3,24+ Left Center,25.48,Missed,,Beal,B. Beal,,,,,,,,,,,,,,,,,,
16,PT10M46.00S,2023-11-09T01:12:35.1Z,1,REGULAR,rebound,defensive,[],1629632,,,1610612741,2,5,2023-11-09T01:12:38Z,160000,False,,,0,,C. White REBOUND (Off:0 Def:1),[1629632],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Left Center,,,,White,C. White,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,
17,PT10M39.00S,2023-11-09T01:12:43.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,12.828515111695138,52.20588235294118,1610612741,2,5,2023-11-09T01:12:48Z,170000,False,-11.0,68.0,1,left,MISS N. Vucevic 6' floating Shot - blocked,"[202696, 201142]",1610612741.0,CHI,floating,,,,,,In The Paint (Non-RA),0-8 Center,6.9,Missed,,Vucevic,N. Vucevic,,,,,,,,Durant,201142.0,,,,,,,,,
