actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-04-02T00:10:13.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-02T00:10:13Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-04-02T00:10:16.5Z,1,REGULAR,jumpball,recovered,[],1630249,,,1610612737,0,0,2024-04-02T00:10:16Z,40000,False,,,0,,Jump Ball C. Capela vs. N. Vucevic: Tip to V. Krejci,"[1630249, 203991, 202696]",1610612737.0,ATL,startperiod,V. Krejci,1630249.0,Krejci,V. Krejci,Capela,203991.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2024-04-02T00:10:33.4Z,1,REGULAR,violation,kicked ball,[],202696,,,1610612737,0,0,2024-04-02T00:11:03Z,70000,False,,,0,,N. Vucevic kicked ball VIOLATION,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,1628953.0,,,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2024-04-02T00:10:54.4Z,1,REGULAR,3pt,Jump Shot,[],1629631,65.91655716162943,42.15686274509804,1610612737,0,0,2024-04-02T00:11:00Z,80000,False,-39.0,268.0,1,right,MISS D. Hunter 27' 3PT,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,Above the Break 3,24+ Center,27.08,Missed,,,,,,,,,,,,,,,,,
9,PT11M33.00S,2024-04-02T00:10:59.4Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,0,2024-04-02T00:11:00Z,90000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,Above the Break 3,24+ Center,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M20.00S,2024-04-02T00:11:11.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630245,12.565703022339028,40.931372549019606,1610612741,2,0,2024-04-02T00:11:16Z,100000,False,45.0,66.0,1,left,A. Dosunmu 7' driving floating Jump Shot (2 PTS),[1630245],1610612741.0,CHI,driving floating,,,Dosunmu,A. Dosunmu,,,,,,In The Paint (Non-RA),0-8 Center,7.97,Made,,,,,2.0,,,,,,,,,,,,
11,PT11M05.00S,2024-04-02T00:11:25.9Z,1,REGULAR,3pt,Jump Shot,[],1629631,71.56701708278581,20.34313725490196,1610612737,2,0,2024-04-02T00:11:30Z,110000,False,-148.0,215.0,1,right,MISS D. Hunter 26' 3PT,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,Above the Break 3,24+ Left Center,26.1,Missed,,,,,,,,,,,,,,,,,
12,PT11M02.00S,2024-04-02T00:11:28.9Z,1,REGULAR,rebound,defensive,[],1627936,,,1610612741,2,0,2024-04-02T00:11:30Z,120000,False,,,0,,A. Caruso REBOUND (Off:0 Def:1),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,Above the Break 3,24+ Left Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT10M47.00S,2024-04-02T00:11:44.9Z,1,REGULAR,2pt,Jump Shot,[],201942,4.812746386333772,80.63725490196079,1610612741,2,0,2024-04-02T00:11:48Z,130000,False,-153.0,-7.0,1,left,MISS D. DeRozan 15' pullup Shot,[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,,Mid-Range,8-16 Left,15.34,Missed,,,,,,,,,,,,,,,,,
14,PT10M46.00S,2024-04-02T00:11:45.9Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,2,0,2024-04-02T00:11:48Z,140000,False,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,,Mid-Range,8-16 Left,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,
15,PT10M40.00S,2024-04-02T00:11:52.5Z,1,REGULAR,3pt,Jump Shot,[],1627749,73.14388961892247,78.92156862745098,1610612737,2,0,2024-04-02T00:12:25Z,150000,False,145.0,200.0,1,right,MISS D. Murray 24' 3PT,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,,Above the Break 3,24+ Right Center,24.67,Missed,,,,,,,,,,,,,,,,,
16,PT10M36.00S,2024-04-02T00:11:56.5Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,2,0,2024-04-02T00:11:58Z,160000,False,,,0,,A. Dosunmu REBOUND (Off:0 Def:1),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,Above the Break 3,24+ Right Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,
17,PT10M31.00S,2024-04-02T00:12:00.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630245,5.995400788436268,45.83333333333333,1610612741,4,0,2024-04-02T00:12:07Z,170000,False,21.0,4.0,1,left,A. Dosunmu running finger roll Layup (4 PTS),[1630245],1610612741.0,CHI,running finger roll,,,Dosunmu,A. Dosunmu,,,,,,Restricted Area,0-8 Center,2.12,Made,,,,,4.0,,,,,,,,,,,,
