actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-03T01:10:26.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-03T01:10:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-12-03T01:10:29.1Z,1,REGULAR,jumpball,recovered,[],1629627,,,1610612740,0,0,2023-12-03T01:10:29Z,40000,False,,,0,,Jump Ball J. Valanciunas vs. N. Vucevic: Tip to Z. Williamson,"[1629627, 202685, 202696]",1610612740.0,NOP,startperiod,Z. Williamson,1629627.0,Williamson,Z. Williamson,Valanciunas,202685.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-12-03T01:10:44.0Z,1,REGULAR,foul,personal,[],201942,,,1610612740,0,0,2023-12-03T01:10:56Z,70000,False,,,0,,D. DeRozan personal FOUL (1 PF),"[201942, 1630529]",1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Left Center,1151.0,1.0,0.0,Jones,1630529.0,,,,,,,,,,,,,,,
9,PT11M36.00S,2023-12-03T01:11:12.4Z,1,REGULAR,foul,personal,['2freethrow'],1630172,,,1610612740,0,0,2023-12-03T01:11:19Z,90000,False,,,0,,P. Williams shooting personal FOUL (1 PF) (Williamson 2 FT),"[1630172, 1629627]",1610612741.0,CHI,shooting,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,202035.0,1.0,0.0,Williamson,1629627.0,,,,,,,,,,,,,,,
11,PT11M36.00S,2023-12-03T01:11:35.7Z,1,REGULAR,freethrow,1 of 2,[],1629627,,,1610612740,0,1,2023-12-03T01:11:35Z,110000,False,,,0,,Z. Williamson Free Throw 1 of 2 (1 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
12,PT11M36.00S,2023-12-03T01:11:35.7Z,1,REGULAR,freethrow,2 of 2,[],1629627,,,1610612740,0,1,2023-12-03T01:11:55Z,120000,False,,,0,,MISS Z. Williamson Free Throw 2 of 2,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
13,PT11M34.00S,2023-12-03T01:11:37.7Z,1,REGULAR,rebound,defensive,[],1627936,,,1610612741,0,1,2023-12-03T01:11:55Z,130000,False,,,0,,A. Caruso REBOUND (Off:0 Def:1),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
15,PT11M12.00S,2023-12-03T01:12:18.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,91.93495400788436,42.40196078431372,1610612741,2,1,2023-12-03T01:12:30Z,150000,False,-38.0,23.0,1,right,N. Vucevic floating Jump Shot (2 PTS) (A. Caruso 1 AST),"[202696, 1627936]",1610612741.0,CHI,floating,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,2.0,,,,,4.46,A. Caruso,1627936.0,1.0,,,,,
17,PT10M53.00S,2023-12-03T01:12:33.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,5.206964520367937,63.23529411764706,1610612740,2,3,2023-12-03T01:29:24Z,170000,False,-66.0,-4.0,1,left,J. Valanciunas 6' turnaround fadeaway Jump Shot (2 PTS),[202685],1610612740.0,NOP,turnaround fadeaway,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,2.0,,,,,6.63,,,,,,,,
18,PT10M39.00S,2023-12-03T01:12:48.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,82.26018396846256,49.63235294117647,1610612741,2,3,2023-12-03T01:12:54Z,180000,False,-2.0,114.0,1,right,MISS N. Vucevic 11' turnaround Hook,[202696],1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,,,,,11.43,,,,,,,,
