actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-03-15T00:10:18.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-15T00:10:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-03-15T00:10:21.2Z,1,REGULAR,jumpball,recovered,[],1630245,,,1610612741,0,0,2024-03-15T00:10:21Z,40000,False,,,0,,Jump Ball N. Vucevic vs. I. Zubac: Tip to A. Dosunmu,"[1630245, 202696, 1627826]",1610612741.0,CHI,startperiod,A. Dosunmu,1630245.0,Dosunmu,A. Dosunmu,Vucevic,202696.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2024-03-15T00:10:41.5Z,1,REGULAR,2pt,Jump Shot,[],202696,93.64323258869908,23.774509803921568,1610612741,2,0,2024-03-15T00:10:48Z,70000,False,-131.0,7.0,1,right,N. Vucevic 13' turnaround fadeaway Jump Shot (2 PTS),[202696],1610612741.0,CHI,turnaround fadeaway,,,Vucevic,N. Vucevic,,,,,Mid-Range,8-16 Left,13.13,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M14.00S,2024-03-15T00:11:05.4Z,1,REGULAR,turnover,out-of-bounds,[],1627826,,,1610612746,2,0,2024-03-15T00:11:11Z,90000,False,,,0,,I. Zubac bad pass out-of-bounds TURNOVER (1 TO),[1627826],1610612746.0,LAC,bad pass,,,Zubac,I. Zubac,,,,,Mid-Range,0-8 Center,,,,201246.0,1.0,,,,,,,,,,,,,,,
10,PT10M56.00S,2024-03-15T00:11:32.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202696,67.36202365308804,50.0,1610612741,5,0,2024-03-15T00:11:37Z,100000,False,0.0,254.0,1,right,N. Vucevic 25' 3PT  (5 PTS) (A. Dosunmu 1 AST),"[202696, 1630245]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Center,25.43,Made,5.0,,,A. Dosunmu,1630245.0,1.0,,,,,,,,,,,,
12,PT10M40.00S,2024-03-15T00:11:47.7Z,1,REGULAR,3pt,Jump Shot,[],1629611,10.463206307490145,95.09803921568627,1610612746,5,0,2024-03-15T00:11:52Z,120000,False,-225.0,46.0,1,left,MISS T. Mann 3PT,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,Left Corner 3,24+ Left,23.01,Missed,,,,,,,,,,,,,,,,,,
13,PT10M37.00S,2024-03-15T00:11:50.7Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,5,0,2024-03-15T00:11:52Z,130000,False,,,0,,A. Dosunmu REBOUND (Off:0 Def:1),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Left Corner 3,24+ Left,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,
14,PT10M22.00S,2024-03-15T00:12:05.1Z,1,REGULAR,turnover,bad pass,[],201942,,,1610612741,5,0,2024-03-15T00:12:09Z,140000,False,,,0,,D. DeRozan bad pass TURNOVER (1 TO),"[201942, 1630538]",1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Right,,,,,1.0,,,,,,,,Hyland,1630538.0,,,,,,
15,PT10M22.00S,2024-03-15T00:12:05.1Z,1,REGULAR,steal,,[],1630538,,,1610612746,5,0,2024-03-15T00:12:06Z,150000,False,,,0,,B. Hyland STEAL (1 STL),[1630538],1610612746.0,LAC,,,,Hyland,B. Hyland,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
16,PT10M19.00S,2024-03-15T00:12:09.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202331,5.338370565045992,47.794117647058826,1610612746,5,2,2024-03-15T00:12:16Z,160000,False,11.0,-2.0,1,left,P. George running Layup (2 PTS) (B. Hyland 1 AST),"[202331, 1630538]",1610612746.0,LAC,running,,,George,P. George,,,,,Restricted Area,0-8 Center,1.12,Made,2.0,,,B. Hyland,1630538.0,1.0,,,,,,,,,,,,
18,PT10M05.00S,2024-03-15T00:12:22.2Z,1,REGULAR,3pt,Jump Shot,[],1627936,71.30420499342969,77.69607843137256,1610612741,5,2,2024-03-15T00:12:27Z,180000,False,138.0,217.0,1,right,MISS A. Caruso 25' 3PT,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Above the Break 3,24+ Right Center,25.76,Missed,,,,,,,,,,,,,,,,,,
19,PT10M03.00S,2024-03-15T00:12:24.2Z,1,REGULAR,rebound,defensive,[],1630538,,,1610612746,5,2,2024-03-15T00:12:27Z,190000,False,,,0,,B. Hyland REBOUND (Off:0 Def:1),[1630538],1610612746.0,LAC,,,,Hyland,B. Hyland,,,,,Above the Break 3,24+ Right Center,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,
