actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-12-27T01:10:17.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-27T01:10:17Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-12-27T01:10:20.5Z,1,REGULAR,jumpball,recovered,[],1629632,,,1610612741,0,0,2023-12-27T01:10:20Z,40000,False,,,0,,Jump Ball A. Drummond vs. C. Capela: Tip to C. White,"[1629632, 203083, 203991]",1610612741.0,CHI,startperiod,C. White,1629632.0,White,C. White,Drummond,203083.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2023-12-27T01:10:40.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630172,10.33180026281209,54.41176470588235,1610612741,0,0,2023-12-27T01:11:50Z,70000,False,-22.0,45.0,1,left,MISS P. Williams driving finger roll Layup,[1630172],1610612741.0,CHI,driving finger roll,,,Williams,P. Williams,,,,,In The Paint (Non-RA),0-8 Center,4.98,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2023-12-27T01:10:42.2Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,0,0,2023-12-27T01:10:43Z,80000,False,,,0,,J. Johnson REBOUND (Off:0 Def:1),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M22.00S,2023-12-27T01:10:55.0Z,1,REGULAR,3pt,Jump Shot,[],1630180,84.05059132720105,94.6078431372549,1610612737,0,0,2023-12-27T01:11:01Z,90000,False,223.0,97.0,1,right,MISS S. Bey 24' 3PT,[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Right Center,24.33,Missed,,,,,,,,,,,,,,,,,,
10,PT11M18.00S,2023-12-27T01:10:59.0Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,0,0,2023-12-27T01:11:01Z,100000,False,,,0,,C. Capela REBOUND (Off:1 Def:0),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Above the Break 3,24+ Right Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M15.00S,2023-12-27T01:11:01.1Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203991,89.04402102496715,49.01960784313725,1610612737,0,0,2023-12-27T01:12:35Z,110000,False,-5.0,50.0,1,right,MISS C. Capela Hook,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),0-8 Center,5.07,Missed,,,,,,,,,,,,,,,,,,
12,PT11M12.00S,2023-12-27T01:11:04.1Z,1,REGULAR,rebound,offensive,[],1630552,,,1610612737,0,0,2023-12-27T01:11:09Z,120000,False,,,0,,J. Johnson REBOUND (Off:1 Def:1),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,11.0,2.0,1.0,1.0,,,,,,,,,,,,,,
13,PT11M12.00S,2023-12-27T01:11:04.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630552,94.40999984741211,50.0,1610612737,0,2,2023-12-27T01:11:04Z,130000,False,0.0,0.0,1,right,J. Johnson tip Layup (2 PTS),[1630552],1610612737.0,ATL,tip,,,Johnson,J. Johnson,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
14,PT11M04.00S,2023-12-27T01:11:13.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203083,6.1268068331143235,52.94117647058824,1610612741,2,2,2023-12-27T01:11:18Z,140000,False,-15.0,5.0,1,left,A. Drummond Layup (2 PTS) (D. DeRozan 1 AST),"[203083, 201942]",1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,1.56,Made,,,,,2.0,D. DeRozan,201942.0,1.0,,,,,,,,,,
16,PT10M50.00S,2023-12-27T01:11:26.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630552,93.64323258869908,50.73529411764706,1610612737,2,4,2023-12-27T01:11:31Z,160000,False,4.0,7.0,1,right,J. Johnson cutting Layup (4 PTS) (T. Young 1 AST),"[1630552, 1629027]",1610612737.0,ATL,cutting,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,0.82,Made,,,,,4.0,T. Young,1629027.0,1.0,,,,,,,,,,
18,PT10M44.00S,2023-12-27T01:11:32.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630172,5.995400788436268,50.0,1610612741,4,4,2023-12-27T01:14:16Z,180000,False,0.0,4.0,1,left,P. Williams driving DUNK (2 PTS) (D. DeRozan 2 AST),"[1630172, 201942]",1610612741.0,CHI,driving,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,0.39,Made,,,,,2.0,D. DeRozan,201942.0,2.0,,,,,,,,,,
20,PT10M28.00S,2023-12-27T01:11:56.5Z,1,REGULAR,3pt,Jump Shot,[],1627749,93.9060446780552,3.9215686274509802,1610612737,4,4,2023-12-27T01:12:01Z,200000,False,-230.0,5.0,1,right,MISS D. Murray 3PT,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Left Corner 3,24+ Left,23.04,Missed,,,,,,,,,,,,,,,,,,
