actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-03-26T00:10:18.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-26T00:10:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-03-26T00:10:22.2Z,1,REGULAR,jumpball,recovered,[],1629673,,,1610612764,0,0,2024-03-26T00:10:22Z,40000,False,,,0,,Jump Ball R. Holmes vs. N. Vucevic: Tip to J. Poole,"[1629673, 1626158, 202696]",1610612764.0,WAS,startperiod,J. Poole,1629673.0,Poole,J. Poole,Holmes,1626158.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-03-26T00:10:36.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630557,85.3646517739816,36.51960784313725,1610612764,0,0,2024-03-26T00:10:59Z,70000,False,-67.0,85.0,1,right,MISS C. Kispert 10' turnaround fadeaway Shot,[1630557],1610612764.0,WAS,turnaround fadeaway,,,Kispert,C. Kispert,,,,,In The Paint (Non-RA),8-16 Left,10.86,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2024-03-26T00:10:38.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,0,0,2024-03-26T00:10:45Z,80000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,In The Paint (Non-RA),8-16 Left,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M31.00S,2024-03-26T00:11:08.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630557,92.72339027595268,49.26470588235294,1610612764,0,2,2024-03-26T00:11:14Z,100000,False,-4.0,16.0,1,right,C. Kispert driving reverse Layup (2 PTS) (R. Holmes 1 AST),"[1630557, 1626158]",1610612764.0,WAS,driving reverse,,,Kispert,C. Kispert,,,,,Restricted Area,0-8 Center,1.63,Made,,2.0,R. Holmes,1626158.0,1.0,,,,,,,,,,,,,
12,PT11M05.00S,2024-03-26T00:11:34.5Z,1,REGULAR,3pt,Jump Shot,[],1629632,24.57293035479632,84.33670343137256,1610612741,0,2,2024-03-26T00:11:45Z,120000,False,-172.0,178.0,1,left,MISS C. White 24' 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Left Center,24.77,Missed,,,,,,,,,,,,,,,,,,
13,PT11M02.00S,2024-03-26T00:11:37.5Z,1,REGULAR,rebound,defensive,[],1630557,,,1610612764,0,2,2024-03-26T00:11:39Z,130000,False,,,0,,C. Kispert REBOUND (Off:0 Def:1),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Mid-Range,16-24 Left Center,,,12.0,,,,,1.0,1.0,0.0,,,,,,,,,,
14,PT10M57.00S,2024-03-26T00:11:43.2Z,1,REGULAR,3pt,Jump Shot,[],1629673,71.04139290407359,78.92156862745098,1610612764,0,5,2024-03-26T00:12:52Z,140000,False,145.0,220.0,1,right,J. Poole 26' 3PT  (3 PTS) (C. Kispert 1 AST),"[1629673, 1630557]",1610612764.0,WAS,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Right Center,26.3,Made,,3.0,C. Kispert,1630557.0,1.0,,,,,,,,,,,,,
16,PT10M44.00S,2024-03-26T00:11:55.3Z,1,REGULAR,turnover,bad pass,[],1630245,,,1610612741,0,5,2024-03-26T00:11:58Z,160000,False,,,0,,A. Dosunmu bad pass TURNOVER (1 TO),"[1630245, 1626158]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1.0,Holmes,1626158.0,,,,,,,
17,PT10M44.00S,2024-03-26T00:11:55.3Z,1,REGULAR,steal,,[],1626158,,,1610612764,0,5,2024-03-26T00:11:57Z,170000,False,,,0,,R. Holmes STEAL (1 STL),[1626158],1610612764.0,WAS,,,,Holmes,R. Holmes,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
