actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-12-07T01:10:16.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-07T01:10:16Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-12-07T01:10:20.4Z,1,REGULAR,jumpball,recovered,[],1626179,,,1610612766,0,0,2023-12-07T01:10:20Z,40000,False,,,0,,Jump Ball N. Richards vs. N. Vucevic: Tip to T. Rozier,"[1626179, 1630208, 202696]",1610612766.0,CHA,startperiod,T. Rozier,1626179.0,Rozier,T. Rozier,Richards,1630208.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2023-12-07T01:10:33.0Z,1,REGULAR,3pt,Jump Shot,[],1628970,32.14520367936925,45.588235294117645,1610612766,0,0,2023-12-07T01:10:50Z,70000,False,22.0,250.0,1,left,MISS M. Bridges 25' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Center,25.07,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2023-12-07T01:10:36.1Z,1,REGULAR,rebound,offensive,[],1630208,,,1610612766,0,0,2023-12-07T01:10:36Z,80000,False,,,0,,N. Richards REBOUND (Off:1 Def:0),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M36.00S,2023-12-07T01:10:39.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630208,6.783837056504599,48.77450980392157,1610612766,0,0,2023-12-07T01:11:00Z,90000,False,6.0,11.0,1,left,MISS N. Richards Layup,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,1.28,Missed,,,,,,,,,,,,,,,,,,
10,PT11M34.00S,2023-12-07T01:10:41.3Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,0,2023-12-07T01:10:41Z,100000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M15.00S,2023-12-07T01:11:18.0Z,1,REGULAR,3pt,Jump Shot,[],1630172,64.99671484888306,49.754901960784316,1610612741,0,0,2023-12-07T01:11:25Z,120000,False,-1.0,277.0,1,right,MISS P. Williams 27' 3PT,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Center,27.65,Missed,,,,,,,,,,,,,,,,,,
13,PT11M12.00S,2023-12-07T01:11:21.2Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,0,0,2023-12-07T01:11:21Z,130000,False,,,0,,N. Vucevic REBOUND (Off:1 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Center,,,12.0,2.0,1.0,1.0,,,,,,,,,,,,,,
14,PT11M05.00S,2023-12-07T01:11:28.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629632,71.43561103810775,21.568627450980394,1610612741,0,0,2023-12-07T01:11:36Z,140000,False,-142.0,216.0,1,right,MISS C. White 25' 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Left Center,25.86,Missed,,,,,,,,,,,,,,,,,,
15,PT10M59.00S,2023-12-07T01:11:33.1Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,0,0,2023-12-07T01:11:33Z,150000,False,,,0,,N. Vucevic REBOUND (Off:2 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Left Center,,,14.0,3.0,1.0,2.0,,,,,,,,,,,,,,
