actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-03-02T03:13:21.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-02T03:13:21Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-03-02T03:13:25.4Z,1,REGULAR,jumpball,recovered,[],203081,,,1610612749,0,0,2024-03-02T03:13:25Z,40000,False,,,0,,Jump Ball B. Lopez vs. N. Vucevic: Tip to D. Lillard,"[203081, 201572, 202696]",1610612749.0,MIL,startperiod,D. Lillard,203081.0,Lillard,D. Lillard,Lopez,201572.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2024-03-02T03:13:34.2Z,1,REGULAR,3pt,Jump Shot,[],203081,69.33311432325887,73.0392156862745,1610612749,0,3,2024-03-02T03:13:39Z,70000,False,115.0,236.0,1,right,D. Lillard 26' 3PT  (3 PTS) (G. Antetokounmpo 1 AST),"[203081, 203507]",1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Right Center,26.24,Made,3.0,G. Antetokounmpo,203507.0,1.0,,,,,,,,,,,,,,
9,PT11M32.00S,2024-03-02T03:13:51.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1630245,6.521024967148489,47.05882352941176,1610612741,2,3,2024-03-02T03:14:02Z,90000,False,15.0,9.0,1,left,A. Dosunmu driving finger roll Layup (2 PTS) (D. DeRozan 1 AST),"[1630245, 201942]",1610612741.0,CHI,driving finger roll,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,1.71,Made,2.0,D. DeRozan,201942.0,1.0,,,,,,,,,,,,,,
10,PT11M32.00S,2024-03-02T03:13:55.8Z,1,REGULAR,violation,defensive goaltending,[],201572,,,1610612741,2,3,2024-03-02T03:14:02Z,100000,False,,,0,,B. Lopez defensive goaltending VIOLATION,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,201639.0,,,,,,,,,,,,,
12,PT11M18.00S,2024-03-02T03:14:18.2Z,1,REGULAR,3pt,Jump Shot,[],203081,61.18593955321945,63.48039215686274,1610612749,2,6,2024-03-02T03:14:22Z,110000,False,67.0,312.0,1,right,D. Lillard 31' 3PT  (6 PTS) (G. Antetokounmpo 2 AST),"[203081, 203507]",1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Center,31.96,Made,6.0,G. Antetokounmpo,203507.0,2.0,,,,,,,,,,,,,,
14,PT11M06.00S,2024-03-02T03:14:30.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,12.434296977660972,46.32352941176471,1610612741,4,6,2024-03-02T03:14:36Z,130000,False,18.0,64.0,1,left,N. Vucevic 6' Jump Shot (2 PTS) (A. Dosunmu 1 AST),"[202696, 1630245]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,6.7,Made,2.0,A. Dosunmu,1630245.0,1.0,,,,,,,,,,,,,,
16,PT10M57.00S,2024-03-02T03:14:39.9Z,1,REGULAR,3pt,Jump Shot,[],1627736,72.22404730617609,18.38235294117647,1610612749,4,6,2024-03-02T03:14:45Z,150000,False,-158.0,209.0,1,right,MISS M. Beasley 26' 3PT,[1627736],1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Left Center,26.17,Missed,,,,,,,,,,,,,,,,,,
17,PT10M54.00S,2024-03-02T03:14:42.9Z,1,REGULAR,rebound,defensive,[],1627936,,,1610612741,4,6,2024-03-02T03:14:45Z,160000,False,,,0,,A. Caruso REBOUND (Off:0 Def:1),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Above the Break 3,24+ Left Center,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,
18,PT10M44.00S,2024-03-02T03:14:52.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,12.565703022339028,42.15686274509804,1610612741,6,6,2024-03-02T03:14:57Z,170000,False,39.0,66.0,1,left,N. Vucevic 7' floating Jump Shot (4 PTS) (D. DeRozan 2 AST),"[202696, 201942]",1610612741.0,CHI,floating,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,7.64,Made,4.0,D. DeRozan,201942.0,2.0,,,,,,,,,,,,,,
