actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-01-11T01:12:15.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-11T01:12:15Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-01-11T01:12:18.2Z,1,REGULAR,jumpball,recovered,[],201942,,,1610612741,0,0,2024-01-11T01:12:18Z,40000,False,,,0,,Jump Ball N. Vucevic vs. A. Sengun: Tip to D. DeRozan,"[201942, 202696, 1630578]",1610612741.0,CHI,startperiod,D. DeRozan,201942.0,DeRozan,D. DeRozan,Vucevic,202696.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-01-11T01:12:32.5Z,1,REGULAR,3pt,Jump Shot,[],1627936,96.27135348226018,96.81372549019608,1610612741,0,0,2024-01-11T01:12:37Z,70000,False,234.0,-17.0,1,right,MISS A. Caruso 3PT,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Right Corner 3,24+ Right,23.48,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2024-01-11T01:12:36.5Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,0,0,2024-01-11T01:12:37Z,80000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Right Corner 3,24+ Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M19.00S,2024-01-11T01:12:54.9Z,1,REGULAR,3pt,Jump Shot,[],1630224,30.042706964520367,29.901960784313726,1610612745,0,0,2024-01-11T01:13:37Z,90000,False,100.0,230.0,1,left,MISS J. Green 25' step back 3PT,[1630224],1610612745.0,HOU,step back,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,25.09,Missed,,,,,,,,,,,,,,,,,,
10,PT11M15.00S,2024-01-11T01:12:58.9Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,0,0,2024-01-11T01:13:01Z,100000,False,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Right Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M02.00S,2024-01-11T01:13:11.6Z,1,REGULAR,3pt,Jump Shot,[],1629632,70.12155059132719,15.441176470588236,1610612741,0,0,2024-01-11T01:13:16Z,110000,False,-173.0,228.0,1,right,MISS C. White 28' 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Left Center,28.64,Missed,,,,,,,,,,,,,,,,,,
12,PT11M00.00S,2024-01-11T01:13:13.6Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612745,0,0,2024-01-11T01:13:16Z,120000,False,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M49.00S,2024-01-11T01:13:25.1Z,1,REGULAR,2pt,Jump Shot,[],1627832,21.632720105124836,76.47058823529412,1610612745,0,2,2024-01-11T01:13:31Z,130000,False,-132.0,151.0,1,left,F. VanVleet 20' pullup Jump Shot (2 PTS) (A. Sengun 1 AST),"[1627832, 1630578]",1610612745.0,HOU,pullup,,,VanVleet,F. VanVleet,,,,,Mid-Range,16-24 Left Center,20.07,Made,,,,,2.0,A. Sengun,1630578.0,1.0,,,,,,,,,,
16,PT10M31.00S,2024-01-11T01:13:56.1Z,1,REGULAR,3pt,Jump Shot,[],1627936,72.48685939553219,17.647058823529413,1610612741,0,2,2024-01-11T01:14:01Z,160000,False,-162.0,206.0,1,right,MISS A. Caruso 26' 3PT,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Above the Break 3,24+ Left Center,26.2,Missed,,,,,,,,,,,,,,,,,,
17,PT10M27.00S,2024-01-11T01:14:00.1Z,1,REGULAR,rebound,defensive,[],1630256,,,1610612745,0,2,2024-01-11T01:14:01Z,170000,False,,,0,,J. Tate REBOUND (Off:0 Def:1),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,Above the Break 3,24+ Left Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M19.00S,2024-01-11T01:14:08.1Z,1,REGULAR,3pt,Jump Shot,[],1627832,13.222733245729303,96.81372549019608,1610612745,0,5,2024-01-11T01:14:13Z,180000,False,-234.0,72.0,1,left,F. VanVleet 24' 3PT  (5 PTS) (A. Sengun 2 AST),"[1627832, 1630578]",1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Left Corner 3,24+ Left,24.49,Made,,,,,5.0,A. Sengun,1630578.0,2.0,,,,,,,,,,
38,PT10M03.00S,2024-01-11T01:14:28.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629632,91.5407358738502,52.69607843137255,1610612741,0,5,2024-01-11T01:19:16Z,215000,False,13.0,27.0,1,right,MISS C. White driving Layup - blocked,"[1629632, 1627832]",1610612741.0,CHI,driving,,,White,C. White,,,,,Restricted Area,0-8 Center,3.02,Missed,,,,,,,,,VanVleet,1627832.0,,,,,,,,
39,PT10M03.00S,2024-01-11T01:14:28.3Z,1,REGULAR,block,,[],1627832,,,1610612741,0,5,2024-01-11T01:19:16Z,217500,False,,,0,,F. VanVleet BLOCK (1 BLK),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
40,PT10M03.00S,2024-01-11T01:14:28.3Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,0,5,2024-01-11T01:19:16Z,218750,False,,,0,,A. Sengun REBOUND (Off:0 Def:2),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,38.0,2.0,2.0,0.0,,,,,,,,,,,,,,
22,PT09M55.00S,2024-01-11T01:14:32.3Z,1,REGULAR,3pt,Jump Shot,[],1627832,27.94021024967148,76.7156862745098,1610612745,0,5,2024-01-11T01:19:16Z,220000,False,-134.0,210.0,1,left,MISS F. VanVleet 24' 3PT,[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,24.9,Missed,,,,,,,,,,,,,,,,,,
