actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-01-13T01:10:20.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-13T01:10:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-01-13T01:10:23.7Z,1,REGULAR,jumpball,recovered,[],1627936,,,1610612741,0,0,2024-01-13T01:10:23Z,40000,False,,,0,,Jump Ball N. Vucevic vs. K. Looney: Tip to A. Caruso,"[1627936, 202696, 1626172]",1610612741.0,CHI,startperiod,A. Caruso,1627936.0,Caruso,A. Caruso,Vucevic,202696.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-01-13T01:10:38.1Z,1,REGULAR,foul,personal,['3freethrow'],1626172,,,1610612741,0,0,2024-01-13T01:10:46Z,70000,False,,,0,,K. Looney shooting personal FOUL (1 PF) (White 3 FT),"[1626172, 1629632]",1610612744.0,GSW,shooting,,,Looney,K. Looney,,,,,Above the Break 3,24+ Right Center,2714.0,1.0,0.0,White,1629632.0,,,,,,,,,,,,,,,
9,PT11M44.00S,2024-01-13T01:11:00.3Z,1,REGULAR,freethrow,1 of 3,[],1629632,,,1610612741,1,0,2024-01-13T01:11:00Z,90000,False,,,0,,C. White Free Throw 1 of 3 (1 PTS),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M44.00S,2024-01-13T01:11:00.3Z,1,REGULAR,freethrow,2 of 3,[],1629632,,,1610612741,2,0,2024-01-13T01:11:26Z,100000,False,,,0,,C. White Free Throw 2 of 3 (2 PTS),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M44.00S,2024-01-13T01:11:00.3Z,1,REGULAR,freethrow,3 of 3,[],1629632,,,1610612741,2,0,2024-01-13T01:11:26Z,110000,False,,,0,,MISS C. White Free Throw 3 of 3,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
12,PT11M42.00S,2024-01-13T01:11:02.3Z,1,REGULAR,rebound,defensive,[],203967,,,1610612744,2,0,2024-01-13T01:11:26Z,120000,False,,,0,,D. Saric REBOUND (Off:0 Def:1),[203967],1610612744.0,GSW,,,,Saric,D. Saric,,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,
13,PT11M27.00S,2024-01-13T01:11:39.6Z,1,REGULAR,3pt,Jump Shot,[],203952,31.09395532194481,57.84313725490197,1610612744,2,3,2024-01-13T01:11:44Z,130000,False,-39.0,240.0,1,left,A. Wiggins 24' 3PT  (3 PTS) (D. Saric 1 AST),"[203952, 203967]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Center,,,,,,Made,3.0,,,,,24.3,D. Saric,203967.0,1.0,,,,,
15,PT11M10.00S,2024-01-13T01:11:56.8Z,1,REGULAR,2pt,Jump Shot,[],201942,72.22404730617609,63.725490196078425,1610612741,2,3,2024-01-13T01:12:10Z,150000,False,69.0,209.0,1,right,MISS D. DeRozan 21' Jump Shot,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Right Center,,,,,,Missed,,,,,,21.96,,,,,,,,
16,PT11M08.00S,2024-01-13T01:11:58.8Z,1,REGULAR,rebound,defensive,[],203967,,,1610612744,2,3,2024-01-13T01:12:01Z,160000,False,,,0,,D. Saric REBOUND (Off:0 Def:2),[203967],1610612744.0,GSW,,,,Saric,D. Saric,,,,,Mid-Range,16-24 Right Center,,,,,,,,15.0,2.0,2.0,0.0,,,,,,,,,
17,PT11M02.00S,2024-01-13T01:12:04.8Z,1,REGULAR,3pt,Jump Shot,[],203952,11.12023653088042,94.36274509803921,1610612744,2,3,2024-01-13T01:12:09Z,170000,False,-222.0,52.0,1,left,MISS A. Wiggins 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Left Corner 3,24+ Left,,,,,,Missed,,,,,,22.78,,,,,,,,
18,PT10M59.00S,2024-01-13T01:12:07.8Z,1,REGULAR,rebound,defensive,[],1629632,,,1610612741,2,3,2024-01-13T01:12:09Z,180000,False,,,0,,C. White REBOUND (Off:0 Def:1),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Left Corner 3,24+ Left,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,
19,PT10M53.00S,2024-01-13T01:12:13.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629632,93.11760840998686,50.0,1610612741,4,3,2024-01-13T01:12:26Z,190000,False,0.0,12.0,1,right,C. White running Layup (4 PTS),[1629632],1610612741.0,CHI,running,,,White,C. White,,,,,Restricted Area,0-8 Center,,,,,,Made,4.0,,,,,1.22,,,,,,,,
20,PT10M42.00S,2024-01-13T01:12:24.4Z,1,REGULAR,3pt,Jump Shot,[],201939,5.863994743758213,95.09803921568627,1610612744,4,3,2024-01-13T01:12:29Z,200000,False,-225.0,3.0,1,left,MISS S. Curry 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Left Corner 3,24+ Left,,,,,,Missed,,,,,,22.55,,,,,,,,
21,PT10M38.00S,2024-01-13T01:12:28.4Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,4,3,2024-01-13T01:28:33Z,210000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Left Corner 3,24+ Left,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,
