actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-01-06T01:10:22.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-06T01:10:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-01-06T01:10:24.6Z,1,REGULAR,jumpball,recovered,[],1629632,,,1610612741,0,0,2024-01-06T01:10:24Z,40000,False,,,0,,Jump Ball A. Drummond vs. N. Richards: Tip to C. White,"[1629632, 203083, 1630208]",1610612741.0,CHI,startperiod,C. White,1629632.0,White,C. White,Drummond,203083.0,Richards,1630208.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-01-06T01:10:44.4Z,1,REGULAR,foul,personal,[],1641706,,,1610612741,0,0,2024-01-06T01:10:51Z,70000,False,,,0,,B. Miller personal FOUL (1 PF),"[1641706, 201942]",1610612766.0,CHA,,,,Miller,B. Miller,,,,,Restricted Area,0-8 Center,202053.0,1.0,0.0,DeRozan,201942.0,,,,,,,,,,,,,,,
9,PT11M35.00S,2024-01-06T01:11:04.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630245,88.38699080157687,58.08823529411765,1610612741,0,0,2024-01-06T01:11:26Z,90000,False,40.0,57.0,1,right,MISS A. Dosunmu 6' driving floating Shot,[1630245],1610612741.0,CHI,driving floating,,,Dosunmu,A. Dosunmu,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.96,Missed,,,,,,,,,,,,,
10,PT11M34.00S,2024-01-06T01:11:05.7Z,1,REGULAR,rebound,defensive,[],1628998,,,1610612766,0,0,2024-01-06T01:11:11Z,100000,False,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,
11,PT11M14.00S,2024-01-06T01:11:26.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628998,12.434296977660972,50.73529411764706,1610612766,0,0,2024-01-06T01:11:38Z,110000,False,-4.0,64.0,1,left,MISS C. Martin 6' driving floating Shot,[1628998],1610612766.0,CHA,driving floating,,,Martin,C. Martin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.45,Missed,,,,,,,,,,,,,
12,PT11M11.00S,2024-01-06T01:11:29.2Z,1,REGULAR,rebound,defensive,[],203083,,,1610612741,0,0,2024-01-06T01:11:29Z,120000,False,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,
13,PT11M10.00S,2024-01-06T01:11:30.0Z,1,REGULAR,turnover,bad pass,[],203083,,,1610612741,0,0,2024-01-06T01:11:42Z,130000,False,,,0,,A. Drummond bad pass TURNOVER (1 TO),"[203083, 1626179]",1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1.0,Rozier,1626179.0,,,,,,
14,PT11M10.00S,2024-01-06T01:11:30.0Z,1,REGULAR,steal,,[],1626179,,,1610612766,0,0,2024-01-06T01:11:32Z,140000,False,,,0,,T. Rozier STEAL (1 STL),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT11M06.00S,2024-01-06T01:11:33.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626179,22.815374507227332,88.48039215686273,1610612766,0,0,2024-01-06T01:11:46Z,150000,False,-192.0,162.0,1,left,MISS T. Rozier 25' pullup bank 3PT,[1626179],1610612766.0,CHA,pullup bank,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Left Center,,,,,,25.15,Missed,,,,,,,,,,,,,
16,PT11M04.00S,2024-01-06T01:11:35.8Z,1,REGULAR,rebound,defensive,[],1629632,,,1610612741,0,0,2024-01-06T01:11:35Z,160000,False,,,0,,C. White REBOUND (Off:0 Def:1),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Right Center,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,
17,PT11M01.00S,2024-01-06T01:11:38.6Z,1,REGULAR,3pt,Jump Shot,[],201942,66.83639947437582,35.049019607843135,1610612741,0,0,2024-01-06T01:12:48Z,170000,False,-75.0,259.0,1,right,MISS D. DeRozan 26' 3PT,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Center,,,,,,26.98,Missed,,,,,,,,,,,,,
18,PT10M57.00S,2024-01-06T01:11:42.6Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,0,0,2024-01-06T01:11:51Z,180000,False,,,0,,N. Richards REBOUND (Off:0 Def:1),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Center,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,
20,PT10M37.00S,2024-01-06T01:12:24.0Z,1,REGULAR,turnover,lost ball,[],1628998,,,1610612766,0,0,2024-01-06T01:12:28Z,200000,False,,,0,,C. Martin lost ball TURNOVER (1 TO),"[1628998, 1631207]",1610612766.0,CHA,,,,Martin,C. Martin,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,1.0,Terry,1631207.0,,,,,,
21,PT10M37.00S,2024-01-06T01:12:24.0Z,1,REGULAR,steal,,[],1631207,,,1610612741,0,0,2024-01-06T01:12:25Z,210000,False,,,0,,D. Terry STEAL (1 STL),[1631207],1610612741.0,CHI,,,,Terry,D. Terry,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
22,PT10M33.00S,2024-01-06T01:12:29.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover', 'defensivegoaltending']",1630245,94.43166885676742,55.14705882352941,1610612741,2,0,2024-01-06T01:13:53Z,220000,False,26.0,0.0,1,right,A. Dosunmu running Layup (2 PTS) (D. Terry 1 AST),"[1630245, 1631207]",1610612741.0,CHI,running,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,,,,,,2.57,Made,,,,,,,,2.0,D. Terry,1631207.0,1.0,,
24,PT10M33.00S,2024-01-06T01:12:33.2Z,1,REGULAR,violation,defensive goaltending,[],1641706,,,1610612741,2,0,2024-01-06T01:12:59Z,240000,False,,,0,,B. Miller defensive goaltending VIOLATION,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,,,2004.0,,,,,,,,,,,,,,,,,,,
25,PT10M08.00S,2024-01-06T01:13:04.1Z,1,REGULAR,2pt,Jump Shot,[],1628970,21.369908015768726,54.166666666666664,1610612766,2,2,2024-01-06T01:14:38Z,250000,False,-21.0,148.0,1,left,M. Bridges 14' turnaround fadeaway Jump Shot (2 PTS),[1628970],1610612766.0,CHA,turnaround fadeaway,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Center,,,,,,14.99,Made,,,,,,,,2.0,,,,,
26,PT09M48.00S,2024-01-06T01:13:23.8Z,1,REGULAR,turnover,bad pass,[],203083,,,1610612741,2,2,2024-01-06T01:13:28Z,260000,False,,,0,,A. Drummond bad pass TURNOVER (2 TO),"[203083, 1628998]",1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,2.0,Martin,1628998.0,,,,,,
27,PT09M48.00S,2024-01-06T01:13:23.8Z,1,REGULAR,steal,,[],1628998,,,1610612766,2,2,2024-01-06T01:13:25Z,270000,False,,,0,,C. Martin STEAL (1 STL),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
28,PT09M44.00S,2024-01-06T01:13:27.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628998,6.1268068331143235,48.77450980392157,1610612766,2,4,2024-01-06T01:13:35Z,280000,False,6.0,5.0,1,left,C. Martin running Layup (2 PTS),[1628998],1610612766.0,CHA,running,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,,,,0.8,Made,,,,,,,,2.0,,,,,
29,PT09M28.00S,2024-01-06T01:13:43.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203083,81.07752956636006,51.83823529411765,1610612741,2,4,2024-01-06T01:13:48Z,290000,False,9.0,125.0,1,right,MISS A. Drummond 12' turnaround Hook,[203083],1610612741.0,CHI,turnaround,,,Drummond,A. Drummond,,,,,In The Paint (Non-RA),8-16 Center,,,,,,12.57,Missed,,,,,,,,,,,,,
30,PT09M26.00S,2024-01-06T01:13:45.8Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,2,4,2024-01-06T01:13:48Z,300000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,
31,PT09M07.00S,2024-01-06T01:14:04.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628970,8.09789750328515,49.01960784313725,1610612766,2,6,2024-01-06T01:14:08Z,310000,False,5.0,24.0,1,left,M. Bridges driving finger roll Layup (4 PTS),[1628970],1610612766.0,CHA,driving finger roll,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,,,2.41,Made,,,,,,,,4.0,,,,,
32,PT08M53.00S,2024-01-06T01:14:18.2Z,1,REGULAR,3pt,Jump Shot,[],1631207,67.88764783180025,27.450980392156865,1610612741,2,6,2024-01-06T01:14:23Z,320000,False,-113.0,249.0,1,right,MISS D. Terry 27' 3PT,[1631207],1610612741.0,CHI,,,,Terry,D. Terry,,,,,Above the Break 3,24+ Left Center,,,,,,27.37,Missed,,,,,,,,,,,,,
33,PT08M48.00S,2024-01-06T01:14:23.2Z,1,REGULAR,rebound,offensive,[],203083,,,1610612741,2,6,2024-01-06T01:14:23Z,330000,False,,,0,,A. Drummond REBOUND (Off:1 Def:1),[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,Above the Break 3,24+ Left Center,,,,,,,,32.0,2.0,1.0,1.0,,,,,,,,,
34,PT08M48.00S,2024-01-06T01:14:23.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203083,94.40999984741211,50.0,1610612741,4,6,2024-01-06T01:14:26Z,340000,False,0.0,0.0,1,right,A. Drummond putback Layup (2 PTS),[203083],1610612741.0,CHI,putback,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,,,,,,0.0,Made,,,,,,,,2.0,,,,,
35,PT08M34.00S,2024-01-06T01:14:38.4Z,1,REGULAR,2pt,Jump Shot,[],1628970,3.630091984231275,29.901960784313726,1610612766,4,8,2024-01-06T01:16:18Z,350000,False,100.0,-18.0,1,left,M. Bridges 10' fadeaway Jump Shot (6 PTS) (T. Rozier 1 AST),"[1628970, 1626179]",1610612766.0,CHA,fadeaway,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Right,,,,,,10.22,Made,,,,,,,,6.0,T. Rozier,1626179.0,1.0,,
37,PT08M18.00S,2024-01-06T01:14:53.7Z,1,REGULAR,3pt,Jump Shot,[],1629632,62.10578186596584,45.588235294117645,1610612741,7,8,2024-01-06T01:14:58Z,370000,False,-22.0,304.0,1,right,C. White 30' 3PT  (3 PTS) (D. DeRozan 1 AST),"[1629632, 201942]",1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Center,,,,,,30.45,Made,,,,,,,,3.0,D. DeRozan,201942.0,1.0,,
39,PT07M57.00S,2024-01-06T01:15:15.0Z,1,REGULAR,3pt,Jump Shot,[],1641706,8.492115637319317,5.147058823529411,1610612766,7,8,2024-01-06T01:15:20Z,390000,False,224.0,27.0,1,left,MISS B. Miller 3PT,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Right Corner 3,24+ Right,,,,,,22.6,Missed,,,,,,,,,,,,,
40,PT07M55.00S,2024-01-06T01:15:17.4Z,1,REGULAR,rebound,offensive,[],1630208,,,1610612766,7,8,2024-01-06T01:15:17Z,400000,False,,,0,,N. Richards REBOUND (Off:1 Def:1),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Right Corner 3,24+ Right,,,,,,,,39.0,2.0,1.0,1.0,,,,,,,,,
41,PT07M52.00S,2024-01-06T01:15:20.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630208,6.915243101182654,52.450980392156865,1610612766,7,8,2024-01-06T01:15:24Z,410000,False,-12.0,13.0,1,left,MISS N. Richards putback Layup - blocked,"[1630208, 203083]",1610612766.0,CHA,putback,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,1.75,Missed,,,,,,,,,,,,Drummond,203083.0
42,PT07M52.00S,2024-01-06T01:15:20.0Z,1,REGULAR,block,,[],203083,,,1610612766,7,8,2024-01-06T01:15:22Z,420000,False,,,0,,A. Drummond BLOCK (1 BLK),[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
43,PT07M49.00S,2024-01-06T01:15:23.0Z,1,REGULAR,rebound,offensive,[],1630208,,,1610612766,7,8,2024-01-06T01:15:24Z,430000,False,,,0,,N. Richards REBOUND (Off:2 Def:1),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,,,41.0,3.0,1.0,2.0,,,,,,,,,
44,PT07M48.00S,2024-01-06T01:15:23.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630208,6.389618922470433,47.30392156862745,1610612766,7,8,2024-01-06T01:15:28Z,440000,False,13.0,8.0,1,left,MISS N. Richards putback Layup,[1630208],1610612766.0,CHA,putback,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,1.55,Missed,,,,,,,,,,,,,
45,PT07M46.00S,2024-01-06T01:15:25.8Z,1,REGULAR,rebound,defensive,[],1629632,,,1610612741,7,8,2024-01-06T01:15:52Z,450000,False,,,0,,C. White REBOUND (Off:0 Def:2),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Restricted Area,0-8 Center,,,,,,,,44.0,2.0,2.0,0.0,,,,,,,,,
46,PT07M42.00S,2024-01-06T01:15:30.2Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",203083,87.25361366622865,49.96553308823529,1610612741,9,8,2024-01-06T01:15:49Z,460000,False,0.0,67.0,1,right,A. Drummond 6' floating Jump Shot (4 PTS) (D. Terry 2 AST),"[203083, 1631207]",1610612741.0,CHI,floating,,,Drummond,A. Drummond,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.73,Made,,,,,,,,4.0,D. Terry,1631207.0,2.0,,
48,PT07M18.00S,2024-01-06T01:15:53.7Z,1,REGULAR,2pt,Jump Shot,[],1628970,4.944152431011826,11.76470588235294,1610612766,9,8,2024-01-06T02:34:13Z,480000,False,191.0,-6.0,1,left,MISS M. Bridges 19' step back Shot,[1628970],1610612766.0,CHA,step back,,,Bridges,M. Bridges,,,,,Mid-Range,16-24 Right,,,,,,19.13,Missed,,,,,,,,,,,,,
49,PT07M15.00S,2024-01-06T01:15:56.7Z,1,REGULAR,rebound,defensive,[],203083,,,1610612741,9,8,2024-01-06T01:15:57Z,490000,False,,,0,,A. Drummond REBOUND (Off:1 Def:2),[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,Mid-Range,16-24 Right,,,,,,,,48.0,3.0,2.0,1.0,,,,,,,,,
50,PT07M07.00S,2024-01-06T01:16:04.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201942,80.55190538764782,56.15042892156863,1610612741,11,8,2024-01-06T01:16:14Z,500000,False,31.0,130.0,1,right,D. DeRozan 13' pullup Jump Shot (2 PTS),[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),8-16 Center,,,,,,13.39,Made,,,,,,,,2.0,,,,,
51,PT06M50.00S,2024-01-06T01:16:21.7Z,1,REGULAR,3pt,Jump Shot,[],1641706,27.151773981603156,80.63725490196079,1610612766,11,11,2024-01-06T01:18:35Z,510000,False,-153.0,203.0,1,left,B. Miller 25' 3PT step back (3 PTS) (N. Richards 1 AST),"[1641706, 1630208]",1610612766.0,CHA,step back,,,Miller,B. Miller,,,,,Above the Break 3,24+ Left Center,,,,,,25.41,Made,,,,,,,,3.0,N. Richards,1630208.0,1.0,,
53,PT06M49.00S,2024-01-06T01:16:27.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,11,11,2024-01-06T01:16:27Z,530000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M49.00S,2024-01-06T01:18:18.5Z,1,REGULAR,substitution,out,[],1631207,,,1610612741,11,11,2024-01-06T01:18:33Z,540000,False,,,0,,SUB out: D. Terry,[1631207],1610612741.0,CHI,,,,Terry,D. Terry,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M49.00S,2024-01-06T01:18:18.5Z,1,REGULAR,substitution,in,[],203897,,,1610612741,11,11,2024-01-06T01:18:33Z,550000,False,,,0,,SUB in: Z. LaVine,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M25.00S,2024-01-06T01:19:43.3Z,1,REGULAR,3pt,Jump Shot,[],1629632,69.59592641261499,27.696078431372552,1610612741,11,11,2024-01-06T01:19:59Z,560000,False,-112.0,233.0,1,right,MISS C. White 25' pullup 3PT,[1629632],1610612741.0,CHI,pullup,,,White,C. White,,,,,Above the Break 3,24+ Left Center,,,,,,25.86,Missed,,,,,,,,,,,,,
57,PT06M23.00S,2024-01-06T01:19:45.3Z,1,REGULAR,rebound,defensive,[],1641706,,,1610612766,11,11,2024-01-06T01:19:47Z,570000,False,,,0,,B. Miller REBOUND (Off:0 Def:1),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Left Center,,,,,,,,56.0,1.0,1.0,0.0,,,,,,,,,
58,PT06M12.00S,2024-01-06T01:19:57.1Z,1,REGULAR,3pt,Jump Shot,[],1641706,33.85348226018397,52.20588235294118,1610612766,11,11,2024-01-06T01:20:02Z,580000,False,-11.0,266.0,1,left,MISS B. Miller 26' 3PT,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Center,,,,,,26.59,Missed,,,,,,,,,,,,,
59,PT06M09.00S,2024-01-06T01:20:00.1Z,1,REGULAR,rebound,defensive,[],203083,,,1610612741,11,11,2024-01-06T01:20:02Z,590000,False,,,0,,A. Drummond REBOUND (Off:1 Def:3),[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,Above the Break 3,24+ Center,,,,,,,,58.0,4.0,3.0,1.0,,,,,,,,,
60,PT06M06.00S,2024-01-06T01:20:07.1Z,1,REGULAR,foul,personal,[],1626179,,,1610612741,11,11,2024-01-06T01:20:22Z,600000,False,,,0,,T. Rozier personal FOUL (1 PF),"[1626179, 1629632]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),0-8 Center,2004.0,1.0,0.0,White,1629632.0,,,,,,,,,,,,,,,
62,PT06M06.00S,2024-01-06T01:20:15.3Z,1,REGULAR,substitution,out,[],203083,,,1610612741,11,11,2024-01-06T01:20:27Z,620000,False,,,0,,SUB out: A. Drummond,[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M06.00S,2024-01-06T01:20:15.3Z,1,REGULAR,substitution,out,[],1626179,,,1610612741,11,11,2024-01-06T01:20:27Z,630000,False,,,0,,SUB out: T. Rozier,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M06.00S,2024-01-06T01:20:15.3Z,1,REGULAR,substitution,out,[],1628998,,,1610612741,11,11,2024-01-06T01:20:27Z,640000,False,,,0,,SUB out: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M06.00S,2024-01-06T01:20:15.3Z,1,REGULAR,substitution,in,[],202696,,,1610612741,11,11,2024-01-06T01:20:27Z,650000,False,,,0,,SUB in: N. Vucevic,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M06.00S,2024-01-06T01:20:15.3Z,1,REGULAR,substitution,in,[],202397,,,1610612741,11,11,2024-01-06T01:20:27Z,660000,False,,,0,,SUB in: I. Smith,[202397],1610612766.0,CHA,,,,Smith,I. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
