actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-10-28T00:10:26.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-10-28T00:10:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-10-28T00:10:29.3Z,1,REGULAR,jumpball,recovered,[],1630172,,,1610612741,0,0,2023-10-28T00:10:29Z,40000,False,,,0,,Jump Ball N. Vucevic vs. J. Poeltl: Tip to P. Williams,"[1630172, 202696, 1627751]",1610612741.0,CHI,startperiod,P. Williams,1630172.0,Williams,P. Williams,Vucevic,202696.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2023-10-28T00:11:18.4Z,1,REGULAR,3pt,Jump Shot,[],1629632,78.53153745072274,11.029411764705882,1610612741,0,0,2023-10-28T00:11:23Z,80000,False,-195.0,149.0,1,right,MISS C. White 24' 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Left Center,24.55,Missed,,,,,,,,,,,,,,,,,,
9,PT11M33.00S,2023-10-28T00:11:21.4Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,0,0,2023-10-28T00:11:23Z,90000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Above the Break 3,24+ Left Center,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M18.00S,2023-10-28T00:11:35.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203471,5.732588699080158,47.549019607843135,1610612761,0,2,2023-10-28T00:11:40Z,100000,False,12.0,1.0,1,left,D. Schroder driving finger roll Layup (2 PTS),[203471],1610612761.0,TOR,driving finger roll,,,Schroder,D. Schroder,,,,,Restricted Area,0-8 Center,1.24,Made,,,,,2.0,,,,,,,,,,,,,
11,PT10M59.00S,2023-10-28T00:11:54.9Z,1,REGULAR,turnover,lost ball,[],1630172,,,1610612741,0,2,2023-10-28T00:11:58Z,110000,False,,,0,,P. Williams lost ball TURNOVER (1 TO),"[1630172, 1628384]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,Mid-Range,16-24 Left Center,,,,,,,,1.0,Anunoby,1628384.0,,,,,,,,,,
12,PT10M59.00S,2023-10-28T00:11:54.9Z,1,REGULAR,steal,,[],1628384,,,1610612761,0,2,2023-10-28T00:11:57Z,120000,False,,,0,,O. Anunoby STEAL (1 STL),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
13,PT10M55.00S,2023-10-28T00:11:59.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628384,5.863994743758213,51.225490196078425,1610612761,0,4,2023-10-28T00:12:14Z,130000,False,-6.0,3.0,1,left,O. Anunoby running Layup (2 PTS),[1628384],1610612761.0,TOR,running,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,0.66,Made,,,,,2.0,,,,,,,,,,,,,
14,PT10M43.00S,2023-10-28T00:12:13.3Z,1,REGULAR,turnover,out-of-bounds,[],1629632,,,1610612741,0,4,2023-10-28T00:12:22Z,140000,False,,,0,,C. White bad pass out-of-bounds TURNOVER (1 TO),[1629632],1610612741.0,CHI,bad pass,,,White,C. White,,,,,Restricted Area,0-8 Center,,,,,,,,1.0,,,1627529.0,,,,,,,,,
15,PT10M25.00S,2023-10-28T00:12:34.9Z,1,REGULAR,turnover,bad pass,[],1627751,,,1610612761,0,4,2023-10-28T00:12:38Z,150000,False,,,0,,J. Poeltl bad pass TURNOVER (1 TO),"[1627751, 1630172]",1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Mid-Range,16-24 Center,,,,,,,,1.0,Williams,1630172.0,,,,,,,,,,
