actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-04-10T00:10:58.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-10T00:10:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-04-10T00:11:01.5Z,1,REGULAR,jumpball,recovered,[],1629632,,,1610612741,0,0,2024-04-10T00:11:01Z,40000,False,,,0,,Jump Ball N. Vucevic vs. I. Hartenstein: Tip to C. White,"[1629632, 202696, 1628392]",1610612741.0,CHI,startperiod,C. White,1629632.0,White,C. White,Vucevic,202696.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-04-10T00:11:15.2Z,1,REGULAR,2pt,Jump Shot,[],1629632,21.107095926412615,56.127450980392155,1610612741,2,0,2024-04-10T00:11:24Z,70000,False,-31.0,146.0,1,left,C. White 14' step back Jump Shot (2 PTS),[1629632],1610612741.0,CHI,step back,,,White,C. White,,,,,Mid-Range,8-16 Center,14.91,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M29.00S,2024-04-10T00:11:28.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628384,93.51182654402102,51.470588235294116,1610612752,2,2,2024-04-10T00:11:45Z,80000,False,7.0,8.0,1,right,O. Anunoby driving Layup (2 PTS) (D. DiVincenzo 1 AST),"[1628384, 1628978]",1610612752.0,NYK,driving,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,1.13,Made,2.0,D. DiVincenzo,1628978.0,1.0,,,,,,,,,,,,,,
10,PT11M24.00S,2024-04-10T00:11:37.4Z,1,REGULAR,turnover,out-of-bounds,[],201942,,,1610612741,2,2,2024-04-10T00:11:43Z,100000,False,,,0,,D. DeRozan lost ball out-of-bounds TURNOVER (1 TO),[201942],1610612741.0,CHI,lost ball,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Right,,,,,,,1627534.0,1.0,,,,,,,,,,,,
11,PT11M09.00S,2024-04-10T00:11:55.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628384,92.72339027595268,50.0,1610612752,2,4,2024-04-10T00:12:00Z,110000,False,0.0,16.0,1,right,O. Anunoby driving DUNK (4 PTS) (J. Brunson 1 AST),"[1628384, 1628973]",1610612752.0,NYK,driving,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,1.59,Made,4.0,J. Brunson,1628973.0,1.0,,,,,,,,,,,,,,
13,PT10M51.00S,2024-04-10T00:12:13.4Z,1,REGULAR,2pt,Jump Shot,[],202696,10.5946123521682,22.30392156862745,1610612741,2,4,2024-04-10T00:12:26Z,130000,False,138.0,47.0,1,left,MISS N. Vucevic 14' Jump Shot,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,8-16 Right,14.63,Missed,,,,,,,,,,,,,,,,,,
14,PT10M47.00S,2024-04-10T00:12:17.4Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,2,4,2024-04-10T00:12:26Z,140000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Mid-Range,8-16 Right,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT10M42.00S,2024-04-10T00:12:27.1Z,1,REGULAR,turnover,out-of-bounds,[],1628392,,,1610612752,2,4,2024-04-10T00:12:36Z,150000,False,,,0,,I. Hartenstein lost ball out-of-bounds TURNOVER (1 TO),[1628392],1610612752.0,NYK,lost ball,,,Hartenstein,I. Hartenstein,,,,,Mid-Range,8-16 Right,,,,,,,200834.0,1.0,,,,,,,,,,,,
16,PT10M25.00S,2024-04-10T00:12:51.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629750,28.728646517739815,23.284313725490197,1610612741,2,4,2024-04-10T00:12:56Z,160000,False,134.0,218.0,1,left,MISS J. Green 25' 3PT,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,25.53,Missed,,,,,,,,,,,,,,,,,,
