actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-02-29T01:12:13.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-29T01:12:13Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-02-29T01:12:16.3Z,1,REGULAR,jumpball,recovered,[],1629622,,,1610612739,0,0,2024-02-29T01:12:16Z,40000,False,,,0,,Jump Ball J. Allen vs. A. Drummond: Tip to M. Strus,"[1629622, 1628386, 203083]",1610612739.0,CLE,startperiod,M. Strus,1629622.0,Strus,M. Strus,Allen,1628386.0,Drummond,203083.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-02-29T01:12:28.2Z,1,REGULAR,3pt,Jump Shot,[],1629622,71.69842312746385,77.45098039215686,1610612739,0,3,2024-02-29T01:12:33Z,70000,False,137.0,214.0,1,right,M. Strus 25' 3PT  (3 PTS) (J. Allen 1 AST),"[1629622, 1628386]",1610612739.0,CLE,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Right Center,25.38,Made,3.0,J. Allen,1628386.0,1.0,,,,,,,,,,,,,,
9,PT11M28.00S,2024-02-29T01:12:48.0Z,1,REGULAR,foul,personal,['2freethrow'],1628378,,,1610612741,0,3,2024-02-29T01:13:10Z,90000,False,,,0,,D. Mitchell shooting personal FOUL (1 PF) (Dosunmu 2 FT),"[1628378, 1630245]",1610612739.0,CLE,shooting,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,,,,204059.0,1.0,0.0,Dosunmu,1630245.0,,,,,,,,,
11,PT11M28.00S,2024-02-29T01:13:10.9Z,1,REGULAR,freethrow,1 of 2,[],1630245,,,1610612741,1,3,2024-02-29T01:13:10Z,110000,False,,,0,,A. Dosunmu Free Throw 1 of 2 (1 PTS),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
12,PT11M28.00S,2024-02-29T01:13:21.8Z,1,REGULAR,freethrow,2 of 2,[],1630245,,,1610612741,2,3,2024-02-29T01:13:21Z,120000,False,,,0,,A. Dosunmu Free Throw 2 of 2 (2 PTS),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
14,PT11M13.00S,2024-02-29T01:13:39.4Z,1,REGULAR,3pt,Jump Shot,[],1630596,89.56964520367937,96.56862745098039,1610612739,2,3,2024-02-29T01:17:28Z,140000,False,233.0,46.0,1,right,MISS E. Mobley 3PT,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Right Corner 3,24+ Right,23.72,Missed,,,,,,,,,,,,,,,,,,
15,PT11M10.00S,2024-02-29T01:13:42.4Z,1,REGULAR,rebound,defensive,[],203083,,,1610612741,2,3,2024-02-29T01:17:28Z,150000,False,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,
16,PT11M01.00S,2024-02-29T01:13:54.9Z,1,REGULAR,2pt,Jump Shot,[],201942,8.754927726675426,72.05882352941177,1610612741,4,3,2024-02-29T01:14:28Z,160000,False,-110.0,30.0,1,left,D. DeRozan 11' turnaround Jump Shot (2 PTS),[201942],1610612741.0,CHI,turnaround,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Left,11.43,Made,2.0,,,,,,,,,,,,,,,,,
17,PT10M35.00S,2024-02-29T01:14:14.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630596,93.24901445466492,48.77450980392157,1610612739,4,5,2024-02-29T01:15:07Z,170000,False,-6.0,11.0,1,right,E. Mobley cutting Layup (2 PTS) (J. Allen 2 AST),"[1630596, 1628386]",1610612739.0,CLE,cutting,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,1.26,Made,2.0,J. Allen,1628386.0,2.0,,,,,,,,,,,,,,
