actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-03-17T00:10:39.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-17T00:10:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-03-17T00:10:43.4Z,1,REGULAR,jumpball,recovered,[],1630557,,,1610612764,0,0,2024-03-17T00:10:43Z,40000,False,,,0,,Jump Ball R. Holmes vs. N. Vucevic: Tip to C. Kispert,"[1630557, 1626158, 202696]",1610612764.0,WAS,startperiod,C. Kispert,1630557.0,Kispert,C. Kispert,Holmes,1626158.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-03-17T00:10:56.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630557,80.76544021024968,49.754901960784316,1610612764,0,0,2024-03-17T00:11:01Z,70000,False,-1.0,128.0,1,right,MISS C. Kispert 12' turnaround Shot,[1630557],1610612764.0,WAS,turnaround,,,Kispert,C. Kispert,,,,,In The Paint (Non-RA),8-16 Center,12.83,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2024-03-17T00:10:59.0Z,1,REGULAR,rebound,defensive,[],1627936,,,1610612741,0,0,2024-03-17T00:11:01Z,80000,False,,,0,,A. Caruso REBOUND (Off:0 Def:1),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M31.00S,2024-03-17T00:11:07.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627936,12.302890932982917,59.068627450980394,1610612741,0,0,2024-03-17T00:11:13Z,90000,False,-45.0,63.0,1,left,MISS A. Caruso 7' driving floating Shot,[1627936],1610612741.0,CHI,driving floating,,,Caruso,A. Caruso,,,,,In The Paint (Non-RA),0-8 Center,7.77,Missed,,,,,,,,,,,,,,,,,,
10,PT11M31.00S,2024-03-17T00:11:07.5Z,1,REGULAR,rebound,offensive,[],1627936,,,1610612741,0,0,2024-03-17T00:11:13Z,100000,False,,,0,,A. Caruso REBOUND (Off:1 Def:1),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,In The Paint (Non-RA),0-8 Center,,,9.0,2.0,1.0,1.0,,,,,,,,,,,,,,
11,PT11M31.00S,2024-03-17T00:11:13.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance', 'defensivegoaltending']",1627936,5.590000152587891,50.0,1610612741,2,0,2024-03-17T00:11:19Z,110000,False,0.0,0.0,1,left,A. Caruso putback Layup (2 PTS),[1627936],1610612741.0,CHI,putback,,,Caruso,A. Caruso,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
12,PT11M31.00S,2024-03-17T00:11:13.8Z,1,REGULAR,violation,defensive goaltending,[],1626158,,,1610612741,2,0,2024-03-17T00:11:19Z,120000,False,,,0,,R. Holmes defensive goaltending VIOLATION,[1626158],1610612764.0,WAS,,,,Holmes,R. Holmes,,,,,,,,,,,,,,2002.0,,,,,,,,,,,,
13,PT11M19.00S,2024-03-17T00:11:27.1Z,1,REGULAR,3pt,Jump Shot,[],1630557,80.50262812089356,93.62745098039215,1610612764,2,3,2024-03-17T00:11:31Z,130000,False,218.0,131.0,1,right,C. Kispert 25' 3PT  (3 PTS) (J. Poole 1 AST),"[1630557, 1629673]",1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Right Center,25.43,Made,,,,,3.0,,J. Poole,1629673.0,1.0,,,,,,,,,
15,PT11M01.00S,2024-03-17T00:11:47.0Z,1,REGULAR,foul,personal,['2freethrow'],1628398,,,1610612741,2,3,2024-03-17T00:12:37Z,150000,False,,,0,,K. Kuzma shooting personal FOUL (1 PF) (DeRozan 2 FT),"[1628398, 201942]",1610612764.0,WAS,shooting,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,2002.0,,,,1.0,0.0,DeRozan,201942.0,,,,,
