actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-11-13T00:10:12.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-13T00:10:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-11-13T00:10:16.2Z,1,REGULAR,jumpball,recovered,[],0,,,1610612765,0,0,2023-11-13T00:10:16Z,40000,False,,,0,,Jump Ball M. Bagley III vs. N. Vucevic: Tip to Team (DET),"[1628963, 202696]",1610612765.0,DET,startperiod,Team (DET),Bagley III,1628963.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2023-11-13T00:10:38.4Z,1,REGULAR,3pt,Jump Shot,[],1630191,7.966491458607096,3.1862745098039214,1610612765,0,0,2023-11-13T00:10:45Z,70000,False,234.0,22.0,1,left,MISS I. Stewart 3PT,[1630191],1610612765.0,DET,,,,,,,Right Corner 3,24+ Right,23.52,Missed,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2023-11-13T00:10:42.4Z,1,REGULAR,rebound,defensive,[],1628470,,,1610612741,0,0,2023-11-13T00:10:45Z,80000,False,,,0,,T. Craig REBOUND (Off:0 Def:1),[1628470],1610612741.0,CHI,,,,,,,Right Corner 3,24+ Right,,,Craig,T. Craig,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M36.00S,2023-11-13T00:10:50.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,88.64980289093299,43.38235294117647,1610612741,0,0,2023-11-13T00:10:55Z,90000,False,-33.0,54.0,1,right,MISS N. Vucevic 6' Hook,[202696],1610612741.0,CHI,,,,,,,In The Paint (Non-RA),0-8 Center,6.35,Missed,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,
10,PT11M34.00S,2023-11-13T00:10:52.3Z,1,REGULAR,rebound,defensive,[],1641709,,,1610612765,0,0,2023-11-13T00:10:55Z,100000,False,,,0,,A. Thompson REBOUND (Off:0 Def:1),[1641709],1610612765.0,DET,,,,,,,In The Paint (Non-RA),0-8 Center,,,Thompson,A. Thompson,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M25.00S,2023-11-13T00:11:00.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628963,8.229303547963205,47.794117647058826,1610612765,0,0,2023-11-13T00:11:09Z,110000,False,11.0,25.0,1,left,MISS M. Bagley III driving Layup,[1628963],1610612765.0,DET,driving,,,,,,Restricted Area,0-8 Center,2.72,Missed,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,,
12,PT11M22.00S,2023-11-13T00:11:03.9Z,1,REGULAR,rebound,offensive,[],1641709,,,1610612765,0,0,2023-11-13T00:11:03Z,120000,False,,,0,,A. Thompson REBOUND (Off:1 Def:1),[1641709],1610612765.0,DET,,,,,,,Restricted Area,0-8 Center,,,Thompson,A. Thompson,11.0,2.0,1.0,1.0,,,,,,,,,,,,,,
13,PT11M22.00S,2023-11-13T00:11:03.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641709,5.590000152587891,50.0,1610612765,0,0,2023-11-13T00:11:03Z,130000,False,0.0,0.0,1,left,MISS A. Thompson tip Layup,[1641709],1610612765.0,DET,tip,,,,,,Mid-Range,8-16 Left,0.0,Missed,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,
14,PT11M21.00S,2023-11-13T00:11:04.6Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,0,2023-11-13T00:11:04Z,140000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,,,,Mid-Range,8-16 Left,,,Vucevic,N. Vucevic,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT11M12.00S,2023-11-13T00:11:13.5Z,1,REGULAR,3pt,Jump Shot,[],203897,66.70499342969777,53.92156862745098,1610612741,0,0,2023-11-13T00:11:18Z,150000,False,20.0,260.0,1,right,MISS Z. LaVine 26' 3PT,[203897],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Center,26.12,Missed,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,
16,PT11M09.00S,2023-11-13T00:11:16.5Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,0,0,2023-11-13T00:11:18Z,160000,False,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,,,,Above the Break 3,24+ Center,,,Cunningham,C. Cunningham,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT11M01.00S,2023-11-13T00:11:25.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628963,5.601182654402102,50.49019607843137,1610612765,0,2,2023-11-13T00:11:31Z,170000,False,-2.0,0.0,1,left,M. Bagley III driving reverse DUNK (2 PTS) (A. Thompson 1 AST),"[1628963, 1641709]",1610612765.0,DET,driving reverse,,,,,,Restricted Area,0-8 Center,0.25,Made,Bagley III,M. Bagley III,,,,,2.0,A. Thompson,1641709.0,1.0,,,,,,,,,,
19,PT10M44.00S,2023-11-13T00:11:41.5Z,1,REGULAR,3pt,Jump Shot,[],202696,67.23061760840999,42.64705882352941,1610612741,0,2,2023-11-13T00:11:46Z,190000,False,-37.0,256.0,1,right,MISS N. Vucevic 25' 3PT,[202696],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Center,25.81,Missed,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,
20,PT10M41.00S,2023-11-13T00:11:44.5Z,1,REGULAR,rebound,defensive,[],1641709,,,1610612765,0,2,2023-11-13T00:11:46Z,200000,False,,,0,,A. Thompson REBOUND (Off:1 Def:2),[1641709],1610612765.0,DET,,,,,,,Above the Break 3,24+ Center,,,Thompson,A. Thompson,19.0,3.0,2.0,1.0,,,,,,,,,,,,,,
21,PT10M32.00S,2023-11-13T00:11:53.8Z,1,REGULAR,3pt,Jump Shot,[],1630191,26.888961892247043,16.911764705882355,1610612765,0,2,2023-11-13T00:11:59Z,210000,False,165.0,200.0,1,left,MISS I. Stewart 25' 3PT,[1630191],1610612765.0,DET,,,,,,,Above the Break 3,24+ Right Center,25.98,Missed,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,
22,PT10M29.00S,2023-11-13T00:11:56.8Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,0,2,2023-11-13T00:11:59Z,220000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Right Center,,,LaVine,Z. LaVine,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT10M20.00S,2023-11-13T00:12:05.7Z,1,REGULAR,3pt,Jump Shot,[],1629632,66.04796320630749,48.28431372549019,1610612741,0,2,2023-11-13T00:12:11Z,230000,False,-9.0,267.0,1,right,MISS C. White 26' 3PT,[1629632],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Center,26.67,Missed,White,C. White,,,,,,,,,,,,,,,,,,
24,PT10M17.00S,2023-11-13T00:12:08.7Z,1,REGULAR,rebound,defensive,[],1628963,,,1610612765,0,2,2023-11-13T00:12:11Z,240000,False,,,0,,M. Bagley III REBOUND (Off:0 Def:1),[1628963],1610612765.0,DET,,,,,,,Above the Break 3,24+ Center,,,Bagley III,M. Bagley III,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT10M04.00S,2023-11-13T00:12:21.5Z,1,REGULAR,2pt,Jump Shot,[],1628963,22.552562417871222,49.26470588235294,1610612765,0,2,2023-11-13T00:12:26Z,250000,False,4.0,159.0,1,left,MISS M. Bagley III 15' pullup Shot,[1628963],1610612765.0,DET,pullup,,,,,,Mid-Range,8-16 Center,15.95,Missed,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,,
26,PT10M01.00S,2023-11-13T00:12:24.5Z,1,REGULAR,rebound,defensive,[],1628470,,,1610612741,0,2,2023-11-13T00:12:26Z,260000,False,,,0,,T. Craig REBOUND (Off:0 Def:2),[1628470],1610612741.0,CHI,,,,,,,Mid-Range,8-16 Center,,,Craig,T. Craig,25.0,2.0,2.0,0.0,,,,,,,,,,,,,,
28,PT09M40.00S,2023-11-13T00:13:06.9Z,1,REGULAR,2pt,Jump Shot,[],202696,91.93495400788436,79.16666666666666,1610612741,0,2,2023-11-13T00:13:13Z,280000,False,146.0,23.0,1,right,MISS N. Vucevic 14' turnaround fadeaway Shot,[202696],1610612741.0,CHI,turnaround fadeaway,,,,,,Mid-Range,8-16 Right,14.77,Missed,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,
29,PT09M38.00S,2023-11-13T00:13:08.9Z,1,REGULAR,rebound,defensive,[],1628963,,,1610612765,0,2,2023-11-13T00:13:13Z,290000,False,,,0,,M. Bagley III REBOUND (Off:0 Def:2),[1628963],1610612765.0,DET,,,,,,,Mid-Range,8-16 Right,,,Bagley III,M. Bagley III,28.0,2.0,2.0,0.0,,,,,,,,,,,,,,
46,PT09M32.00S,2023-11-13T00:13:12.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641709,7.5722733245729295,51.9607843137255,1610612765,0,2,2023-11-13T00:14:57Z,295000,False,-10.0,19.0,1,left,MISS A. Thompson driving Layup - blocked,"[1641709, 201942]",1610612765.0,DET,driving,,,,,,Restricted Area,0-8 Center,2.11,Missed,Thompson,A. Thompson,,,,,,,,,DeRozan,201942.0,,,,,,,,
47,PT09M32.00S,2023-11-13T00:13:12.0Z,1,REGULAR,block,,[],201942,,,1610612765,0,2,2023-11-13T00:14:44Z,297500,False,,,0,,D. DeRozan BLOCK (1 BLK),[201942],1610612741.0,CHI,,,,,,,Restricted Area,0-8 Center,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,
48,PT09M30.00S,2023-11-13T00:13:14.0Z,1,REGULAR,rebound,offensive,[],1630191,,,1610612765,0,2,2023-11-13T00:14:57Z,298750,False,,,0,,I. Stewart REBOUND (Off:1 Def:0),[1630191],1610612765.0,DET,,,,,,,Restricted Area,0-8 Center,,,Stewart,I. Stewart,46.0,1.0,0.0,1.0,,,,,,,,,,,,,,
30,PT09M30.00S,2023-11-13T00:13:17.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630191,6.783837056504599,52.94117647058824,1610612765,0,4,2023-11-13T00:14:44Z,300000,False,-15.0,11.0,1,left,I. Stewart cutting Layup (2 PTS),[1630191],1610612765.0,DET,cutting,,,,,,Restricted Area,0-8 Center,1.85,Made,Stewart,I. Stewart,,,,,2.0,,,,,,,,,,,,,
32,PT09M20.00S,2023-11-13T00:13:27.0Z,1,REGULAR,3pt,Jump Shot,[],1629632,65.39093298291722,44.11764705882353,1610612741,0,4,2023-11-13T00:13:32Z,320000,False,-29.0,273.0,1,right,MISS C. White 27' 3PT,[1629632],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Center,27.44,Missed,White,C. White,,,,,,,,,,,,,,,,,,
33,PT09M16.00S,2023-11-13T00:13:30.5Z,1,REGULAR,rebound,offensive,[],1628470,,,1610612741,0,4,2023-11-13T00:13:30Z,330000,False,,,0,,T. Craig REBOUND (Off:1 Def:2),[1628470],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Center,,,Craig,T. Craig,32.0,3.0,2.0,1.0,,,,,,,,,,,,,,
34,PT09M14.00S,2023-11-13T00:13:32.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628470,71.56701708278581,16.42156862745098,1610612741,0,4,2023-11-13T00:13:36Z,340000,False,-168.0,215.0,1,right,MISS T. Craig 27' 3PT,[1628470],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Left Center,27.26,Missed,Craig,T. Craig,,,,,,,,,,,,,,,,,,
35,PT09M12.00S,2023-11-13T00:13:34.3Z,1,REGULAR,rebound,defensive,[],1641709,,,1610612765,0,4,2023-11-13T00:13:36Z,350000,False,,,0,,A. Thompson REBOUND (Off:1 Def:3),[1641709],1610612765.0,DET,,,,,,,Above the Break 3,24+ Left Center,,,Thompson,A. Thompson,34.0,4.0,3.0,1.0,,,,,,,,,,,,,,
36,PT09M06.00S,2023-11-13T00:13:40.7Z,1,REGULAR,turnover,bad pass,[],1641709,,,1610612765,0,4,2023-11-13T00:13:44Z,360000,False,,,0,,A. Thompson bad pass TURNOVER (1 TO),"[1641709, 1629632]",1610612765.0,DET,,,,,,,Mid-Range,16-24 Left Center,,,Thompson,A. Thompson,,,,,,,,,,,1.0,White,1629632.0,,,,,
37,PT09M06.00S,2023-11-13T00:13:40.7Z,1,REGULAR,steal,,[],1629632,,,1610612741,0,4,2023-11-13T00:13:42Z,370000,False,,,0,,C. White STEAL (1 STL),[1629632],1610612741.0,CHI,,,,,,,Mid-Range,16-24 Left Center,,,White,C. White,,,,,,,,,,,,,,,,,,
