actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-31T01:10:27.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-31T01:10:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2024-01-31T01:10:33.8Z,1,REGULAR,jumpball,recovered,[],203471,,,1610612761,0,0,2024-01-31T01:10:33Z,40000,False,,,0,,Jump Ball S. Barnes vs. N. Vucevic: Tip to D. Schroder,"[203471, 1630567, 202696]",1610612761.0,TOR,startperiod,D. Schroder,203471.0,Schroder,D. Schroder,Barnes,1630567.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M32.00S,2024-01-31T01:10:54.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629018,15.456636005256241,55.88235294117647,1610612761,0,0,2024-01-31T01:11:01Z,70000,False,-29.0,93.0,1,left,MISS G. Trent Jr. 9' driving floating Shot,[1629018],1610612761.0,TOR,driving floating,,,Trent Jr.,G. Trent Jr.,,,,,In The Paint (Non-RA),8-16 Center,9.73,Missed,,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2024-01-31T01:10:59.9Z,1,REGULAR,rebound,offensive,[],1628971,,,1610612761,0,0,2024-01-31T01:11:00Z,80000,False,,,0,,B. Brown REBOUND (Off:1 Def:0),[1628971],1610612761.0,TOR,,,,Brown,B. Brown,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2024-01-31T01:10:59.9Z,1,REGULAR,2pt,Jump Shot,"['2ndchance', 'pointsinthepaint']",1628971,5.590000152587891,50.0,1610612761,0,2,2024-01-31T01:11:44Z,90000,False,0.0,0.0,1,left,B. Brown floating Jump Shot (2 PTS),[1628971],1610612761.0,TOR,floating,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,2.0,,,,,,,,,,,,,
10,PT10M57.00S,2024-01-31T01:11:29.1Z,1,REGULAR,3pt,Jump Shot,[],1627936,96.92838370565046,97.05882352941177,1610612741,3,2,2024-01-31T01:11:33Z,100000,False,235.0,-24.0,1,right,A. Caruso 3PT  (3 PTS) (D. DeRozan 1 AST),"[1627936, 201942]",1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Right Corner 3,24+ Right,23.65,Made,,,,,3.0,D. DeRozan,201942.0,1.0,,,,,,,,,,
12,PT10M35.00S,2024-01-31T01:11:51.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628971,18.74178712220762,35.53921568627451,1610612761,3,2,2024-01-31T01:11:58Z,120000,False,72.0,124.0,1,left,MISS B. Brown 14' pullup Shot - blocked,"[1628971, 201942]",1610612761.0,TOR,pullup,,,Brown,B. Brown,,,,,In The Paint (Non-RA),8-16 Center,14.33,Missed,,,,,,,,,DeRozan,201942.0,,,,,,,,
13,PT10M35.00S,2024-01-31T01:11:51.2Z,1,REGULAR,block,,[],201942,,,1610612761,3,2,2024-01-31T01:11:55Z,130000,False,,,0,,D. DeRozan BLOCK (1 BLK),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
14,PT10M31.00S,2024-01-31T01:11:55.2Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,3,2,2024-01-31T01:11:58Z,140000,False,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),8-16 Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M29.00S,2024-01-31T01:11:56.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629632,92.72339027595268,50.245098039215684,1610612741,5,2,2024-01-31T01:13:24Z,150000,False,1.0,16.0,1,right,C. White running Layup (2 PTS) (D. DeRozan 2 AST),"[1629632, 201942]",1610612741.0,CHI,running,,,White,C. White,,,,,Restricted Area,0-8 Center,1.59,Made,,,,,2.0,D. DeRozan,201942.0,2.0,,,,,,,,,,
17,PT10M12.00S,2024-01-31T01:12:14.1Z,1,REGULAR,3pt,Jump Shot,[],1629018,25.969119579500656,81.12745098039215,1610612761,5,5,2024-01-31T01:12:19Z,170000,False,-156.0,192.0,1,left,G. Trent Jr. 24' 3PT  (3 PTS) (S. Barnes 1 AST),"[1629018, 1630567]",1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Left Center,24.68,Made,,,,,3.0,S. Barnes,1630567.0,1.0,,,,,,,,,,
19,PT10M00.00S,2024-01-31T01:12:26.9Z,1,REGULAR,3pt,Jump Shot,[],202696,67.62483574244416,49.50980392156863,1610612741,8,5,2024-01-31T01:12:31Z,190000,False,-2.0,252.0,1,right,N. Vucevic 25' 3PT  (3 PTS) (D. DeRozan 3 AST),"[202696, 201942]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Center,25.18,Made,,,,,3.0,D. DeRozan,201942.0,3.0,,,,,,,,,,
21,PT09M43.00S,2024-01-31T01:12:43.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203471,5.863994743758213,53.67647058823529,1610612761,8,5,2024-01-31T01:16:33Z,210000,False,-18.0,3.0,1,left,MISS D. Schroder driving Layup,[203471],1610612761.0,TOR,driving,,,Schroder,D. Schroder,,,,,Restricted Area,0-8 Center,1.86,Missed,,,,,,,,,,,,,,,,,,
22,PT09M39.00S,2024-01-31T01:12:47.6Z,1,REGULAR,rebound,offensive,[],201152,,,1610612761,8,5,2024-01-31T01:12:47Z,220000,False,,,0,,T. Young REBOUND (Off:1 Def:0),[201152],1610612761.0,TOR,,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,21.0,1.0,0.0,1.0,,,,,,,,,,,,,,
23,PT09M39.00S,2024-01-31T01:12:47.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",201152,5.590000152587891,50.0,1610612761,8,5,2024-01-31T01:15:59Z,230000,False,0.0,0.0,1,left,MISS T. Young putback Layup,[201152],1610612761.0,TOR,putback,,,Young,T. Young,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
24,PT09M37.00S,2024-01-31T01:12:49.6Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,8,5,2024-01-31T01:15:59Z,240000,False,,,0,,A. Dosunmu REBOUND (Off:0 Def:1),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT09M24.00S,2024-01-31T01:13:02.4Z,1,REGULAR,3pt,Jump Shot,[],1627936,68.28186596583443,69.36274509803921,1610612741,8,5,2024-01-31T01:13:07Z,250000,False,97.0,246.0,1,right,MISS A. Caruso 26' 3PT,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Above the Break 3,24+ Right Center,26.41,Missed,,,,,,,,,,,,,,,,,,
26,PT09M21.00S,2024-01-31T01:13:05.4Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612761,8,5,2024-01-31T01:13:07Z,260000,False,,,0,,B. Brown REBOUND (Off:1 Def:1),[1628971],1610612761.0,TOR,,,,Brown,B. Brown,,,,,Above the Break 3,24+ Right Center,,,25.0,2.0,1.0,1.0,,,,,,,,,,,,,,
27,PT09M14.00S,2024-01-31T01:13:16.0Z,1,REGULAR,foul,personal,[],1629632,,,1610612761,8,5,2024-01-31T01:13:25Z,270000,False,,,0,,C. White personal FOUL (1 PF),"[1629632, 1630567]",1610612741.0,CHI,,,,White,C. White,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,202053.0,1.0,0.0,Barnes,1630567.0,,,
29,PT08M59.00S,2024-01-31T01:13:49.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628971,6.389618922470433,47.549019607843135,1610612761,8,7,2024-01-31T01:14:27Z,290000,False,12.0,8.0,1,left,B. Brown driving Layup (4 PTS) (T. Young 1 AST),"[1628971, 201152]",1610612761.0,TOR,driving,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,1.45,Made,,,,,4.0,T. Young,201152.0,1.0,,,,,,,,,,
31,PT08M44.00S,2024-01-31T01:14:05.0Z,1,REGULAR,3pt,Jump Shot,[],201942,95.22010512483574,3.6764705882352944,1610612741,8,7,2024-01-31T01:14:10Z,310000,False,-232.0,-8.0,1,right,MISS D. DeRozan 3PT,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Left Corner 3,24+ Left,23.17,Missed,,,,,,,,,,,,,,,,,,
