actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-11-07T01:11:28.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-07T01:11:28Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-11-07T01:11:31.7Z,1,REGULAR,jumpball,recovered,[],1628374,,,1610612762,0,0,2023-11-07T01:11:31Z,40000,False,,,0,,Jump Ball W. Kessler vs. N. Vucevic: Tip to L. Markkanen,"[1628374, 1631117, 202696]",1610612762.0,UTA,startperiod,L. Markkanen,1628374.0,Markkanen,L. Markkanen,Kessler,1631117.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-11-07T01:11:44.3Z,1,REGULAR,turnover,bad pass,[],1631117,,,1610612762,0,0,2023-11-07T01:11:48Z,70000,False,,,0,,W. Kessler bad pass TURNOVER (1 TO),"[1631117, 201942]",1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),8-16 Left,1.0,DeRozan,201942.0,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2023-11-07T01:11:44.3Z,1,REGULAR,steal,,[],201942,,,1610612741,0,0,2023-11-07T01:11:46Z,80000,False,,,0,,D. DeRozan STEAL (1 STL),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2023-11-07T01:11:50.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203897,93.9060446780552,51.9607843137255,1610612741,0,0,2023-11-07T01:12:15Z,90000,False,10.0,5.0,1,right,MISS Z. LaVine running Layup,[203897],1610612741.0,CHI,running,,,LaVine,Z. LaVine,,,,,Restricted Area,0-8 Center,,,,1.09,Missed,,,,,,,,,,,,,,,
10,PT11M35.00S,2023-11-07T01:11:52.3Z,1,REGULAR,rebound,defensive,[],1629659,,,1610612762,0,0,2023-11-07T01:11:55Z,100000,False,,,0,,T. Horton-Tucker REBOUND (Off:0 Def:1),[1629659],1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,Restricted Area,0-8 Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M26.00S,2023-11-07T01:12:00.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629659,5.995400788436268,51.71568627450981,1610612762,0,2,2023-11-07T01:17:32Z,110000,False,-9.0,4.0,1,left,T. Horton-Tucker driving finger roll Layup (2 PTS),[1629659],1610612762.0,UTA,driving finger roll,,,Horton-Tucker,T. Horton-Tucker,,,,,Restricted Area,0-8 Center,,,,0.94,Made,,,,,2.0,,,,,,,,,,
12,PT11M04.00S,2023-11-07T01:12:22.2Z,1,REGULAR,2pt,Jump Shot,[],201942,74.32654402102497,28.431372549019606,1610612741,2,2,2023-11-07T01:12:26Z,120000,False,-108.0,189.0,1,right,D. DeRozan 21' pullup Jump Shot (2 PTS) (N. Vucevic 1 AST),"[201942, 202696]",1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Left Center,,,,21.74,Made,,,,,2.0,N. Vucevic,202696.0,1.0,,,,,,,
14,PT10M52.00S,2023-11-07T01:12:35.0Z,1,REGULAR,3pt,Jump Shot,[],203903,27.020367936925098,21.568627450980394,1610612762,2,2,2023-11-07T01:12:39Z,140000,False,142.0,201.0,1,left,MISS J. Clarkson 24' 3PT,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Right Center,,,,24.66,Missed,,,,,,,,,,,,,,,
15,PT10M48.00S,2023-11-07T01:12:39.0Z,1,REGULAR,rebound,offensive,[],1631117,,,1610612762,2,2,2023-11-07T01:12:39Z,150000,False,,,0,,W. Kessler REBOUND (Off:1 Def:0),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Above the Break 3,24+ Right Center,,,,,,14.0,1.0,0.0,1.0,,,,,,,,,,,
