actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-13T01:10:17.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-13T01:10:17Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-12-13T01:10:20.6Z,1,REGULAR,jumpball,recovered,[],202704,,,1610612743,0,0,2023-12-13T01:10:20Z,40000,False,,,0,,Jump Ball N. Jokic vs. N. Vucevic: Tip to R. Jackson,"[202704, 203999, 202696]",1610612743.0,DEN,startperiod,R. Jackson,202704.0,Jackson,R. Jackson,Jokic,203999.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M32.00S,2023-12-13T01:10:44.5Z,1,REGULAR,3pt,Jump Shot,[],202704,94.03745072273325,4.166666666666666,1610612743,0,3,2023-12-13T01:10:48Z,70000,False,-229.0,4.0,1,right,R. Jackson 3PT  (3 PTS) (N. Jokic 1 AST),"[202704, 203999]",1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,Left Corner 3,24+ Left,22.92,Made,3.0,N. Jokic,203999.0,1.0,,,,,,,,,,,,,,
9,PT11M07.00S,2023-12-13T01:11:11.8Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612741,0,3,2023-12-13T01:11:19Z,90000,False,,,0,,CHI shot clock Team TURNOVER,[],1610612741.0,CHI,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,1628159.0,,,,,,,,,,,,,
10,PT10M46.00S,2023-12-13T01:11:42.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203484,93.38042049934296,44.11764705882353,1610612743,0,5,2023-12-13T01:11:46Z,100000,False,-29.0,10.0,1,right,K. Caldwell-Pope driving Layup (2 PTS) (N. Jokic 2 AST),"[203484, 203999]",1610612743.0,DEN,driving,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Restricted Area,0-8 Center,3.1,Made,2.0,N. Jokic,203999.0,2.0,,,,,,,,,,,,,,
12,PT10M32.00S,2023-12-13T01:11:56.4Z,1,REGULAR,3pt,Jump Shot,[],1630245,5.601182654402102,2.696078431372549,1610612741,0,5,2023-12-13T01:12:01Z,120000,False,237.0,0.0,1,left,MISS A. Dosunmu 3PT,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Right Corner 3,24+ Right,23.65,Missed,,,,,,,,,,,,,,,,,,
13,PT10M30.00S,2023-12-13T01:11:58.4Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,0,5,2023-12-13T01:12:01Z,130000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Right Corner 3,24+ Right,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
14,PT10M15.00S,2023-12-13T01:12:12.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629008,93.51182654402102,50.0,1610612743,0,5,2023-12-13T01:12:45Z,140000,False,0.0,8.0,1,right,MISS M. Porter Jr. driving floating Shot,[1629008],1610612743.0,DEN,driving floating,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,0.85,Missed,,,,,,,,,,,,,,,,,,
15,PT10M14.00S,2023-12-13T01:12:13.6Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,0,5,2023-12-13T01:12:45Z,150000,False,,,0,,A. Gordon REBOUND (Off:1 Def:0),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,,,,,,14.0,1.0,0.0,1.0,,,,,,,,,
16,PT10M10.00S,2023-12-13T01:12:18.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203932,94.1688567674113,47.549019607843135,1610612743,0,5,2023-12-13T01:12:22Z,160000,False,-12.0,2.0,1,right,MISS A. Gordon driving Layup,[203932],1610612743.0,DEN,driving,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,1.25,Missed,,,,,,,,,,,,,,,,,,
17,PT10M10.00S,2023-12-13T01:12:18.7Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,5,2023-12-13T01:12:45Z,170000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,
18,PT10M00.00S,2023-12-13T01:12:28.9Z,1,REGULAR,3pt,Jump Shot,[],202696,30.17411300919842,69.36274509803921,1610612741,0,5,2023-12-13T02:19:18Z,180000,False,-97.0,231.0,1,left,MISS N. Vucevic 25' 3PT,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Left Center,25.06,Missed,,,,,,,,,,,,,,,,,,
19,PT09M59.00S,2023-12-13T01:12:29.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612741,0,5,2023-12-13T02:19:18Z,190000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,18.0,,,,,,,,,,,,
20,PT09M59.00S,2023-12-13T01:12:39.0Z,1,REGULAR,foul,personal,[],202704,,,1610612741,0,5,2023-12-13T01:12:43Z,200000,False,,,0,,R. Jackson loose ball personal FOUL (1 PF),"[202704, 1630245]",1610612743.0,DEN,loose ball,,,Jackson,R. Jackson,,,,,Mid-Range,8-16 Left,,,,,,,200834.0,,,,,1.0,0.0,Dosunmu,1630245.0,,,,,
22,PT09M51.00S,2023-12-13T01:12:59.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202696,7.5722733245729295,52.94117647058824,1610612741,0,5,2023-12-13T01:16:53Z,220000,False,-15.0,19.0,1,left,MISS N. Vucevic driving Layup,[202696],1610612741.0,CHI,driving,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,2.38,Missed,,,,,,,,,,,,,,,,,,
23,PT09M49.00S,2023-12-13T01:13:01.5Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,5,2023-12-13T01:13:10Z,230000,False,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,
