actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-01-21T01:10:24.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-21T01:10:24Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-01-21T01:10:26.4Z,1,REGULAR,jumpball,recovered,[],1631246,,,1610612763,0,0,2024-01-21T01:10:26Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. N. Vucevic: Tip to V. Williams Jr.,"[1631246, 1628991, 202696]",1610612763.0,MEM,startperiod,V. Williams Jr.,1631246.0,Williams Jr.,V. Williams Jr.,Jackson Jr.,1628991.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-01-21T01:10:40.0Z,1,REGULAR,3pt,Jump Shot,[],1628379,27.020367936925098,79.16666666666666,1610612763,0,0,2024-01-21T01:10:46Z,70000,False,-146.0,201.0,1,left,MISS L. Kennard 24' 3PT,[1628379],1610612763.0,MEM,,,,Kennard,L. Kennard,,,,,Above the Break 3,24+ Left Center,24.87,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2024-01-21T01:10:45.0Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,0,2024-01-21T01:10:46Z,80000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M29.00S,2024-01-21T01:10:54.4Z,1,REGULAR,2pt,Jump Shot,[],1630172,83.96846254927726,79.6798406862745,1610612741,0,0,2024-01-21T01:11:00Z,90000,False,148.0,98.0,1,right,MISS P. Williams 17' pullup Shot,[1630172],1610612741.0,CHI,pullup,,,Williams,P. Williams,,,,,Mid-Range,16-24 Right,17.79,Missed,,,,,,,,,,,,,,,,,,
10,PT11M25.00S,2024-01-21T01:10:58.4Z,1,REGULAR,rebound,defensive,[],1631246,,,1610612763,0,0,2024-01-21T01:11:00Z,100000,False,,,0,,V. Williams Jr. REBOUND (Off:0 Def:1),[1631246],1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,Mid-Range,16-24 Right,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M18.00S,2024-01-21T01:11:04.5Z,1,REGULAR,3pt,Jump Shot,[],1631246,31.882391590013142,65.19607843137256,1610612763,0,0,2024-01-21T01:11:09Z,110000,False,-76.0,247.0,1,left,MISS V. Williams Jr. 25' 3PT,[1631246],1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,Above the Break 3,24+ Center,25.86,Missed,,,,,,,,,,,,,,,,,,
12,PT11M16.00S,2024-01-21T01:11:06.5Z,1,REGULAR,rebound,defensive,[],1627936,,,1610612741,0,0,2024-01-21T01:11:09Z,120000,False,,,0,,A. Caruso REBOUND (Off:0 Def:1),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Above the Break 3,24+ Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M00.00S,2024-01-21T01:11:24.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201942,80.1084099868594,62.00980392156863,1610612741,0,0,2024-01-21T01:11:28Z,130000,False,60.0,134.0,1,right,MISS D. DeRozan 14' pullup Shot,[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),8-16 Center,14.73,Missed,,,,,,,,,,,,,,,,,,
14,PT10M57.00S,2024-01-21T01:11:27.0Z,1,REGULAR,rebound,defensive,[],1630583,,,1610612763,0,0,2024-01-21T01:11:28Z,140000,False,,,0,,S. Aldama REBOUND (Off:0 Def:1),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,In The Paint (Non-RA),8-16 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
