actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,shotActionNumber,officialId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-02-21T01:12:00.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-21T01:12:00Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M49.00S,2025-02-21T01:12:10.3Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2025-02-21T01:12:10Z,40000,False,,,0,,Jump Ball B. Lopez vs. I. Zubac: Tip to G. Antetokounmpo,"[203507, 201572, 1627826]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-02-21T01:12:16.7Z,1,REGULAR,3pt,Jump Shot,[],1628398,74.72076215505913,13.23529411764706,1610612749,3,0,2025-02-21T01:12:22Z,70000,False,-184.0,185.0,1,right,K. Kuzma 26' 3PT  (3 PTS) (G. Antetokounmpo 1 AST),"[1628398, 203507]",1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Left Center,26.09,Made,3.0,G. Antetokounmpo,203507.0,1.0,,,,,,,,,,,,,,
9,PT11M25.00S,2025-02-21T01:12:34.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,18.873193166885677,45.09803921568628,1610612746,3,2,2025-02-21T01:12:41Z,90000,False,25.0,125.0,1,left,I. Zubac 12' Hook (2 PTS) (K. Leonard 1 AST),"[1627826, 202695]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),8-16 Center,12.73,Made,2.0,K. Leonard,202695.0,1.0,,,,,,,,,,,,,,
11,PT11M14.00S,2025-02-21T01:12:45.9Z,1,REGULAR,turnover,lost ball,[],1627752,,,1610612749,3,2,2025-02-21T01:12:56Z,110000,False,,,0,,T. Prince lost ball TURNOVER (1 TO),"[1627752, 201935]",1610612749.0,MIL,,,,Prince,T. Prince,,,,,Mid-Range,16-24 Right Center,,,,,,,1.0,Harden,201935.0,,,,,,,,,,,
12,PT11M14.00S,2025-02-21T01:12:45.9Z,1,REGULAR,steal,,[],201935,,,1610612746,3,2,2025-02-21T01:12:48Z,120000,False,,,0,,J. Harden STEAL (1 STL),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
13,PT10M58.00S,2025-02-21T01:13:02.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627826,8.754927726675426,45.588235294117645,1610612746,3,2,2025-02-21T01:13:08Z,130000,False,22.0,30.0,1,left,MISS I. Zubac cutting Layup - blocked,"[1627826, 201572]",1610612746.0,LAC,cutting,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,3.71,Missed,,,,,,,,Lopez,201572.0,,,,,,,,,
14,PT10M58.00S,2025-02-21T01:13:02.4Z,1,REGULAR,block,,[],201572,,,1610612746,3,2,2025-02-21T01:13:06Z,140000,False,,,0,,B. Lopez BLOCK (1 BLK),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT10M58.00S,2025-02-21T01:13:02.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,3,2,2025-02-21T01:13:08Z,150000,False,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,13.0,,,,,,,,
17,PT10M50.00S,2025-02-21T01:13:28.9Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612746,3,2,2025-02-21T01:13:34Z,170000,False,,,0,,LAC shot clock Team TURNOVER,[],1610612746.0,LAC,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,1628480.0,,,,,,,
18,PT10M34.00S,2025-02-21T01:14:01.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627752,85.10183968462549,66.42156862745098,1610612749,3,2,2025-02-21T01:15:57Z,180000,False,82.0,88.0,1,right,MISS T. Prince 12' driving floating bank Shot,[1627752],1610612749.0,MIL,driving floating bank,,,Prince,T. Prince,,,,,Mid-Range,8-16 Right,12.0,Missed,,,,,,,,,,,,,,,,,,
19,PT10M32.00S,2025-02-21T01:14:03.4Z,1,REGULAR,rebound,offensive,[],201572,,,1610612749,3,2,2025-02-21T01:15:57Z,190000,False,,,0,,B. Lopez REBOUND (Off:1 Def:0),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,18.0,,1.0,0.0,1.0,,,,
