actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulDrawnPlayerName,foulDrawnPersonId
36,PT09M40.00S,2025-01-09T02:47:56.3Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612749,2,6,2025-01-09T02:48:23Z,360000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,
37,PT09M40.00S,2025-01-09T02:47:56.3Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,2,6,2025-01-09T02:48:23Z,370000,False,,,0,,MISS G. Antetokounmpo Free Throw 2 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
38,PT09M36.00S,2025-01-09T02:48:00.3Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,2,6,2025-01-09T02:48:23Z,380000,False,,,0,,D. Vassell REBOUND (Off:0 Def:2),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,37.0,2.0,2.0,0.0,,,,,,,,,,
39,PT09M23.00S,2025-01-09T02:48:35.9Z,1,REGULAR,3pt,Jump Shot,[],1642264,32.14520367936925,71.32352941176471,1610612759,2,6,2025-01-09T02:48:41Z,390000,False,-107.0,250.0,1,left,MISS S. Castle 27' 3PT,[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,Above the Break 3,24+ Left Center,,,,Missed,,27.15,,,,,,,,,,,,,,
40,PT09M19.00S,2025-01-09T02:48:39.9Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,2,6,2025-01-09T02:48:41Z,400000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Left Center,,,,,,,39.0,2.0,2.0,0.0,,,,,,,,,,
41,PT09M11.00S,2025-01-09T02:48:47.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203507,80.1084099868594,35.294117647058826,1610612749,4,6,2025-01-09T02:48:53Z,410000,False,-74.0,134.0,1,right,G. Antetokounmpo 15' fadeaway Jump Shot (4 PTS),[203507],1610612749.0,MIL,fadeaway,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),8-16 Center,,,,Made,4.0,15.33,,,,,,,,,,,,,,
42,PT08M50.00S,2025-01-09T02:49:08.1Z,1,REGULAR,3pt,Jump Shot,[],1641705,31.488173455978973,8.823529411764707,1610612759,4,6,2025-01-09T02:49:17Z,420000,False,206.0,243.0,1,left,MISS V. Wembanyama 31' pullup 3PT,[1641705],1610612759.0,SAS,pullup,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Right Center,,,,Missed,,31.89,,,,,,,,,,,,,,
43,PT08M47.00S,2025-01-09T02:49:11.1Z,1,REGULAR,rebound,offensive,[],101108,,,1610612759,4,6,2025-01-09T02:49:17Z,430000,False,,,0,,C. Paul REBOUND (Off:1 Def:0),[101108],1610612759.0,SAS,,,,Paul,C. Paul,,,,,Above the Break 3,24+ Right Center,,,,,,,42.0,1.0,0.0,1.0,,,,,,,,,,
44,PT08M43.00S,2025-01-09T02:49:15.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1642264,15.588042049934298,53.92156862745098,1610612759,4,6,2025-01-09T02:51:42Z,440000,False,-20.0,94.0,1,left,MISS S. Castle 9' driving floating Shot,[1642264],1610612759.0,SAS,driving floating,,,Castle,S. Castle,,,,,In The Paint (Non-RA),8-16 Center,,,,Missed,,9.6,,,,,,,,,,,,,,
45,PT08M43.00S,2025-01-09T02:49:15.7Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,4,6,2025-01-09T02:49:20Z,450000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:3),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,44.0,3.0,3.0,0.0,,,,,,,,,,
46,PT08M33.00S,2025-01-09T02:49:26.2Z,1,REGULAR,3pt,Jump Shot,[],201572,75.03285151116953,11.297487745098039,1610612749,7,6,2025-01-09T02:49:33Z,460000,False,-194.0,182.0,1,right,B. Lopez 26' 3PT  (3 PTS) (D. Lillard 2 AST),"[201572, 203081]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Left Center,,,,Made,3.0,26.58,,,,,,,,,,D. Lillard,203081.0,2.0,,
48,PT08M14.00S,2025-01-09T02:49:44.4Z,1,REGULAR,3pt,Jump Shot,[],1641705,36.35019710906702,61.51960784313726,1610612759,7,6,2025-01-09T02:49:49Z,480000,False,-58.0,289.0,1,left,MISS V. Wembanyama 29' 3PT,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Center,,,,Missed,,29.49,,,,,,,,,,,,,,
49,PT08M11.00S,2025-01-09T02:49:47.4Z,1,REGULAR,rebound,defensive,[],203081,,,1610612749,7,6,2025-01-09T02:49:49Z,490000,False,,,0,,D. Lillard REBOUND (Off:0 Def:2),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Center,,,,,,,48.0,2.0,2.0,0.0,,,,,,,,,,
50,PT08M00.00S,2025-01-09T02:49:59.3Z,1,REGULAR,3pt,Jump Shot,[],203081,68.67608409986859,72.54901960784314,1610612749,7,6,2025-01-09T02:50:04Z,500000,False,113.0,242.0,1,right,MISS D. Lillard 26' 3PT,[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Right Center,,,,Missed,,26.69,,,,,,,,,,,,,,
51,PT07M57.00S,2025-01-09T02:50:02.3Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,7,6,2025-01-09T02:50:04Z,510000,False,,,0,,D. Vassell REBOUND (Off:0 Def:3),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Right Center,,,,,,,50.0,3.0,3.0,0.0,,,,,,,,,,
52,PT07M52.00S,2025-01-09T02:50:07.2Z,1,REGULAR,3pt,Jump Shot,[],1630170,27.94021024967148,14.460784313725492,1610612759,7,9,2025-01-09T02:50:14Z,520000,False,178.0,210.0,1,left,D. Vassell 27' 3PT pullup (3 PTS),[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Right Center,,,,Made,3.0,27.52,,,,,,,,,,,,,,
53,PT07M39.00S,2025-01-09T02:50:20.4Z,1,REGULAR,3pt,Jump Shot,[],201572,69.72733245729303,76.7156862745098,1610612749,7,9,2025-01-09T02:50:34Z,530000,False,134.0,232.0,1,right,MISS B. Lopez 26' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Right Center,,,,Missed,,26.78,,,,,,,,,,,,,,
54,PT07M35.00S,2025-01-09T02:50:24.4Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,7,9,2025-01-09T02:50:34Z,540000,False,,,0,,D. Vassell REBOUND (Off:0 Def:4),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Right Center,,,,,,,53.0,4.0,4.0,0.0,,,,,,,,,,
55,PT07M31.00S,2025-01-09T02:50:27.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1642264,7.178055190538765,50.49019607843137,1610612759,7,11,2025-01-09T02:50:39Z,550000,False,-2.0,15.0,1,left,S. Castle running DUNK (2 PTS) (D. Vassell 1 AST),"[1642264, 1630170]",1610612759.0,SAS,running,,,Castle,S. Castle,,,,,Restricted Area,0-8 Center,,,,Made,2.0,1.52,,,,,,,,,,D. Vassell,1630170.0,1.0,,
57,PT07M11.00S,2025-01-09T02:50:49.8Z,1,REGULAR,3pt,Jump Shot,[],201572,66.96780551905388,47.794117647058826,1610612749,10,11,2025-01-09T02:54:06Z,570000,False,-11.0,258.0,1,right,B. Lopez 25' 3PT  (6 PTS) (G. Antetokounmpo 1 AST),"[201572, 203507]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Center,,,,Made,6.0,25.82,,,,,,,,,,G. Antetokounmpo,203507.0,1.0,,
59,PT06M47.00S,2025-01-09T02:51:11.0Z,1,REGULAR,2pt,Jump Shot,[],101108,14.799605781865965,75.49019607843137,1610612759,10,11,2025-01-09T02:51:25Z,590000,False,-127.0,87.0,1,left,MISS C. Paul 15' fadeaway Shot,[101108],1610612759.0,SAS,fadeaway,,,Paul,C. Paul,,,,,Mid-Range,8-16 Left,,,,Missed,,15.41,,,,,,,,,,,,,,
60,PT06M45.00S,2025-01-09T02:51:13.0Z,1,REGULAR,rebound,offensive,[],1641705,,,1610612759,10,11,2025-01-09T02:51:25Z,600000,False,,,0,,V. Wembanyama REBOUND (Off:2 Def:0),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,8-16 Left,,,,,,,59.0,2.0,0.0,2.0,,,,,,,,,,
61,PT06M38.00S,2025-01-09T02:51:21.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641705,6.1268068331143235,50.0,1610612759,10,13,2025-01-09T02:51:29Z,610000,False,0.0,5.0,1,left,V. Wembanyama driving finger roll Layup (7 PTS) (C. Paul 2 AST),"[1641705, 101108]",1610612759.0,SAS,driving finger roll,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,Made,7.0,0.51,,,,,,,,,,C. Paul,101108.0,2.0,,
63,PT06M16.00S,2025-01-09T02:51:43.9Z,1,REGULAR,3pt,Jump Shot,[],1627752,87.91064388961892,2.9641544117647056,1610612749,13,13,2025-01-09T02:52:06Z,630000,False,-235.0,61.0,1,right,T. Prince 24' 3PT  (3 PTS) (G. Antetokounmpo 2 AST),"[1627752, 203507]",1610612749.0,MIL,,,,Prince,T. Prince,,,,,Left Corner 3,24+ Left,,,,Made,3.0,24.3,,,,,,,,,,G. Antetokounmpo,203507.0,2.0,,
65,PT06M16.00S,2025-01-09T02:51:51.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,13,13,2025-01-09T02:51:51Z,650000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M16.00S,2025-01-09T02:54:51.8Z,1,REGULAR,substitution,out,[],1641705,,,1610612759,13,13,2025-01-09T02:55:16Z,660000,False,,,0,,SUB out: V. Wembanyama,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M16.00S,2025-01-09T02:54:51.8Z,1,REGULAR,substitution,out,[],1642264,,,1610612759,13,13,2025-01-09T02:55:16Z,670000,False,,,0,,SUB out: S. Castle,[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M16.00S,2025-01-09T02:54:51.8Z,1,REGULAR,substitution,in,[],1630577,,,1610612759,13,13,2025-01-09T02:55:16Z,680000,False,,,0,,SUB in: J. Champagnie,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M16.00S,2025-01-09T02:54:51.8Z,1,REGULAR,substitution,in,[],1629646,,,1610612759,13,13,2025-01-09T02:55:16Z,690000,False,,,0,,SUB in: C. Bassey,[1629646],1610612759.0,SAS,,,,Bassey,C. Bassey,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M04.00S,2025-01-09T02:55:30.1Z,1,REGULAR,2pt,Jump Shot,[],1630170,21.369908015768726,42.15686274509804,1610612759,13,15,2025-01-09T05:23:54Z,700000,False,39.0,148.0,1,left,D. Vassell 15' Jump Shot (5 PTS) (H. Barnes 1 AST),"[1630170, 203084]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Mid-Range,8-16 Center,,,,Made,5.0,15.35,,,,,,,,,,H. Barnes,203084.0,1.0,,
72,PT05M48.00S,2025-01-09T02:55:45.5Z,1,REGULAR,3pt,Jump Shot,[],201572,72.61210578186596,15.21905637254902,1610612749,13,15,2025-01-09T02:55:56Z,720000,False,-174.0,205.0,1,right,MISS B. Lopez 26' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Left Center,,,,Missed,,26.87,,,,,,,,,,,,,,
73,PT05M44.00S,2025-01-09T02:55:49.5Z,1,REGULAR,rebound,offensive,[],1641748,,,1610612749,13,15,2025-01-09T02:55:56Z,730000,False,,,0,,A. Jackson Jr. REBOUND (Off:1 Def:0),[1641748],1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,72.0,1.0,0.0,1.0,,,,,,,,,,
74,PT05M42.00S,2025-01-09T02:55:51.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203507,67.58993101182654,43.98743872549019,1610612749,13,15,2025-01-09T02:56:37Z,740000,False,-30.0,252.0,1,right,MISS G. Antetokounmpo 25' pullup 3PT,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Center,,,,Missed,,25.4,,,,,,,,,,,,,,
75,PT05M39.00S,2025-01-09T02:55:54.4Z,1,REGULAR,rebound,defensive,[],101108,,,1610612759,13,15,2025-01-09T02:56:01Z,750000,False,,,0,,C. Paul REBOUND (Off:1 Def:1),[101108],1610612759.0,SAS,,,,Paul,C. Paul,,,,,Above the Break 3,24+ Center,,,,,,,74.0,2.0,1.0,1.0,,,,,,,,,,
76,PT05M28.00S,2025-01-09T02:56:05.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203084,10.068988173455978,58.333333333333336,1610612759,13,17,2025-01-09T02:56:20Z,760000,False,-42.0,42.0,1,left,H. Barnes turnaround bank Jump Shot (2 PTS) (C. Paul 3 AST),"[203084, 101108]",1610612759.0,SAS,turnaround bank,,,Barnes,H. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,Made,2.0,5.93,,,,,,,,,,C. Paul,101108.0,3.0,,
78,PT05M10.00S,2025-01-09T02:56:23.5Z,1,REGULAR,3pt,Jump Shot,[],203081,66.83639947437582,41.17647058823529,1610612749,13,17,2025-01-09T02:57:49Z,780000,False,-44.0,259.0,1,right,MISS D. Lillard 26' pullup 3PT,[203081],1610612749.0,MIL,pullup,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Center,,,,Missed,,26.29,,,,,,,,,,,,,,
79,PT05M05.00S,2025-01-09T02:56:28.5Z,1,REGULAR,rebound,offensive,[],201572,,,1610612749,13,17,2025-01-09T02:56:29Z,790000,False,,,0,,B. Lopez REBOUND (Off:1 Def:0),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Center,,,,,,,78.0,1.0,0.0,1.0,,,,,,,,,,
80,PT05M05.00S,2025-01-09T02:56:28.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201572,94.40999984741211,50.0,1610612749,15,17,2025-01-09T02:56:28Z,800000,False,0.0,0.0,1,right,B. Lopez putback Layup (8 PTS),[201572],1610612749.0,MIL,putback,,,Lopez,B. Lopez,,,,,Mid-Range,8-16 Left,,,,Made,8.0,0.0,,,,,,,,,,,,,,
