actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-01-09T02:43:46.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-09T02:43:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-01-09T02:43:50.4Z,1,REGULAR,jumpball,recovered,[],203084,,,1610612759,0,0,2025-01-09T02:43:50Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. B. Lopez: Tip to H. Barnes,"[203084, 1641705, 201572]",1610612759.0,SAS,startperiod,H. Barnes,203084.0,Barnes,H. Barnes,Wembanyama,1641705.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M48.00S,2025-01-09T02:44:03.0Z,1,REGULAR,foul,technical,['1freethrow'],201572,,,1610612759,0,0,2025-01-09T02:44:30Z,80000,False,,,0,,B. Lopez defensive-3-second technical FOUL (1 Tech),[201572],1610612749.0,MIL,defensive-3-second,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),0-8 Center,1204.0,0.0,1.0,,,,,,,,,,,,,,,,,
9,PT11M48.00S,2025-01-09T02:44:31.4Z,1,REGULAR,freethrow,1 of 1,[],101108,,,1610612759,0,1,2025-01-09T02:44:31Z,90000,False,,,0,,C. Paul technical Free Throw 1 of 1 (1 PTS),[101108],1610612759.0,SAS,technical,,,Paul,C. Paul,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
10,PT11M40.00S,2025-01-09T02:44:49.0Z,1,REGULAR,2pt,Jump Shot,[],1642264,23.603810775295663,68.13725490196079,1610612759,0,1,2025-01-09T02:44:59Z,100000,False,-91.0,169.0,1,left,MISS S. Castle 19' fadeaway Shot,[1642264],1610612759.0,SAS,fadeaway,,,Castle,S. Castle,,,,,Mid-Range,16-24 Left Center,,,,Missed,,19.22,,,,,,,,,,,,,,
11,PT11M34.00S,2025-01-09T02:44:54.6Z,1,REGULAR,rebound,offensive,[],1641705,,,1610612759,0,1,2025-01-09T02:44:54Z,110000,False,,,0,,V. Wembanyama REBOUND (Off:1 Def:0),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,16-24 Left Center,,,,,,,10.0,1.0,0.0,1.0,,,,,,,,,,
12,PT11M34.00S,2025-01-09T02:44:54.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641705,5.590000152587891,50.0,1610612759,0,3,2025-01-09T02:44:54Z,120000,False,0.0,0.0,1,left,V. Wembanyama tip Layup (2 PTS),[1641705],1610612759.0,SAS,tip,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,8-16 Left,,,,Made,2.0,0.0,,,,,,,,,,,,,,
13,PT11M22.00S,2025-01-09T02:45:06.8Z,1,REGULAR,turnover,bad pass,[],203507,,,1610612749,0,3,2025-01-09T02:45:13Z,130000,False,,,0,,G. Antetokounmpo bad pass TURNOVER (1 TO),"[203507, 1630170]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1.0,Vassell,1630170.0,,,,,,,
14,PT11M22.00S,2025-01-09T02:45:06.8Z,1,REGULAR,steal,,[],1630170,,,1610612759,0,3,2025-01-09T02:45:10Z,140000,False,,,0,,D. Vassell STEAL (1 STL),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT11M06.00S,2025-01-09T02:45:22.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630170,13.354139290407357,61.51960784313726,1610612759,0,3,2025-01-09T02:45:34Z,150000,False,-58.0,73.0,1,left,MISS D. Vassell 9' driving Layup - blocked,"[1630170, 201572]",1610612759.0,SAS,driving,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),8-16 Left,,,,Missed,,9.3,,,,,,,,Lopez,201572.0,,,,,
16,PT11M06.00S,2025-01-09T02:45:22.5Z,1,REGULAR,block,,[],201572,,,1610612759,0,3,2025-01-09T02:45:27Z,160000,False,,,0,,B. Lopez BLOCK (1 BLK),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
17,PT11M01.00S,2025-01-09T02:45:27.5Z,1,REGULAR,rebound,defensive,[],203081,,,1610612749,0,3,2025-01-09T02:45:34Z,170000,False,,,0,,D. Lillard REBOUND (Off:0 Def:1),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
18,PT10M57.00S,2025-01-09T02:45:33.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,93.24901445466492,50.98039215686274,1610612749,0,3,2025-01-09T02:45:41Z,180000,False,5.0,11.0,1,right,MISS G. Antetokounmpo driving Layup - blocked,"[203507, 1641705]",1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,Missed,,1.2,,,,,,,,Wembanyama,1641705.0,,,,,
19,PT10M57.00S,2025-01-09T02:45:33.6Z,1,REGULAR,block,,[],1641705,,,1610612749,0,3,2025-01-09T02:45:38Z,190000,False,,,0,,V. Wembanyama BLOCK (1 BLK),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
20,PT10M57.00S,2025-01-09T02:45:33.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,0,3,2025-01-09T02:45:41Z,200000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,18.0,,,,,,,,,,,,,
22,PT10M50.00S,2025-01-09T02:45:53.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203507,93.9060446780552,49.01960784313725,1610612749,2,3,2025-01-09T02:45:58Z,220000,False,-5.0,5.0,1,right,G. Antetokounmpo cutting DUNK (2 PTS) (D. Lillard 1 AST),"[203507, 203081]",1610612749.0,MIL,cutting,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,Made,2.0,0.69,,,,,,,,,,D. Lillard,203081.0,1.0,,
24,PT10M39.00S,2025-01-09T02:46:06.7Z,1,REGULAR,turnover,double dribble,[],1642264,,,1610612759,2,3,2025-01-09T02:46:16Z,240000,False,,,0,,S. Castle double dribble TURNOVER (1 TO),[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,Mid-Range,8-16 Right,1204.0,,,,,,,,,,1.0,,,,,,,,,
25,PT10M30.00S,2025-01-09T02:46:21.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203081,69.46452036793693,75.73529411764706,1610612749,2,3,2025-01-09T02:46:27Z,250000,False,129.0,235.0,1,right,MISS D. Lillard 26' pullup 3PT,[203081],1610612749.0,MIL,pullup,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Right Center,,,,Missed,,26.75,,,,,,,,,,,,,,
26,PT10M27.00S,2025-01-09T02:46:24.5Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,2,3,2025-01-09T02:46:27Z,260000,False,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Right Center,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,
27,PT10M22.00S,2025-01-09T02:46:29.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641705,31.488173455978973,25.49019607843137,1610612759,2,6,2025-01-09T02:46:37Z,270000,False,123.0,243.0,1,left,V. Wembanyama 27' 3PT running pullup (5 PTS) (C. Paul 1 AST),"[1641705, 101108]",1610612759.0,SAS,running pullup,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Right Center,,,,Made,5.0,27.26,,,,,,,,,,C. Paul,101108.0,1.0,,
29,PT10M01.00S,2025-01-09T02:46:50.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641748,93.64323258869908,49.50980392156863,1610612749,2,6,2025-01-09T02:46:55Z,290000,False,-2.0,7.0,1,right,MISS A. Jackson Jr. alley-oop DUNK,[1641748],1610612749.0,MIL,alley-oop,,,Jackson Jr.,A. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,,Missed,,0.77,,,,,,,,,,,,,,
30,PT09M58.00S,2025-01-09T02:46:53.1Z,1,REGULAR,rebound,defensive,[],203084,,,1610612759,2,6,2025-01-09T02:46:55Z,300000,False,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Restricted Area,0-8 Center,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,
31,PT09M52.00S,2025-01-09T02:46:59.3Z,1,REGULAR,3pt,Jump Shot,[],203084,29.25427069645204,15.441176470588236,1610612759,2,6,2025-01-09T02:47:06Z,310000,False,173.0,222.0,1,left,MISS H. Barnes 28' 3PT,[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Right Center,,,,Missed,,28.17,,,,,,,,,,,,,,
32,PT09M47.00S,2025-01-09T02:47:04.3Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,2,6,2025-01-09T02:47:06Z,320000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Right Center,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,
33,PT09M40.00S,2025-01-09T02:47:14.0Z,1,REGULAR,foul,personal,['2freethrow'],1641705,,,1610612749,2,6,2025-01-09T02:47:29Z,330000,False,,,0,,V. Wembanyama shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1641705, 203507]",1610612759.0,SAS,shooting,,,Wembanyama,V. Wembanyama,,,,,In The Paint (Non-RA),8-16 Center,201639.0,1.0,0.0,,,,,,,,,,,,,,,,Antetokounmpo,203507.0
35,PT09M40.00S,2025-01-09T02:47:56.3Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,2,6,2025-01-09T02:48:23Z,350000,False,,,0,,MISS G. Antetokounmpo Free Throw 1 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
