actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
228,PT05M29.00S,2025-01-05T01:47:00.6Z,2,REGULAR,3pt,Jump Shot,[],201572,69.85873850197109,10.784313725490197,1610612749,37,39,2025-01-05T01:47:12Z,2250000,False,-196.0,231.0,1,right,MISS B. Lopez 30' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Left Center,30.29,Missed,,,,,,,,,,,,,,,,,,
229,PT05M25.00S,2025-01-05T01:47:04.6Z,2,REGULAR,rebound,defensive,[],1630703,,,1610612757,37,39,2025-01-05T01:47:12Z,2260000,False,,,0,,S. Henderson REBOUND (Off:1 Def:3),[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,Above the Break 3,24+ Left Center,,,228.0,4.0,3.0,1.0,,,,,,,,,,,,,,
230,PT05M18.00S,2025-01-05T01:47:11.0Z,2,REGULAR,turnover,lost ball,[],1629014,,,1610612757,37,39,2025-01-05T02:07:44Z,2270000,False,,,0,,A. Simons lost ball TURNOVER (2 TO),"[1629014, 203507]",1610612757.0,POR,,,,Simons,A. Simons,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,2.0,Antetokounmpo,203507.0,,,,,,,
231,PT05M18.00S,2025-01-05T01:47:11.0Z,2,REGULAR,steal,,[],203507,,,1610612749,37,39,2025-01-05T02:10:37Z,2280000,False,,,0,,G. Antetokounmpo STEAL (1 STL),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
232,PT05M12.00S,2025-01-05T01:47:17.3Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203114,71.82982917214193,14.215686274509803,1610612749,37,39,2025-01-05T01:47:22Z,2290000,False,-179.0,212.0,1,right,MISS K. Middleton 27' running 3PT,[203114],1610612749.0,MIL,running,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Left Center,27.76,Missed,,,,,,,,,,,,,,,,,,
233,PT05M09.00S,2025-01-05T01:47:20.3Z,2,REGULAR,rebound,defensive,[],1631200,,,1610612757,37,39,2025-01-05T01:47:22Z,2300000,False,,,0,,K. Murray REBOUND (Off:1 Def:1),[1631200],1610612757.0,POR,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Left Center,,,232.0,2.0,1.0,1.0,,,,,,,,,,,,,,
234,PT05M09.00S,2025-01-05T01:47:26.7Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,37,39,2025-01-05T01:47:26Z,2310000,False,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT05M09.00S,2025-01-05T01:49:58.1Z,2,REGULAR,substitution,out,[],1629014,,,1610612757,37,39,2025-01-05T01:50:19Z,2320000,False,,,0,,SUB out: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT05M09.00S,2025-01-05T01:49:58.1Z,2,REGULAR,substitution,out,[],1642270,,,1610612757,37,39,2025-01-05T01:50:19Z,2330000,False,,,0,,SUB out: D. Clingan,[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT05M09.00S,2025-01-05T01:49:58.1Z,2,REGULAR,substitution,out,[],1631200,,,1610612757,37,39,2025-01-05T01:50:19Z,2340000,False,,,0,,SUB out: K. Murray,[1631200],1610612757.0,POR,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT05M09.00S,2025-01-05T01:49:58.1Z,2,REGULAR,substitution,in,[],1641739,,,1610612757,37,39,2025-01-05T01:50:19Z,2350000,False,,,0,,SUB in: T. Camara,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT05M09.00S,2025-01-05T01:49:58.1Z,2,REGULAR,substitution,in,[],1629028,,,1610612757,37,39,2025-01-05T01:50:19Z,2360000,False,,,0,,SUB in: D. Ayton,[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,,,,,,
241,PT05M09.00S,2025-01-05T01:49:58.1Z,2,REGULAR,substitution,in,[],1631101,,,1610612757,37,39,2025-01-05T01:50:19Z,2370000,False,,,0,,SUB in: S. Sharpe,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
242,PT04M55.00S,2025-01-05T01:50:41.1Z,2,REGULAR,2pt,Jump Shot,[],1631101,26.363337713534822,41.66666666666667,1610612757,37,41,2025-01-05T02:09:14Z,2380000,False,42.0,195.0,1,left,S. Sharpe 19' pullup Jump Shot (7 PTS),[1631101],1610612757.0,POR,pullup,,,Sharpe,S. Sharpe,,,,,Mid-Range,16-24 Center,19.97,Made,,,,,7.0,,,,,,,,,,,,,
243,PT04M37.00S,2025-01-05T01:50:56.4Z,2,REGULAR,3pt,Jump Shot,[],1631260,94.82588699080158,95.83333333333334,1610612749,40,41,2025-01-05T01:51:18Z,2390000,False,229.0,-4.0,1,right,A. Green 3PT  (15 PTS) (K. Middleton 2 AST),"[1631260, 203114]",1610612749.0,MIL,,,,Green,A. Green,,,,,Right Corner 3,24+ Right,22.92,Made,,,,,15.0,K. Middleton,203114.0,2.0,,,,,,,,,,
248,PT04M11.00S,2025-01-05T01:51:39.5Z,2,REGULAR,turnover,shot clock,['team'],0,,,1610612757,40,41,2025-01-05T01:51:47Z,2420000,False,,,0,,POR shot clock Team TURNOVER,[],1610612757.0,POR,,,,,,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,2534.0,,,,,,
249,PT03M51.00S,2025-01-05T01:52:12.4Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1631260,66.96780551905388,36.76470588235294,1610612749,40,41,2025-01-05T01:52:20Z,2430000,False,-66.0,258.0,1,right,MISS A. Green 26' 3PT,[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,Above the Break 3,24+ Center,26.64,Missed,,,,,,,,,,,,,,,,,,
250,PT03M47.00S,2025-01-05T01:52:15.6Z,2,REGULAR,rebound,defensive,[],1631101,,,1610612757,40,41,2025-01-05T01:52:15Z,2440000,False,,,0,,S. Sharpe REBOUND (Off:0 Def:2),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Center,,,249.0,2.0,2.0,0.0,,,,,,,,,,,,,,
251,PT03M38.00S,2025-01-05T01:52:24.5Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1629028,13.748357424441524,51.225490196078425,1610612757,40,41,2025-01-05T01:52:29Z,2450000,False,-6.0,77.0,1,left,MISS D. Ayton 7' turnaround Hook,[1629028],1610612757.0,POR,turnaround,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,7.69,Missed,,,,,,,,,,,,,,,,,,
252,PT03M35.00S,2025-01-05T01:52:27.5Z,2,REGULAR,rebound,defensive,[],203507,,,1610612749,40,41,2025-01-05T01:52:29Z,2460000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:4),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,251.0,4.0,4.0,0.0,,,,,,,,,,,,,,
253,PT03M34.00S,2025-01-05T01:52:31.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203507,93.51182654402102,50.245098039215684,1610612749,42,41,2025-01-05T01:52:39Z,2470000,False,1.0,8.0,1,right,G. Antetokounmpo running Layup (10 PTS),[203507],1610612749.0,MIL,running,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,0.86,Made,,,,,10.0,,,,,,,,,,,,,
254,PT03M34.00S,2025-01-05T01:52:35.7Z,2,REGULAR,foul,personal,['1freethrow'],1641739,,,1610612749,42,41,2025-01-05T01:53:06Z,2480000,False,,,0,,T. Camara shooting personal FOUL (2 PF) (Antetokounmpo 1 FT),"[1641739, 203507]",1610612757.0,POR,shooting,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,2534.0,2.0,0.0,Antetokounmpo,203507.0,,
