actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-04-11T00:10:15.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-11T00:10:15Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-04-11T00:10:19.7Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2025-04-11T00:10:19Z,40000,False,,,0,,Jump Ball B. Lopez vs. K. Matković: Tip to G. Antetokounmpo,"[203507, 201572, 1631255]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Matković,1631255.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2025-04-11T00:10:37.9Z,1,REGULAR,2pt,Jump Shot,[],203507,84.83902759526939,17.647058823529413,1610612749,2,0,2025-04-11T00:11:21Z,70000,False,-162.0,90.0,1,right,G. Antetokounmpo 18' pullup Jump Shot (2 PTS),[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Left,18.51,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M17.00S,2025-04-11T00:11:00.0Z,1,REGULAR,3pt,Jump Shot,[],1630526,29.6484888304862,70.61121323529412,1610612740,2,0,2025-04-11T00:11:58Z,80000,False,-103.0,226.0,1,left,MISS J. Robinson-Earl 24' 3PT,[1630526],1610612740.0,NOP,,,,Robinson-Earl,J. Robinson-Earl,,,,,Above the Break 3,24+ Left Center,24.86,Missed,,,,,,,,,,,,,,,,,,
9,PT11M15.00S,2025-04-11T00:11:02.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612749,2,0,2025-04-11T00:11:58Z,90000,False,,,0,,TEAM defensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Above the Break 3,24+ Left Center,,,,8.0,,,,,,,,,,,,,,,,
11,PT11M05.00S,2025-04-11T00:11:27.5Z,1,REGULAR,3pt,Jump Shot,[],1628398,94.03745072273325,96.07843137254902,1610612749,2,0,2025-04-11T00:12:33Z,110000,False,230.0,4.0,1,right,MISS K. Kuzma 3PT,[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,Right Corner 3,24+ Right,23.04,Missed,,,,,,,,,,,,,,,,,,
12,PT11M04.00S,2025-04-11T00:11:28.5Z,1,REGULAR,rebound,defensive,[],1641810,,,1610612740,2,0,2025-04-11T00:12:33Z,120000,False,,,0,,A. Reeves REBOUND (Off:0 Def:1),[1641810],1610612740.0,NOP,,,,Reeves,A. Reeves,,,,,Right Corner 3,24+ Right,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT10M53.00S,2025-04-11T00:11:37.9Z,1,REGULAR,2pt,Jump Shot,[],1631255,6.783837056504599,27.450980392156865,1610612740,2,0,2025-04-11T00:11:44Z,130000,False,113.0,11.0,1,left,MISS K. Matković 11' Jump Shot,[1631255],1610612740.0,NOP,,,,Matković,K. Matković,,,,,Mid-Range,8-16 Right,11.33,Missed,,,,,,,,,,,,,,,,,,
14,PT10M50.00S,2025-04-11T00:11:40.9Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,2,0,2025-04-11T00:11:44Z,140000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,8-16 Right,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,
15,PT10M44.00S,2025-04-11T00:11:46.9Z,1,REGULAR,3pt,Jump Shot,[],1631157,95.0886990801577,3.431372549019608,1610612749,2,0,2025-04-11T00:11:52Z,150000,False,-233.0,-6.0,1,right,MISS R. Rollins 3PT,[1631157],1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,Left Corner 3,24+ Left,23.29,Missed,,,,,,,,,,,,,,,,,,
16,PT10M42.00S,2025-04-11T00:11:48.9Z,1,REGULAR,rebound,defensive,[],203901,,,1610612740,2,0,2025-04-11T00:13:06Z,160000,False,,,0,,E. Payton REBOUND (Off:0 Def:1),[203901],1610612740.0,NOP,,,,Payton,E. Payton,,,,,Left Corner 3,24+ Left,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,
17,PT10M34.00S,2025-04-11T00:11:57.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631255,4.07358738501971,3.209252450980392,1610612740,2,3,2025-04-11T00:13:03Z,170000,False,234.0,-14.0,1,left,K. Matković 3PT running (3 PTS) (E. Payton 1 AST),"[1631255, 203901]",1610612740.0,NOP,running,,,Matković,K. Matković,,,,,Right Corner 3,24+ Right,23.44,Made,3.0,,,,,E. Payton,203901.0,1.0,,,,,,,,,,
19,PT10M22.00S,2025-04-11T00:12:09.1Z,1,REGULAR,3pt,Jump Shot,[],1627752,74.06373193166885,13.480392156862745,1610612749,2,3,2025-04-11T00:13:31Z,190000,False,-183.0,191.0,1,right,MISS T. Prince 26' pullup 3PT,[1627752],1610612749.0,MIL,pullup,,,Prince,T. Prince,,,,,Above the Break 3,24+ Left Center,26.45,Missed,,,,,,,,,,,,,,,,,,
20,PT10M19.00S,2025-04-11T00:12:12.1Z,1,REGULAR,rebound,defensive,[],1631255,,,1610612740,2,3,2025-04-11T00:12:15Z,200000,False,,,0,,K. Matković REBOUND (Off:0 Def:1),[1631255],1610612740.0,NOP,,,,Matković,K. Matković,,,,,Above the Break 3,24+ Left Center,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,
21,PT10M08.00S,2025-04-11T00:12:23.6Z,1,REGULAR,3pt,Jump Shot,[],1631232,31.33418199737188,32.65165441176471,1610612740,2,3,2025-04-11T00:12:30Z,210000,False,87.0,242.0,1,left,MISS K. Brooks Jr. 25' 3PT,[1631232],1610612740.0,NOP,,,,Brooks Jr.,K. Brooks Jr.,,,,,Above the Break 3,24+ Right Center,25.71,Missed,,,,,,,,,,,,,,,,,,
22,PT10M04.00S,2025-04-11T00:12:27.6Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612749,2,3,2025-04-11T00:12:30Z,220000,False,,,0,,T. Prince REBOUND (Off:0 Def:1),[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Right Center,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,
23,PT09M53.00S,2025-04-11T00:12:39.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,92.32917214191852,50.98039215686274,1610612749,2,3,2025-04-11T00:14:16Z,230000,False,5.0,20.0,1,right,MISS G. Antetokounmpo driving finger roll Layup,[203507],1610612749.0,MIL,driving finger roll,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,2.02,Missed,,,,,,,,,,,,,,,,,,
24,PT09M51.00S,2025-04-11T00:12:41.3Z,1,REGULAR,rebound,defensive,[],1631255,,,1610612740,2,3,2025-04-11T00:14:16Z,240000,False,,,0,,K. Matković REBOUND (Off:0 Def:2),[1631255],1610612740.0,NOP,,,,Matković,K. Matković,,,,,Restricted Area,0-8 Center,,,,23.0,2.0,2.0,0.0,,,,,,,,,,,,,
25,PT09M46.00S,2025-04-11T00:12:45.3Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1641810,26.231931668856767,64.4607843137255,1610612740,2,5,2025-04-11T00:12:53Z,250000,False,-72.0,194.0,1,left,A. Reeves 20' running pullup Jump Shot (2 PTS),[1641810],1610612740.0,NOP,running pullup,,,Reeves,A. Reeves,,,,,Mid-Range,16-24 Left Center,20.71,Made,2.0,,,,,,,,,,,,,,,,,
26,PT09M26.00S,2025-04-11T00:13:04.7Z,1,REGULAR,2pt,Jump Shot,[],203507,79.31997371879106,48.77450980392157,1610612749,4,5,2025-04-11T00:13:10Z,260000,False,-6.0,142.0,1,right,G. Antetokounmpo 14' turnaround fadeaway Jump Shot (4 PTS) (T. Prince 1 AST),"[203507, 1627752]",1610612749.0,MIL,turnaround fadeaway,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,8-16 Center,14.2,Made,4.0,,,,,T. Prince,1627752.0,1.0,,,,,,,,,,
28,PT09M11.00S,2025-04-11T00:13:20.0Z,1,REGULAR,3pt,Jump Shot,[],1630526,9.85545335085414,94.63082107843137,1610612740,4,8,2025-04-11T00:13:29Z,280000,False,-223.0,40.0,1,left,J. Robinson-Earl 3PT  (3 PTS) (E. Payton 2 AST),"[1630526, 203901]",1610612740.0,NOP,,,,Robinson-Earl,J. Robinson-Earl,,,,,Left Corner 3,24+ Left,22.68,Made,3.0,,,,,E. Payton,203901.0,2.0,,,,,,,,,,
30,PT08M59.00S,2025-04-11T00:13:34.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,93.77463863337714,53.67647058823529,1610612749,4,8,2025-04-11T00:15:23Z,300000,False,18.0,6.0,1,right,MISS G. Antetokounmpo driving Layup,[203507],1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,1.94,Missed,,,,,,,,,,,,,,,,,,
31,PT08M58.00S,2025-04-11T00:13:35.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612740,4,8,2025-04-11T00:15:23Z,310000,False,,,0,,TEAM defensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Restricted Area,0-8 Center,,,,30.0,,,,,,,,,,,,,,,,
33,PT08M42.00S,2025-04-11T00:13:57.0Z,1,REGULAR,3pt,Jump Shot,[],1641810,29.94004599211564,27.473958333333332,1610612740,4,8,2025-04-11T00:14:08Z,330000,False,113.0,229.0,1,left,MISS A. Reeves 25' 3PT,[1641810],1610612740.0,NOP,,,,Reeves,A. Reeves,,,,,Above the Break 3,24+ Right Center,25.51,Missed,,,,,,,,,,,,,,,,,,
34,PT08M38.00S,2025-04-11T00:14:01.0Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,4,8,2025-04-11T00:14:36Z,340000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Right Center,,,,33.0,2.0,2.0,0.0,,,,,,,,,,,,,
35,PT08M35.00S,2025-04-11T00:14:06.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627752,78.9257555847569,4.6568627450980395,1610612749,4,8,2025-04-11T00:16:14Z,350000,False,-227.0,146.0,1,right,MISS T. Prince 26' running pullup 3PT,[1627752],1610612749.0,MIL,running pullup,,,Prince,T. Prince,,,,,Above the Break 3,24+ Left Center,26.94,Missed,,,,,,,,,,,,,,,,,,
36,PT08M33.00S,2025-04-11T00:14:08.2Z,1,REGULAR,rebound,defensive,[],1641810,,,1610612740,4,8,2025-04-11T00:16:14Z,360000,False,,,0,,A. Reeves REBOUND (Off:0 Def:2),[1641810],1610612740.0,NOP,,,,Reeves,A. Reeves,,,,,Above the Break 3,24+ Left Center,,,,35.0,2.0,2.0,0.0,,,,,,,,,,,,,
37,PT08M29.00S,2025-04-11T00:14:16.3Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1631232,12.697109067017081,69.85294117647058,1610612740,4,10,2025-04-11T00:15:37Z,370000,False,-99.0,67.0,1,left,K. Brooks Jr. 11' running pullup Jump Shot (2 PTS) (A. Reeves 1 AST),"[1631232, 1641810]",1610612740.0,NOP,running pullup,,,Brooks Jr.,K. Brooks Jr.,,,,,Mid-Range,8-16 Left,11.97,Made,2.0,,,,,A. Reeves,1641810.0,1.0,,,,,,,,,,
38,PT08M05.00S,2025-04-11T00:14:37.6Z,1,REGULAR,3pt,Jump Shot,[],1631157,96.27135348226018,96.32352941176471,1610612749,7,10,2025-04-11T00:16:44Z,380000,False,232.0,-17.0,1,right,R. Rollins 3PT  (3 PTS) (G. Antetokounmpo 1 AST),"[1631157, 203507]",1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,Right Corner 3,24+ Right,23.23,Made,3.0,,,,,G. Antetokounmpo,203507.0,1.0,,,,,,,,,,
