actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-13T01:12:09.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-13T01:12:09Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2024-11-13T01:12:40.1Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2024-11-13T01:12:40Z,40000,False,,,0,,Jump Ball B. Lopez vs. J. Pöltl: Tip to G. Antetokounmpo,"[203507, 201572, 1627751]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Pöltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2024-11-13T01:12:49.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201572,93.38042049934296,51.71568627450981,1610612749,2,0,2024-11-13T01:14:08Z,70000,False,9.0,10.0,1,right,B. Lopez driving DUNK (2 PTS) (A. Green 1 AST),"[201572, 1631260]",1610612749.0,MIL,driving,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,1.3,Made,2.0,A. Green,1631260.0,1.0,,,,,,,,,,,,,,
9,PT11M43.00S,2024-11-13T01:12:55.7Z,1,REGULAR,foul,personal,['1freethrow'],1627751,,,1610612749,2,0,2024-11-13T01:20:04Z,90000,False,,,0,,J. Pöltl shooting personal FOUL (1 PF) (Lopez 1 FT),"[1627751, 201572]",1610612761.0,TOR,shooting,,,Pöltl,J. Pöltl,,,,,Restricted Area,0-8 Center,,,,,,,1179.0,1.0,0.0,Lopez,201572.0,,,,,,,,,
11,PT11M43.00S,2024-11-13T01:13:22.5Z,1,REGULAR,freethrow,1 of 1,[],201572,,,1610612749,3,0,2024-11-13T01:13:32Z,110000,False,,,0,,B. Lopez Free Throw 1 of 1 (3 PTS),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
12,PT11M23.00S,2024-11-13T01:13:41.1Z,1,REGULAR,turnover,lost ball,[],1629628,,,1610612761,3,0,2024-11-13T01:13:51Z,120000,False,,,0,,R. Barrett lost ball TURNOVER (1 TO),"[1629628, 1631157]",1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,1.0,Rollins,1631157.0,,,,,,
13,PT11M23.00S,2024-11-13T01:13:41.1Z,1,REGULAR,steal,,[],1631157,,,1610612749,3,0,2024-11-13T01:13:44Z,130000,False,,,0,,R. Rollins STEAL (1 STL),[1631157],1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
14,PT11M20.00S,2024-11-13T01:13:48.6Z,1,REGULAR,foul,offensive,[],203507,,,1610612749,3,0,2024-11-13T01:14:01Z,140000,False,,,0,,G. Antetokounmpo charge offensive FOUL (1 PF),"[203507, 1641711]",1610612749.0,MIL,charge,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,,,,1628159.0,1.0,0.0,Dick,1641711.0,,,,,,,,,
16,PT11M20.00S,2024-11-13T01:13:48.6Z,1,REGULAR,turnover,offensive foul,[],203507,,,1610612749,3,0,2024-11-13T01:13:48Z,160000,False,,,0,,G. Antetokounmpo offensive foul TURNOVER (1 TO),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,,,,1628159.0,,,,,1.0,,,,,,,,
17,PT11M13.00S,2024-11-13T01:14:07.6Z,1,REGULAR,foul,offensive,[],1627751,,,1610612761,3,0,2024-11-13T01:19:32Z,170000,False,,,0,,J. Pöltl offensive FOUL (2 PF),"[1627751, 1627752]",1610612761.0,TOR,,,,Pöltl,J. Pöltl,,,,,Above the Break 3,24+ Center,,,,,,,1179.0,2.0,0.0,Prince,1627752.0,,,,,,,,,
19,PT11M13.00S,2024-11-13T01:14:07.6Z,1,REGULAR,turnover,offensive foul,[],1627751,,,1610612761,3,0,2024-11-13T01:14:07Z,190000,False,,,0,,J. Pöltl offensive foul TURNOVER (1 TO),[1627751],1610612761.0,TOR,,,,Pöltl,J. Pöltl,,,,,Above the Break 3,24+ Center,,,,,,,1179.0,,,,,1.0,,,,,,,,
20,PT11M01.00S,2024-11-13T01:14:40.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203507,92.06636005256242,49.50980392156863,1610612749,5,0,2024-11-13T01:14:47Z,200000,False,-2.0,22.0,1,right,G. Antetokounmpo cutting DUNK (2 PTS),[203507],1610612749.0,MIL,cutting,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,2.22,Made,2.0,,,,,,,,,,,,,,,,,
21,PT10M47.00S,2024-11-13T01:14:53.9Z,1,REGULAR,2pt,Jump Shot,[],1627751,22.946780551905388,36.51960784313725,1610612761,5,0,2024-11-13T01:17:16Z,210000,False,67.0,163.0,1,left,MISS J. Pöltl 17' floating Shot,[1627751],1610612761.0,TOR,floating,,,Pöltl,J. Pöltl,,,,,Mid-Range,16-24 Right Center,17.66,Missed,,,,,,,,,,,,,,,,,,
22,PT10M47.00S,2024-11-13T01:14:53.9Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612761,5,0,2024-11-13T01:17:16Z,220000,False,,,0,,J. Pöltl REBOUND (Off:1 Def:0),[1627751],1610612761.0,TOR,,,,Pöltl,J. Pöltl,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,21.0,1.0,0.0,1.0,,
23,PT10M44.00S,2024-11-13T01:14:57.0Z,1,REGULAR,2pt,Layup,['2ndchance'],1627751,20.844283837056505,39.950980392156865,1610612761,5,2,2024-11-13T03:01:26Z,230000,False,50.0,143.0,1,left,J. Pöltl 15' putback Layup (2 PTS),[1627751],1610612761.0,TOR,putback,,,Pöltl,J. Pöltl,,,,,Mid-Range,8-16 Center,15.19,Made,2.0,,,,,,,,,,,,,,,,,
24,PT10M32.00S,2024-11-13T01:15:09.2Z,1,REGULAR,3pt,Jump Shot,[],201572,69.46452036793693,70.09803921568627,1610612749,8,2,2024-11-13T01:15:14Z,240000,False,100.0,235.0,1,right,B. Lopez 25' 3PT  (6 PTS) (A. Green 2 AST),"[201572, 1631260]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Right Center,25.51,Made,6.0,A. Green,1631260.0,2.0,,,,,,,,,,,,,,
26,PT10M16.00S,2024-11-13T01:15:24.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,7.440867279894875,52.20588235294118,1610612761,8,4,2024-11-13T01:15:29Z,260000,False,-11.0,17.0,1,left,J. Pöltl driving Layup (4 PTS),[1627751],1610612761.0,TOR,driving,,,Pöltl,J. Pöltl,,,,,Restricted Area,0-8 Center,2.06,Made,4.0,,,,,,,,,,,,,,,,,
28,PT09M57.00S,2024-11-13T01:15:44.1Z,1,REGULAR,2pt,Jump Shot,[],1627752,85.62746386333771,27.205882352941174,1610612749,8,4,2024-11-13T01:15:56Z,280000,False,-114.0,83.0,1,right,MISS T. Prince 14' driving floating bank Shot,[1627752],1610612749.0,MIL,driving floating bank,,,Prince,T. Prince,,,,,Mid-Range,8-16 Left,14.08,Missed,,,,,,,,,,,,,,,,,,
29,PT09M56.00S,2024-11-13T01:15:45.1Z,1,REGULAR,rebound,defensive,[],1641711,,,1610612761,8,4,2024-11-13T01:21:19Z,290000,False,,,0,,G. Dick REBOUND (Off:0 Def:1),[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,28.0,1.0,1.0,0.0,,
30,PT09M54.00S,2024-11-13T01:15:51.1Z,1,REGULAR,foul,personal,['3freethrow'],1631157,,,1610612761,8,4,2024-11-13T01:16:09Z,300000,False,,,0,,R. Rollins shooting personal FOUL (1 PF) (Dick 3 FT),"[1631157, 1641711]",1610612749.0,MIL,shooting,,,Rollins,R. Rollins,,,,,Above the Break 3,24+ Center,,,,,,,202058.0,1.0,0.0,Dick,1641711.0,,,,,,,,,
