actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-01-16T01:10:22.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-16T01:10:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-01-16T01:10:26.4Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2025-01-16T01:10:26Z,40000,False,,,0,,Jump Ball B. Lopez vs. W. Carter Jr.: Tip to G. Antetokounmpo,"[203507, 201572, 1628976]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2025-01-16T01:10:40.6Z,1,REGULAR,foul,offensive,[],1641748,,,1610612749,0,0,2025-01-16T01:10:55Z,70000,False,,,0,,A. Jackson Jr. offensive FOUL (1 PF),"[1641748, 203484]",1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,Above the Break 3,24+ Right Center,1629178.0,1.0,0.0,Caldwell-Pope,203484.0,,,,,,,,,,,,,,,
9,PT11M48.00S,2025-01-16T01:10:40.6Z,1,REGULAR,turnover,offensive foul,[],1641748,,,1610612749,0,0,2025-01-16T01:10:40Z,90000,False,,,0,,A. Jackson Jr. offensive foul TURNOVER (1 TO),[1641748],1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,Above the Break 3,24+ Right Center,1629178.0,,,,,1.0,,,,,,,,,,,,,,
10,PT11M26.00S,2025-01-16T01:11:13.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630175,93.9060446780552,3.9215686274509802,1610612753,0,0,2025-01-16T01:11:23Z,100000,False,-230.0,5.0,1,right,MISS C. Anthony 3PT,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,Left Corner 3,24+ Left,,,,,,,23.04,Missed,,,,,,,,,,,,
11,PT11M24.00S,2025-01-16T01:11:15.7Z,1,REGULAR,rebound,offensive,[],1641783,,,1610612753,0,0,2025-01-16T01:11:15Z,110000,False,,,0,,T. da Silva REBOUND (Off:1 Def:0),[1641783],1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,Left Corner 3,24+ Left,,,,,,,,,10.0,1.0,0.0,1.0,,,,,,,,
12,PT11M18.00S,2025-01-16T01:11:20.6Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1630175,79.05716162943496,51.470588235294116,1610612753,0,0,2025-01-16T01:11:26Z,120000,False,7.0,144.0,1,right,MISS C. Anthony 14' turnaround Shot,[1630175],1610612753.0,ORL,turnaround,,,Anthony,C. Anthony,,,,,Mid-Range,8-16 Center,,,,,,,14.46,Missed,,,,,,,,,,,,
13,PT11M18.00S,2025-01-16T01:11:20.6Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,0,0,2025-01-16T01:11:26Z,130000,False,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Mid-Range,8-16 Center,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,
14,PT11M11.00S,2025-01-16T01:11:26.8Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],203081,26.62614980289093,38.72549019607843,1610612749,0,0,2025-01-16T01:12:05Z,140000,False,56.0,198.0,1,left,MISS D. Lillard 20' running pullup Shot,[203081],1610612749.0,MIL,running pullup,,,Lillard,D. Lillard,,,,,Mid-Range,16-24 Center,,,,,,,20.57,Missed,,,,,,,,,,,,
15,PT11M10.00S,2025-01-16T01:11:27.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612753,0,0,2025-01-16T01:11:37Z,150000,False,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Mid-Range,16-24 Center,,,,,,,,,14.0,,,,,,,,,,,
17,PT10M48.00S,2025-01-16T01:11:58.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,92.32917214191852,52.69607843137255,1610612753,0,0,2025-01-16T01:12:15Z,170000,False,13.0,20.0,1,right,MISS P. Banchero driving Layup - blocked,"[1631094, 201572]",1610612753.0,ORL,driving,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,,,,,2.38,Missed,,,,,Lopez,201572.0,,,,,,
22,PT10M48.00S,2025-01-16T01:11:58.7Z,1,REGULAR,block,,[],201572,,,1610612753,0,0,2025-01-16T01:12:46Z,175000,False,,,0,,B. Lopez BLOCK (1 BLK),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
18,PT10M44.00S,2025-01-16T01:12:02.7Z,1,REGULAR,rebound,defensive,[],203081,,,1610612749,0,0,2025-01-16T01:12:15Z,180000,False,,,0,,D. Lillard REBOUND (Off:0 Def:1),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Restricted Area,0-8 Center,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,
19,PT10M43.00S,2025-01-16T01:12:06.3Z,1,REGULAR,foul,personal,['2freethrow'],1630175,,,1610612749,0,0,2025-01-16T01:12:22Z,190000,False,,,0,,C. Anthony shooting personal FOUL (1 PF) (Prince 2 FT),"[1630175, 1627752]",1610612753.0,ORL,shooting,,,Anthony,C. Anthony,,,,,Restricted Area,0-8 Center,1629178.0,1.0,0.0,Prince,1627752.0,,,,,,,,,,,,,,,
21,PT10M43.00S,2025-01-16T01:12:34.2Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1627752,,,1610612749,1,0,2025-01-16T01:12:34Z,210000,False,,,0,,T. Prince Free Throw 1 of 2 (1 PTS),[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,,,,,,,,,,Made,,,,,,,1.0,,,,,
23,PT10M43.00S,2025-01-16T01:12:49.3Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1627752,,,1610612749,2,0,2025-01-16T01:12:49Z,220000,False,,,0,,T. Prince Free Throw 2 of 2 (2 PTS),[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,,,,,,,,,,Made,,,,,,,2.0,,,,,
24,PT10M23.00S,2025-01-16T01:13:10.8Z,1,REGULAR,3pt,Jump Shot,[],1631094,66.3107752956636,72.05882352941177,1610612753,2,0,2025-01-16T01:13:16Z,230000,False,110.0,264.0,1,right,MISS P. Banchero 28' 3PT,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Right Center,,,,,,,28.63,Missed,,,,,,,,,,,,
25,PT10M19.00S,2025-01-16T01:13:14.8Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,2,0,2025-01-16T01:13:16Z,240000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Right Center,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,
26,PT10M00.00S,2025-01-16T01:13:33.5Z,1,REGULAR,2pt,Jump Shot,[],203507,14.011169513797633,75.73529411764706,1610612749,4,0,2025-01-16T01:13:38Z,250000,False,-129.0,79.0,1,left,G. Antetokounmpo 15' Jump Shot (2 PTS) (B. Lopez 1 AST),"[203507, 201572]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,8-16 Left,,,,,,,15.11,Made,,,,,,,2.0,B. Lopez,201572.0,1.0,,
27,PT09M39.00S,2025-01-16T01:13:54.5Z,1,REGULAR,3pt,Jump Shot,[],1631094,77.1353482260184,86.78768382352942,1610612753,4,3,2025-01-16T01:14:03Z,260000,False,184.0,162.0,1,right,P. Banchero 24' 3PT  (3 PTS) (T. da Silva 1 AST),"[1631094, 1641783]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Right Center,,,,,,,24.53,Made,,,,,,,3.0,T. da Silva,1641783.0,1.0,,
29,PT09M29.00S,2025-01-16T01:14:04.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203081,13.354139290407357,48.77450980392157,1610612749,4,3,2025-01-16T01:14:11Z,280000,False,6.0,73.0,1,left,MISS D. Lillard 7' driving floating Shot,[203081],1610612749.0,MIL,driving floating,,,Lillard,D. Lillard,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,7.33,Missed,,,,,,,,,,,,
30,PT09M27.00S,2025-01-16T01:14:06.5Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,4,3,2025-01-16T01:14:11Z,290000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,
31,PT09M23.00S,2025-01-16T01:14:10.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630175,92.59198423127464,52.20588235294118,1610612753,4,5,2025-01-16T01:14:16Z,300000,False,11.0,17.0,1,right,C. Anthony running Layup (2 PTS) (P. Banchero 1 AST),"[1630175, 1631094]",1610612753.0,ORL,running,,,Anthony,C. Anthony,,,,,Restricted Area,0-8 Center,,,,,,,2.03,Made,,,,,,,2.0,P. Banchero,1631094.0,1.0,,
33,PT09M04.00S,2025-01-16T01:14:28.9Z,1,REGULAR,2pt,Jump Shot,[],203507,21.632720105124836,36.029411764705884,1610612749,4,5,2025-01-16T01:14:56Z,320000,False,70.0,151.0,1,left,MISS G. Antetokounmpo 16' pullup Shot,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Right Center,,,,,,,16.62,Missed,,,,,,,,,,,,
34,PT09M01.00S,2025-01-16T01:14:31.9Z,1,REGULAR,rebound,defensive,[],1641783,,,1610612753,4,5,2025-01-16T01:14:34Z,330000,False,,,0,,T. da Silva REBOUND (Off:1 Def:1),[1641783],1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,Mid-Range,16-24 Right Center,,,,,,,,,33.0,2.0,1.0,1.0,,,,,,,,
35,PT08M49.00S,2025-01-16T01:14:44.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,93.51182654402102,51.225490196078425,1610612753,4,7,2025-01-16T01:14:49Z,340000,False,6.0,8.0,1,right,P. Banchero cutting Layup (5 PTS) (K. Caldwell-Pope 1 AST),"[1631094, 203484]",1610612753.0,ORL,cutting,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,,,,,1.05,Made,,,,,,,5.0,K. Caldwell-Pope,203484.0,1.0,,
37,PT08M32.00S,2025-01-16T01:15:00.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201572,12.040078843626807,44.85294117647059,1610612749,6,7,2025-01-16T01:15:08Z,360000,False,26.0,61.0,1,left,B. Lopez 6' driving Hook (2 PTS),[201572],1610612749.0,MIL,driving,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,6.59,Made,,,,,,,2.0,,,,,
38,PT08M20.00S,2025-01-16T01:15:13.2Z,1,REGULAR,3pt,Jump Shot,[],1641783,92.24704336399473,3.209252450980392,1610612753,6,7,2025-01-16T01:15:19Z,370000,False,-234.0,20.0,1,right,MISS T. da Silva 3PT,[1641783],1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,Left Corner 3,24+ Left,,,,,,,23.49,Missed,,,,,,,,,,,,
39,PT08M17.00S,2025-01-16T01:15:16.2Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,6,7,2025-01-16T01:15:19Z,380000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Left Corner 3,24+ Left,,,,,,,,,38.0,2.0,2.0,0.0,,,,,,,,
40,PT08M12.00S,2025-01-16T01:15:25.3Z,1,REGULAR,turnover,palming,[],203507,,,1610612749,6,7,2025-01-16T01:15:38Z,390000,False,,,0,,G. Antetokounmpo palming TURNOVER (1 TO),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,16-24 Right Center,2004.0,,,,,1.0,,,,,,,,,,,,,,
41,PT08M01.00S,2025-01-16T01:15:44.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628976,80.6340341655716,32.84313725490196,1610612753,6,7,2025-01-16T01:16:07Z,400000,False,-86.0,130.0,1,right,MISS W. Carter Jr. 15' Jump Shot,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,8-16 Left,,,,,,,15.53,Missed,,,,,,,,,,,,
