actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-02-03T01:40:55.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-03T01:40:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-02-03T01:40:59.4Z,1,REGULAR,jumpball,recovered,[],1628991,,,1610612763,0,0,2025-02-03T01:40:59Z,40000,False,,,0,,Jump Ball Z. Edey vs. B. Lopez: Tip to J. Jackson Jr.,"[1628991, 1641744, 201572]",1610612763.0,MEM,startperiod,J. Jackson Jr.,1628991.0,Jackson Jr.,J. Jackson Jr.,Edey,1641744.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-02-03T01:41:11.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628379,15.062417871222076,49.26470588235294,1610612763,0,2,2025-02-03T01:41:30Z,70000,False,4.0,89.0,1,left,L. Kennard 8' pullup Jump Shot (2 PTS),[1628379],1610612763.0,MEM,pullup,,,Kennard,L. Kennard,,,,,In The Paint (Non-RA),8-16 Center,8.92,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2025-02-03T01:41:27.8Z,1,REGULAR,3pt,Jump Shot,[],1627752,71.69842312746385,18.872549019607842,1610612749,3,2,2025-02-03T01:41:34Z,80000,False,-156.0,214.0,1,right,T. Prince 26' 3PT  (3 PTS) (D. Lillard 1 AST),"[1627752, 203081]",1610612749.0,MIL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Left Center,26.42,Made,3.0,D. Lillard,203081.0,1.0,,,,,,,,,,,,,,
10,PT11M13.00S,2025-02-03T01:41:41.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630217,15.505913272010513,63.748468137254896,1610612763,3,4,2025-02-03T01:41:54Z,100000,False,-69.0,93.0,1,left,D. Bane 11' driving floating Jump Shot (2 PTS) (L. Kennard 1 AST),"[1630217, 1628379]",1610612763.0,MEM,driving floating,,,Bane,D. Bane,,,,,In The Paint (Non-RA),8-16 Left,11.59,Made,2.0,L. Kennard,1628379.0,1.0,,,,,,,,,,,,,,
12,PT11M02.00S,2025-02-03T01:41:52.3Z,1,REGULAR,3pt,Jump Shot,[],203081,66.70499342969777,46.32352941176471,1610612749,3,4,2025-02-03T01:41:59Z,120000,False,-18.0,260.0,1,right,MISS D. Lillard 26' step back 3PT,[203081],1610612749.0,MIL,step back,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Center,26.11,Missed,,,,,,,,,,,,,,,,,,
13,PT11M02.00S,2025-02-03T01:41:52.3Z,1,REGULAR,rebound,defensive,[],1641744,,,1610612763,3,4,2025-02-03T01:41:59Z,130000,False,,,0,,Z. Edey REBOUND (Off:0 Def:1),[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,Above the Break 3,24+ Center,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT10M50.00S,2025-02-03T01:42:04.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,8.754927726675426,50.49019607843137,1610612763,3,4,2025-02-03T01:42:18Z,140000,False,-2.0,30.0,1,left,MISS J. Jackson Jr. driving Layup,[1628991],1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,2.99,Missed,,,,,,,,,,,,,,,,,,
15,PT10M47.00S,2025-02-03T01:42:07.8Z,1,REGULAR,rebound,defensive,[],1641748,,,1610612749,3,4,2025-02-03T01:42:18Z,150000,False,,,0,,A. Jackson Jr. REBOUND (Off:0 Def:1),[1641748],1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
16,PT10M38.00S,2025-02-03T01:42:15.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641748,93.64323258869908,50.49019607843137,1610612749,5,4,2025-02-03T01:42:21Z,160000,False,2.0,7.0,1,right,A. Jackson Jr. reverse Layup (2 PTS) (D. Lillard 2 AST),"[1641748, 203081]",1610612749.0,MIL,reverse,,,Jackson Jr.,A. Jackson Jr.,,,,,Restricted Area,0-8 Center,0.77,Made,2.0,D. Lillard,203081.0,2.0,,,,,,,,,,,,,,
18,PT10M29.00S,2025-02-03T01:42:29.1Z,1,REGULAR,2pt,Jump Shot,[],1630217,20.844283837056505,34.55882352941176,1610612763,5,4,2025-02-03T01:44:38Z,172500,False,77.0,143.0,1,left,MISS D. Bane 16' pullup Shot,[1630217],1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,Mid-Range,16-24 Right Center,16.29,Missed,,,,,,,,,,,,,,,,,,
19,PT10M28.00S,2025-02-03T01:42:30.1Z,1,REGULAR,rebound,offensive,[],1641744,,,1610612763,5,4,2025-02-03T01:44:38Z,173750,False,,,0,,Z. Edey REBOUND (Off:1 Def:1),[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,Mid-Range,16-24 Right Center,,,,,,,18.0,2.0,1.0,1.0,,,,,,,,,,
20,PT10M27.00S,2025-02-03T01:42:35.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641744,5.590000152587891,50.0,1610612763,5,6,2025-02-03T01:44:38Z,175000,False,0.0,0.0,1,left,Z. Edey tip Layup (2 PTS),[1641744],1610612763.0,MEM,tip,,,Edey,Z. Edey,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
21,PT10M07.00S,2025-02-03T01:42:47.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203081,82.7365308804205,40.19607843137255,1610612749,5,6,2025-02-03T01:42:52Z,210000,False,-49.0,110.0,1,right,MISS D. Lillard 12' fadeaway Shot,[203081],1610612749.0,MIL,fadeaway,,,Lillard,D. Lillard,,,,,In The Paint (Non-RA),8-16 Center,12.02,Missed,,,,,,,,,,,,,,,,,,
22,PT10M05.00S,2025-02-03T01:42:49.4Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,5,6,2025-02-03T01:42:52Z,220000,False,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,
23,PT09M59.00S,2025-02-03T01:42:55.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628379,16.770696452036795,49.26470588235294,1610612763,5,6,2025-02-03T02:02:42Z,230000,False,4.0,105.0,1,left,MISS L. Kennard 10' driving floating Shot,[1628379],1610612763.0,MEM,driving floating,,,Kennard,L. Kennard,,,,,In The Paint (Non-RA),8-16 Center,10.52,Missed,,,,,,,,,,,,,,,,,,
24,PT09M58.00S,2025-02-03T01:42:56.5Z,1,REGULAR,rebound,offensive,[],1641744,,,1610612763,5,6,2025-02-03T01:51:52Z,240000,False,,,0,,Z. Edey REBOUND (Off:2 Def:1),[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,23.0,3.0,1.0,2.0,,,,,,,,,,
49,PT09M58.00S,2025-02-03T01:43:02.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641744,6.783837056504599,48.529411764705884,1610612763,5,6,2025-02-03T01:50:56Z,245000,False,7.0,11.0,1,left,MISS Z. Edey tip Layup,[1641744],1610612763.0,MEM,tip,,,Edey,Z. Edey,,,,,Restricted Area,0-8 Center,1.35,Missed,,,,,,,,,,,,,,,,,,
50,PT09M57.00S,2025-02-03T01:43:03.1Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,5,6,2025-02-03T01:51:17Z,247500,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,,
25,PT09M45.00S,2025-02-03T01:43:08.7Z,1,REGULAR,3pt,Jump Shot,[],201572,70.77858081471747,80.14705882352942,1610612749,5,6,2025-02-03T01:43:19Z,250000,False,151.0,222.0,1,right,MISS B. Lopez 26' bank 3PT,[201572],1610612749.0,MIL,bank,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Right Center,26.85,Missed,,,,,,,,,,,,,,,,,,
26,PT09M42.00S,2025-02-03T01:43:12.0Z,1,REGULAR,rebound,defensive,[],1628379,,,1610612763,5,6,2025-02-03T01:43:12Z,260000,False,,,0,,L. Kennard REBOUND (Off:0 Def:1),[1628379],1610612763.0,MEM,,,,Kennard,L. Kennard,,,,,Above the Break 3,24+ Right Center,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,
27,PT09M36.00S,2025-02-03T01:43:18.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1641744,6.258212877792378,34.80392156862745,1610612763,5,8,2025-02-03T01:43:24Z,270000,False,76.0,6.0,1,left,Z. Edey 7' turnaround Hook (4 PTS) (L. Kennard 2 AST),"[1641744, 1628379]",1610612763.0,MEM,turnaround,,,Edey,Z. Edey,,,,,In The Paint (Non-RA),0-8 Center,7.63,Made,4.0,L. Kennard,1628379.0,2.0,,,,,,,,,,,,,,
