actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,shotActionNumber,officialId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-12-27T01:10:54.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-27T01:10:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-12-27T01:11:08.9Z,1,REGULAR,jumpball,recovered,[],1627732,,,1610612751,0,0,2024-12-27T01:11:09Z,40000,False,,,0,,Jump Ball N. Claxton vs. B. Lopez: Tip to B. Simmons,"[1627732, 1629651, 201572]",1610612751.0,BKN,startperiod,B. Simmons,1627732.0,Simmons,B. Simmons,Claxton,1629651.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2024-12-27T01:11:16.5Z,1,REGULAR,3pt,Jump Shot,[],1641730,81.94809461235218,97.05882352941177,1610612751,0,3,2024-12-27T01:11:25Z,70000,False,235.0,117.0,1,right,N. Clowney 26' 3PT running (3 PTS) (B. Simmons 1 AST),"[1641730, 1627732]",1610612751.0,BKN,running,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Right Center,26.29,Made,3.0,B. Simmons,1627732.0,1.0,,,,,,,,,,,,,,
9,PT11M44.00S,2024-12-27T01:11:21.6Z,1,REGULAR,turnover,bad pass,[],1626171,,,1610612749,0,3,2024-12-27T01:11:29Z,90000,False,,,0,,B. Portis bad pass TURNOVER (1 TO),"[1626171, 1630553]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,Mid-Range,16-24 Right,,,,,,,1.0,Johnson,1630553.0,,,,,,,,,,,
10,PT11M44.00S,2024-12-27T01:11:21.6Z,1,REGULAR,steal,,[],1630553,,,1610612751,0,3,2024-12-27T01:11:26Z,100000,False,,,0,,K. Johnson STEAL (1 STL),[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
11,PT11M33.00S,2024-12-27T01:11:33.2Z,1,REGULAR,turnover,bad pass,[],1629661,,,1610612751,0,3,2024-12-27T01:11:41Z,110000,False,,,0,,C. Johnson bad pass TURNOVER (1 TO),"[1629661, 1631157]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,Rollins,1631157.0,,,,,,,,,,,
12,PT11M33.00S,2024-12-27T01:11:33.2Z,1,REGULAR,steal,,[],1631157,,,1610612749,0,3,2024-12-27T01:11:37Z,120000,False,,,0,,R. Rollins STEAL (1 STL),[1631157],1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M21.00S,2024-12-27T01:11:46.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201572,6.1268068331143235,51.470588235294116,1610612749,0,3,2024-12-27T01:12:36Z,130000,False,-7.0,5.0,1,left,MISS B. Lopez Layup - blocked,"[201572, 1630553]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,0.9,Missed,,,,,,,,Johnson,1630553.0,,,,,,,,,
14,PT11M21.00S,2024-12-27T01:11:46.3Z,1,REGULAR,block,,[],1630553,,,1610612749,0,3,2024-12-27T01:11:50Z,140000,False,,,0,,K. Johnson BLOCK (1 BLK),[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
18,PT11M18.00S,2024-12-27T01:11:49.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,0,3,2024-12-27T01:12:36Z,150000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,13.0,,,,,,,,
