actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-08T01:11:07.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-08T01:11:07Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-11-08T01:11:21.5Z,1,REGULAR,jumpball,recovered,[],1629012,,,1610612762,0,0,2024-11-08T01:11:21Z,40000,False,,,0,,Jump Ball W. Kessler vs. B. Lopez: Tip to C. Sexton,"[1629012, 1631117, 201572]",1610612762.0,UTA,startperiod,C. Sexton,1629012.0,Sexton,C. Sexton,Kessler,1631117.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2024-11-08T01:11:45.9Z,1,REGULAR,3pt,Jump Shot,[],1642262,35.43035479632063,49.26470588235294,1610612762,0,3,2024-11-08T01:11:51Z,80000,False,4.0,281.0,1,left,C. Williams 28' 3PT  (3 PTS) (C. Sexton 1 AST),"[1642262, 1629012]",1610612762.0,UTA,,,,Williams,C. Williams,,,,,Above the Break 3,24+ Center,28.05,Made,3.0,C. Sexton,1629012.0,1.0,,,,,,,,,,,,,,
10,PT11M24.00S,2024-11-08T01:12:03.7Z,1,REGULAR,turnover,bad pass,[],203507,,,1610612749,0,3,2024-11-08T01:12:10Z,100000,False,,,0,,G. Antetokounmpo bad pass TURNOVER (1 TO),"[203507, 1628374]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,Markkanen,1628374.0,,,,,,,,,,,
11,PT11M24.00S,2024-11-08T01:12:03.7Z,1,REGULAR,steal,,[],1628374,,,1610612762,0,3,2024-11-08T01:12:06Z,110000,False,,,0,,L. Markkanen STEAL (1 STL),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M24.00S,2024-11-08T01:12:10.6Z,1,REGULAR,foul,personal,[],203507,,,1610612762,0,3,2024-11-08T01:12:27Z,120000,False,,,0,,G. Antetokounmpo personal FOUL (1 PF),"[203507, 1628374]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Center,,,,,,,,,,202026.0,1.0,0.0,Markkanen,1628374.0,,,,,,
15,PT11M00.00S,2024-11-08T01:13:05.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641718,32.013797634691194,71.07843137254902,1610612762,0,6,2024-11-08T01:13:10Z,150000,False,-105.0,248.0,1,left,K. George 26' 3PT  (3 PTS) (C. Sexton 2 AST),"[1641718, 1629012]",1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Left Center,26.98,Made,3.0,C. Sexton,1629012.0,2.0,,,,,,,,,,,,,,
17,PT10M40.00S,2024-11-08T01:13:27.0Z,1,REGULAR,3pt,Jump Shot,[],203081,73.27529566360053,83.08823529411765,1610612749,3,6,2024-11-08T01:14:10Z,170000,False,165.0,199.0,1,right,D. Lillard 25' 3PT pullup (3 PTS),[203081],1610612749.0,MIL,pullup,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Right Center,25.85,Made,3.0,,,,,,,,,,,,,,,,,
18,PT10M40.00S,2024-11-08T01:13:32.3Z,1,REGULAR,foul,personal,['1freethrow'],1629012,,,1610612749,3,6,2024-11-08T01:13:41Z,180000,False,,,0,,C. Sexton shooting personal FOUL (1 PF) (Lillard 1 FT),"[1629012, 203081]",1610612762.0,UTA,shooting,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,1627964.0,1.0,0.0,Lillard,203081.0,,,,,,
20,PT10M40.00S,2024-11-08T01:13:57.1Z,1,REGULAR,freethrow,1 of 1,[],203081,,,1610612749,4,6,2024-11-08T01:13:57Z,200000,False,,,0,,D. Lillard Free Throw 1 of 1 (4 PTS),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
21,PT10M22.00S,2024-11-08T01:14:16.1Z,1,REGULAR,turnover,bad pass,[],1631117,,,1610612762,4,6,2024-11-08T01:14:22Z,210000,False,,,0,,W. Kessler bad pass TURNOVER (1 TO),"[1631117, 1641748]",1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Mid-Range,16-24 Center,,,,,,,1.0,Jackson Jr.,1641748.0,,,,,,,,,,,
22,PT10M22.00S,2024-11-08T01:14:16.1Z,1,REGULAR,steal,,[],1641748,,,1610612749,4,6,2024-11-08T01:14:20Z,220000,False,,,0,,A. Jackson Jr. STEAL (1 STL),[1641748],1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
23,PT10M16.00S,2024-11-08T01:14:21.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641748,93.64323258869908,49.754901960784316,1610612749,6,6,2024-11-08T01:14:31Z,230000,False,-1.0,7.0,1,right,A. Jackson Jr. running DUNK (2 PTS),[1641748],1610612749.0,MIL,running,,,Jackson Jr.,A. Jackson Jr.,,,,,Restricted Area,0-8 Center,0.74,Made,2.0,,,,,,,,,,,,,,,,,
24,PT09M52.00S,2024-11-08T01:14:45.7Z,1,REGULAR,3pt,Jump Shot,[],1629012,24.26084099868594,10.049019607843137,1610612762,6,9,2024-11-08T01:15:04Z,240000,False,200.0,176.0,1,left,C. Sexton 26' 3PT pullup (3 PTS),[1629012],1610612762.0,UTA,pullup,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Right Center,26.6,Made,3.0,,,,,,,,,,,,,,,,,
25,PT09M39.00S,2024-11-08T01:14:59.0Z,1,REGULAR,3pt,Jump Shot,[],203081,74.72076215505913,9.558823529411764,1610612749,6,9,2024-11-08T01:15:29Z,250000,False,-202.0,185.0,1,right,MISS D. Lillard 27' pullup 3PT,[203081],1610612749.0,MIL,pullup,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,27.41,Missed,,,,,,,,,,,,,,,,,,
26,PT09M36.00S,2024-11-08T01:15:02.0Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,6,9,2024-11-08T01:15:09Z,260000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,25.0,1.0,1.0,0.0,,
27,PT09M32.00S,2024-11-08T01:15:09.5Z,1,REGULAR,3pt,Jump Shot,[],1642262,6.258212877792378,96.56862745098039,1610612762,6,9,2024-11-08T01:20:30Z,270000,False,-233.0,6.0,1,left,MISS C. Williams 3PT,[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,Left Corner 3,24+ Left,23.29,Missed,,,,,,,,,,,,,,,,,,
28,PT09M30.00S,2024-11-08T01:15:11.5Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,6,9,2024-11-08T01:20:30Z,280000,False,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,27.0,1.0,1.0,0.0,,
29,PT09M11.00S,2024-11-08T01:15:26.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203507,90.3580814717477,50.73529411764706,1610612749,6,9,2024-11-08T01:15:33Z,290000,False,4.0,38.0,1,right,MISS G. Antetokounmpo turnaround Hook,[203507],1610612749.0,MIL,turnaround,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,3.83,Missed,,,,,,,,,,,,,,,,,,
30,PT09M08.00S,2024-11-08T01:15:29.5Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,6,9,2024-11-08T01:15:33Z,300000,False,,,0,,W. Kessler REBOUND (Off:0 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,29.0,1.0,1.0,0.0,,
31,PT08M49.00S,2024-11-08T01:15:48.9Z,1,REGULAR,3pt,Jump Shot,[],1629012,36.03605453350854,41.93857230392157,1610612762,6,9,2024-11-08T01:16:01Z,310000,False,40.0,286.0,1,left,MISS C. Sexton 28' step back 3PT,[1629012],1610612762.0,UTA,step back,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Center,28.9,Missed,,,,,,,,,,,,,,,,,,
