actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-12-11T00:06:35.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-11T00:06:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-12-11T00:06:38.8Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2024-12-11T00:06:38Z,40000,False,,,0,,Jump Ball B. Lopez vs. G. Bitadze: Tip to G. Antetokounmpo,"[203507, 201572, 1629048]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Bitadze,1629048.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2024-12-11T00:06:52.0Z,1,REGULAR,turnover,lost ball,[],203507,,,1610612749,0,0,2024-12-11T00:06:58Z,70000,False,,,0,,G. Antetokounmpo lost ball TURNOVER (1 TO),"[203507, 1630591]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,1.0,Suggs,1630591.0,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2024-12-11T00:06:52.0Z,1,REGULAR,steal,,[],1630591,,,1610612753,0,0,2024-12-11T00:06:55Z,80000,False,,,0,,J. Suggs STEAL (1 STL),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2024-12-11T00:07:00.4Z,1,REGULAR,turnover,lost ball,[],1641783,,,1610612753,0,0,2024-12-11T00:07:07Z,90000,False,,,0,,T. da Silva lost ball TURNOVER (1 TO),"[1641783, 203081]",1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,Above the Break 3,24+ Left Center,1.0,Lillard,203081.0,,,,,,,,,,,,,,,,,
10,PT11M34.00S,2024-12-11T00:07:00.4Z,1,REGULAR,steal,,[],203081,,,1610612749,0,0,2024-12-11T00:07:03Z,100000,False,,,0,,D. Lillard STEAL (1 STL),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
11,PT11M25.00S,2024-12-11T00:07:09.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203507,8.754927726675426,59.068627450980394,1610612749,0,0,2024-12-11T00:07:14Z,110000,False,-45.0,30.0,1,left,MISS G. Antetokounmpo driving Layup - blocked,"[203507, 1630591]",1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,,5.42,Missed,Suggs,1630591.0,,,,,,,,,,,,,
12,PT11M25.00S,2024-12-11T00:07:09.9Z,1,REGULAR,block,,[],1630591,,,1610612749,0,0,2024-12-11T00:07:13Z,120000,False,,,0,,J. Suggs BLOCK (1 BLK),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M21.00S,2024-12-11T00:07:13.9Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,0,0,2024-12-11T00:07:14Z,130000,False,,,0,,J. Suggs REBOUND (Off:0 Def:1),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,
14,PT11M02.00S,2024-12-11T00:07:33.4Z,1,REGULAR,2pt,Jump Shot,[],1628976,75.77201051248358,43.38235294117647,1610612753,0,2,2024-12-11T00:07:38Z,140000,False,-33.0,175.0,1,right,W. Carter Jr. 17' Jump Shot (2 PTS) (K. Caldwell-Pope 1 AST),"[1628976, 203484]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,16-24 Center,,,,17.83,Made,,,,,,,2.0,K. Caldwell-Pope,203484.0,1.0,,,,,
