actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-01-18T01:12:43.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-18T01:12:43Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-01-18T01:12:47.5Z,1,REGULAR,jumpball,recovered,[],1627751,,,1610612761,0,0,2025-01-18T01:12:47Z,40000,False,,,0,,Jump Ball J. Poeltl vs. B. Lopez: Tip to J. Poeltl,"[1627751, 1627751, 201572]",1610612761.0,TOR,startperiod,J. Poeltl,1627751.0,Poeltl,J. Poeltl,Poeltl,1627751.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2025-01-18T01:12:55.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,7.5722733245729295,50.73529411764706,1610612761,0,0,2025-01-18T01:13:00Z,70000,False,-4.0,19.0,1,left,MISS R. Barrett cutting Layup,[1629628],1610612761.0,TOR,cutting,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,1.91,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2025-01-18T01:12:58.4Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,0,0,2025-01-18T01:13:00Z,80000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M41.00S,2025-01-18T01:13:05.1Z,1,REGULAR,foul,personal,['2freethrow'],1630558,,,1610612749,0,0,2025-01-18T01:13:17Z,90000,False,,,0,,D. Mitchell shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1630558, 203507]",1610612761.0,TOR,shooting,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,,,,201246.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,,
11,PT11M41.00S,2025-01-18T01:13:37.2Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,0,0,2025-01-18T01:13:37Z,110000,False,,,0,,MISS G. Antetokounmpo Free Throw 1 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
12,PT11M41.00S,2025-01-18T01:13:37.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612749,0,0,2025-01-18T01:13:37Z,120000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,
13,PT11M41.00S,2025-01-18T01:13:55.3Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,1,0,2025-01-18T01:13:55Z,130000,False,,,0,,G. Antetokounmpo Free Throw 2 of 2 (1 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
14,PT11M26.00S,2025-01-18T01:14:10.4Z,1,REGULAR,2pt,Jump Shot,[],1630567,12.434296977660972,74.01960784313727,1610612761,1,0,2025-01-18T01:14:16Z,140000,False,-120.0,64.0,1,left,MISS S. Barnes 13' turnaround fadeaway Shot,[1630567],1610612761.0,TOR,turnaround fadeaway,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Left,13.63,Missed,,,,,,,,,,,,,,,,,,
15,PT11M23.00S,2025-01-18T01:14:13.4Z,1,REGULAR,rebound,defensive,[],203081,,,1610612749,1,0,2025-01-18T01:14:16Z,150000,False,,,0,,D. Lillard REBOUND (Off:0 Def:1),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Mid-Range,8-16 Left,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
