actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-11-23T01:11:26.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-23T01:11:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2024-11-23T01:11:32.0Z,1,REGULAR,jumpball,recovered,[],1630169,,,1610612754,0,0,2024-11-23T01:11:32Z,40000,False,,,0,,Jump Ball M. Turner vs. B. Lopez: Tip to T. Haliburton,"[1630169, 1626167, 201572]",1610612754.0,IND,startperiod,T. Haliburton,1630169.0,Haliburton,T. Haliburton,Turner,1626167.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-11-23T01:11:43.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631097,6.964520367936925,45.28186274509804,1610612754,0,0,2024-11-23T01:11:50Z,70000,False,24.0,13.0,1,left,MISS B. Mathurin driving Layup,[1631097],1610612754.0,IND,driving,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,2.69,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2024-11-23T01:11:46.7Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612749,0,0,2024-11-23T01:11:50Z,80000,False,,,0,,T. Prince REBOUND (Off:0 Def:1),[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M25.00S,2024-11-23T01:12:12.5Z,1,REGULAR,3pt,Jump Shot,[],201572,74.85216819973719,8.57843137254902,1610612749,0,0,2024-11-23T01:12:21Z,100000,False,-207.0,184.0,1,right,MISS B. Lopez 27' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Left Center,27.7,Missed,,,,,,,,,,,,,,,,,,
11,PT11M21.00S,2024-11-23T01:12:16.5Z,1,REGULAR,rebound,defensive,[],1631097,,,1610612754,0,0,2024-11-23T01:12:21Z,110000,False,,,0,,B. Mathurin REBOUND (Off:0 Def:1),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Left Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M01.00S,2024-11-23T01:12:41.3Z,1,REGULAR,turnover,lost ball,[],1631097,,,1610612754,0,0,2024-11-23T01:12:55Z,120000,False,,,0,,B. Mathurin lost ball TURNOVER (1 TO),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Mid-Range,8-16 Right,,,,,,,1.0,,,,,,,,,,,,,
13,PT10M42.00S,2024-11-23T01:13:11.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203507,88.25558475689881,50.98039215686274,1610612749,0,0,2024-11-23T01:13:55Z,130000,False,5.0,58.0,1,right,MISS G. Antetokounmpo driving Layup - blocked,"[203507, 1626167]",1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,5.81,Missed,,,,,,Turner,1626167.0,,,,,,,,,,,
14,PT10M42.00S,2024-11-23T01:13:11.5Z,1,REGULAR,block,,[],1626167,,,1610612749,0,0,2024-11-23T01:13:15Z,140000,False,,,0,,M. Turner BLOCK (1 BLK),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT10M37.00S,2024-11-23T01:13:16.5Z,1,REGULAR,rebound,offensive,[],203507,,,1610612749,0,0,2024-11-23T01:13:18Z,150000,False,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:0),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,,,
