actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-02-28T01:06:01.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-28T01:06:01Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2025-02-28T01:06:05.9Z,1,REGULAR,jumpball,recovered,[],203081,,,1610612749,0,0,2025-02-28T01:06:05Z,40000,False,,,0,,Jump Ball B. Lopez vs. N. Jokić: Tip to D. Lillard,"[203081, 201572, 203999]",1610612749.0,MIL,startperiod,D. Lillard,203081.0,Lillard,D. Lillard,Lopez,201572.0,Jokić,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-02-28T01:06:16.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201572,6.258212877792378,50.49019607843137,1610612749,2,0,2025-02-28T01:06:21Z,70000,False,-2.0,6.0,1,left,B. Lopez cutting finger roll Layup (2 PTS) (D. Lillard 1 AST),"[201572, 203081]",1610612749.0,MIL,cutting finger roll,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,0.68,Made,2.0,D. Lillard,203081.0,1.0,,,,,,,,,,,,,,
9,PT11M23.00S,2025-02-28T01:06:38.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,82.34231274638634,42.8921568627451,1610612743,2,2,2025-02-28T01:07:41Z,90000,False,-36.0,113.0,1,right,N. Jokić 11' driving floating Jump Shot (2 PTS) (J. Murray 1 AST),"[203999, 1627750]",1610612743.0,DEN,driving floating,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),8-16 Center,11.89,Made,2.0,J. Murray,1627750.0,1.0,,,,,,,,,,,,,,
10,PT11M05.00S,2025-02-28T01:06:57.7Z,1,REGULAR,3pt,Jump Shot,[],1627752,13.485545335085414,97.05882352941177,1610612749,2,2,2025-02-28T01:07:57Z,100000,False,-235.0,74.0,1,left,MISS T. Prince 24' step back 3PT,[1627752],1610612749.0,MIL,step back,,,Prince,T. Prince,,,,,Left Corner 3,24+ Left,24.68,Missed,,,,,,,,,,,,,,,,,,
11,PT11M03.00S,2025-02-28T01:06:59.7Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,2,2,2025-02-28T01:07:57Z,110000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Left Corner 3,24+ Left,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT10M57.00S,2025-02-28T01:07:04.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629008,71.56701708278581,17.401960784313726,1610612743,2,2,2025-02-28T01:07:11Z,120000,False,-163.0,215.0,1,right,MISS M. Porter Jr. 26' running pullup 3PT,[1629008],1610612743.0,DEN,running pullup,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,26.96,Missed,,,,,,,,,,,,,,,,,,
13,PT10M54.00S,2025-02-28T01:07:07.4Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,2,2,2025-02-28T01:07:11Z,130000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Left Center,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT10M46.00S,2025-02-28T01:07:14.6Z,1,REGULAR,2pt,Jump Shot,[],203507,21.76412614980289,43.872549019607845,1610612749,4,2,2025-02-28T01:08:36Z,140000,False,31.0,152.0,1,left,G. Antetokounmpo 15' pullup Jump Shot (2 PTS),[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,8-16 Center,15.51,Made,2.0,,,,,,,,,,,,,,,,,
15,PT10M25.00S,2025-02-28T01:07:35.5Z,1,REGULAR,3pt,Jump Shot,[],1629008,93.38042049934296,95.58823529411765,1610612743,4,2,2025-02-28T01:07:44Z,150000,False,228.0,10.0,1,right,MISS M. Porter Jr. 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Right Corner 3,24+ Right,22.81,Missed,,,,,,,,,,,,,,,,,,
