actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-04-09T00:10:33.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-09T00:10:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2025-04-09T00:10:37.9Z,1,REGULAR,jumpball,recovered,[],201144,,,1610612750,0,0,2025-04-09T00:10:37Z,40000,False,,,0,,Jump Ball R. Gobert vs. B. Lopez: Tip to M. Conley,"[201144, 203497, 201572]",1610612750.0,MIN,startperiod,M. Conley,201144.0,Conley,M. Conley,Gobert,203497.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2025-04-09T00:10:58.1Z,1,REGULAR,3pt,Jump Shot,[],203944,33.327858081471746,47.549019607843135,1610612750,0,3,2025-04-09T00:11:05Z,70000,False,12.0,261.0,1,left,J. Randle 26' 3PT  (3 PTS) (J. McDaniels 1 AST),"[203944, 1630183]",1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Center,26.11,Made,3.0,J. McDaniels,1630183.0,1.0,,,,,,,,,,,,,,
9,PT11M24.00S,2025-04-09T00:11:12.3Z,1,REGULAR,turnover,out-of-bounds,[],1631157,,,1610612749,0,3,2025-04-09T00:11:22Z,90000,False,,,0,,R. Rollins bad pass out-of-bounds TURNOVER (1 TO),[1631157],1610612749.0,MIL,bad pass,,,Rollins,R. Rollins,,,,,Above the Break 3,24+ Right Center,,,,,,,203593.0,1.0,,,,,,,,,,,,
10,PT11M10.00S,2025-04-09T00:11:29.6Z,1,REGULAR,turnover,bad pass,[],203944,,,1610612750,0,3,2025-04-09T00:11:39Z,100000,False,,,0,,J. Randle bad pass TURNOVER (1 TO),"[203944, 203507]",1610612750.0,MIN,,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,1.0,Antetokounmpo,203507.0,,,,,,,,,,
11,PT11M10.00S,2025-04-09T00:11:29.6Z,1,REGULAR,steal,,[],203507,,,1610612749,0,3,2025-04-09T00:11:32Z,110000,False,,,0,,G. Antetokounmpo STEAL (1 STL),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
12,PT10M48.00S,2025-04-09T00:11:51.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627752,96.13994743758212,96.81372549019608,1610612749,0,3,2025-04-09T00:11:57Z,120000,False,234.0,-16.0,1,right,MISS T. Prince 3PT,[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,Right Corner 3,24+ Right,23.47,Missed,,,,,,,,,,,,,,,,,,
13,PT10M45.00S,2025-04-09T00:11:54.4Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,0,3,2025-04-09T00:11:57Z,130000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Right Corner 3,24+ Right,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,
14,PT10M38.00S,2025-04-09T00:12:01.1Z,1,REGULAR,2pt,Jump Shot,[],1630162,20.893561103810775,33.35631127450981,1610612750,0,5,2025-04-09T00:12:09Z,140000,False,83.0,144.0,1,left,A. Edwards 16' pullup Jump Shot (2 PTS),[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Right Center,16.62,Made,2.0,,,,,,,,,,,,,,,,,
15,PT10M18.00S,2025-04-09T00:12:22.4Z,1,REGULAR,3pt,Jump Shot,[],1628398,67.50985545335085,51.04549632352941,1610612749,0,5,2025-04-09T00:12:30Z,150000,False,5.0,253.0,1,right,MISS K. Kuzma 25' 3PT,[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Center,25.3,Missed,,,,,,,,,,,,,,,,,,
