actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,turnoverTotal,stealPlayerName,stealPersonId,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-09T01:10:07.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-09T01:10:07Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-03-09T01:10:10.9Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2025-03-09T01:10:10Z,40000,False,,,0,,Jump Ball B. Lopez vs. W. Carter Jr.: Tip to G. Antetokounmpo,"[203507, 201572, 1628976]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2025-03-09T01:10:32.2Z,1,REGULAR,3pt,Jump Shot,[],203081,29.38567674113009,77.94117647058823,1610612749,0,0,2025-03-09T01:10:37Z,70000,False,-140.0,224.0,1,left,MISS D. Lillard 26' step back 3PT,[203081],1610612749.0,MIL,step back,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,26.37,Missed,,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2025-03-09T01:10:36.2Z,1,REGULAR,rebound,defensive,[],203484,,,1610612753,0,0,2025-03-09T01:10:37Z,80000,False,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:1),[203484],1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M11.00S,2025-03-09T01:10:55.2Z,1,REGULAR,3pt,Jump Shot,[],1630532,78.79434954007884,91.42156862745098,1610612753,0,0,2025-03-09T01:11:00Z,90000,False,207.0,147.0,1,right,MISS F. Wagner 25' 3PT,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Right Center,25.39,Missed,,,,,,,,,,,,,,,,,,
10,PT11M07.00S,2025-03-09T01:10:59.3Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612749,0,0,2025-03-09T01:10:59Z,100000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Right Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT10M59.00S,2025-03-09T01:11:07.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,6.389618922470433,50.0,1610612749,2,0,2025-03-09T01:11:12Z,110000,False,0.0,8.0,1,left,G. Antetokounmpo driving Layup (2 PTS),[203507],1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,0.76,Made,,,,,2.0,,,,,,,,,,,,,
13,PT10M36.00S,2025-03-09T01:11:30.6Z,1,REGULAR,3pt,Jump Shot,[],1631094,77.7431011826544,92.64705882352942,1610612753,2,3,2025-03-09T01:11:36Z,130000,False,213.0,157.0,1,right,P. Banchero 26' 3PT  (3 PTS) (C. Anthony 1 AST),"[1631094, 1630175]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Right Center,26.46,Made,,,,,3.0,C. Anthony,1630175.0,1.0,,,,,,,,,,
15,PT10M10.00S,2025-03-09T01:12:01.0Z,1,REGULAR,2pt,Jump Shot,[],201572,22.421156373193167,73.2843137254902,1610612749,2,3,2025-03-09T01:39:20Z,150000,False,-116.0,158.0,1,left,MISS B. Lopez 19' fadeaway Shot,[201572],1610612749.0,MIL,fadeaway,,,Lopez,B. Lopez,,,,,Mid-Range,16-24 Left Center,19.65,Missed,,,,,,,,,,,,,,,,,,
16,PT10M09.00S,2025-03-09T01:12:02.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,2,3,2025-03-09T01:13:43Z,160000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Mid-Range,16-24 Left Center,,,15.0,,,,,,,,,,,,,,,,,
