actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-11-21T00:43:19.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-21T00:43:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-11-21T00:43:23.6Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2024-11-21T00:43:23Z,40000,False,,,0,,Jump Ball B. Lopez vs. N. Vučević: Tip to G. Antetokounmpo,"[203507, 201572, 202696]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2024-11-21T00:43:37.3Z,1,REGULAR,foul,offensive,[],1641748,,,1610612749,0,0,2024-11-21T00:43:47Z,70000,False,,,0,,A. Jackson Jr. offensive FOUL (1 PF),"[1641748, 203897]",1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,Mid-Range,16-24 Right Center,2530.0,1.0,0.0,LaVine,203897.0,,,,,,,,,,,,,,,
9,PT11M46.00S,2024-11-21T00:43:37.3Z,1,REGULAR,turnover,offensive foul,[],1641748,,,1610612749,0,0,2024-11-21T00:43:37Z,90000,False,,,0,,A. Jackson Jr. offensive foul TURNOVER (1 TO),[1641748],1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,Mid-Range,16-24 Right Center,2530.0,,,,,1.0,,,,,,,,,,,,,,
10,PT11M38.00S,2024-11-21T00:43:57.5Z,1,REGULAR,foul,offensive,[],1629632,,,1610612741,0,0,2024-11-21T00:44:14Z,100000,False,,,0,,C. White offensive FOUL (1 PF),"[1629632, 1641748]",1610612741.0,CHI,,,,White,C. White,,,,,In The Paint (Non-RA),8-16 Center,2530.0,1.0,0.0,Jackson Jr.,1641748.0,,,,,,,,,,,,,,,
12,PT11M38.00S,2024-11-21T00:43:57.5Z,1,REGULAR,turnover,offensive foul,[],1629632,,,1610612741,0,0,2024-11-21T00:43:57Z,120000,False,,,0,,C. White offensive foul TURNOVER (1 TO),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,In The Paint (Non-RA),8-16 Center,2530.0,,,,,1.0,,,,,,,,,,,,,,
13,PT11M13.00S,2024-11-21T00:44:31.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627752,95.3515111695138,96.32352941176471,1610612749,0,0,2024-11-21T00:44:36Z,130000,False,232.0,-9.0,1,right,MISS T. Prince 3PT,[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,Right Corner 3,24+ Right,,,,,,,23.18,Missed,,,,,,,,,,,,
14,PT11M10.00S,2024-11-21T00:44:34.4Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,0,0,2024-11-21T00:44:36Z,140000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Right Corner 3,24+ Right,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT11M01.00S,2024-11-21T00:44:43.1Z,1,REGULAR,2pt,Jump Shot,[],1629632,22.421156373193167,43.38235294117647,1610612741,0,0,2024-11-21T00:44:48Z,150000,False,33.0,158.0,1,left,MISS C. White 16' step back Shot,[1629632],1610612741.0,CHI,step back,,,White,C. White,,,,,Mid-Range,16-24 Center,,,,,,,16.17,Missed,,,,,,,,,,,,
16,PT10M58.00S,2024-11-21T00:44:46.1Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612749,0,0,2024-11-21T00:44:48Z,160000,False,,,0,,T. Prince REBOUND (Off:0 Def:1),[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,Mid-Range,16-24 Center,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,
17,PT10M49.00S,2024-11-21T00:45:02.8Z,1,REGULAR,3pt,Jump Shot,[],203081,91.98423127463863,95.36611519607843,1610612749,0,0,2024-11-21T00:45:13Z,170000,False,227.0,23.0,1,right,MISS D. Lillard 3PT,[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Right Corner 3,24+ Right,,,,,,,22.79,Missed,,,,,,,,,,,,
18,PT10M49.00S,2024-11-21T00:45:02.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612741,0,0,2024-11-21T00:45:13Z,180000,False,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Right Corner 3,24+ Right,,,,,,,,,17.0,,,,,,,,,,,
20,PT10M32.00S,2024-11-21T00:45:34.7Z,1,REGULAR,3pt,Jump Shot,[],202696,7.30946123521682,96.32352941176471,1610612741,0,0,2024-11-21T00:45:40Z,200000,False,-232.0,16.0,1,left,MISS N. Vučević 3PT,[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Left Corner 3,24+ Left,,,,,,,23.22,Missed,,,,,,,,,,,,
21,PT10M29.00S,2024-11-21T00:45:37.7Z,1,REGULAR,rebound,defensive,[],203081,,,1610612749,0,0,2024-11-21T00:45:40Z,210000,False,,,0,,D. Lillard REBOUND (Off:0 Def:1),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Left Corner 3,24+ Left,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,
