actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-12-05T01:11:16.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-05T01:11:16Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2024-12-05T01:11:19.2Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2024-12-05T01:11:19Z,40000,False,,,0,,Jump Ball B. Lopez vs. C. Capela: Tip to G. Antetokounmpo,"[203507, 201572, 203991]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2024-12-05T01:11:21.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203081,11.251642575558476,47.549019607843135,1610612749,0,0,2024-12-05T01:12:02Z,70000,False,12.0,53.0,1,left,MISS D. Lillard driving finger roll Layup - blocked,"[203081, 1630552]",1610612749.0,MIL,driving finger roll,,,Lillard,D. Lillard,,,,,In The Paint (Non-RA),0-8 Center,5.47,Missed,Johnson,1630552.0,,,,,,,,,,,,,,,,
8,PT11M50.00S,2024-12-05T01:11:21.7Z,1,REGULAR,block,,[],1630552,,,1610612749,0,0,2024-12-05T01:11:25Z,80000,False,,,0,,J. Johnson BLOCK (1 BLK),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M49.00S,2024-12-05T01:11:22.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,0,0,2024-12-05T01:12:02Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,7.0,,,,,,,,,,,,,,,
11,PT11M47.00S,2024-12-05T01:11:37.5Z,1,REGULAR,foul,personal,['2freethrow'],1630700,,,1610612749,0,0,2024-12-05T01:12:14Z,110000,False,,,0,,D. Daniels shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1630700, 203507]",1610612737.0,ATL,shooting,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,,1628172.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,,,
13,PT11M47.00S,2024-12-05T01:12:15.7Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203507,,,1610612749,1,0,2024-12-05T01:12:15Z,130000,False,,,0,,G. Antetokounmpo Free Throw 1 of 2 (1 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,,,,,,,,,1.0,,,,,,,,,
14,PT11M47.00S,2024-12-05T01:12:40.8Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203507,,,1610612749,2,0,2024-12-05T01:12:40Z,140000,False,,,0,,G. Antetokounmpo Free Throw 2 of 2 (2 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,,,,,,,,,2.0,,,,,,,,,
15,PT11M32.00S,2024-12-05T01:12:58.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630700,86.5473061760841,41.66666666666667,1610612737,2,0,2024-12-05T01:13:33Z,150000,False,-42.0,74.0,1,right,MISS D. Daniels 8' turnaround Hook,[1630700],1610612737.0,ATL,turnaround,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),8-16 Center,8.49,Missed,,,,,,,,,,,,,,,,,,
16,PT11M30.00S,2024-12-05T01:13:00.1Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612749,2,0,2024-12-05T01:13:33Z,160000,False,,,0,,T. Prince REBOUND (Off:0 Def:1),[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,In The Paint (Non-RA),8-16 Center,,,,,15.0,,,,,,,1.0,1.0,0.0,,,,,,
