actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
32,PT09M46.00S,2025-01-03T03:09:04.4Z,1,REGULAR,turnover,lost ball,[],1630178,,,1610612755,8,2,2025-01-03T03:09:08Z,320000,False,,,0,,T. Maxey lost ball TURNOVER (1 TO),"[1630178, 201939]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,1.0,Curry,201939.0,,,,,,,,,,,,,,,,,
33,PT09M46.00S,2025-01-03T03:09:04.4Z,1,REGULAR,steal,,[],201939,,,1610612744,8,2,2025-01-03T03:09:06Z,330000,False,,,0,,S. Curry STEAL (1 STL),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
34,PT09M41.00S,2025-01-03T03:09:09.5Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1631218,91.5407358738502,40.68627450980392,1610612744,8,2,2025-01-03T03:13:12Z,340000,False,-47.0,27.0,1,right,MISS T. Jackson-Davis running DUNK - blocked,"[1631218, 203954]",1610612744.0,GSW,running,,,Jackson-Davis,T. Jackson-Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,5.39,Missed,,,,,,Embiid,203954.0,,,,,,,,
35,PT09M41.00S,2025-01-03T03:09:09.5Z,1,REGULAR,block,,[],203954,,,1610612744,8,2,2025-01-03T03:09:12Z,350000,False,,,0,,J. Embiid BLOCK (1 BLK),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
36,PT09M38.00S,2025-01-03T03:09:12.5Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,8,2,2025-01-03T03:09:17Z,360000,False,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,34.0,1.0,1.0,0.0,,,,
37,PT09M31.00S,2025-01-03T03:09:19.7Z,1,REGULAR,3pt,Jump Shot,[],200768,7.835085413929041,94.6078431372549,1610612755,8,2,2025-01-03T03:09:25Z,370000,False,-223.0,21.0,1,left,MISS K. Lowry 3PT,[200768],1610612755.0,PHI,,,,Lowry,K. Lowry,,,,,Left Corner 3,24+ Left,,,,22.4,Missed,,,,,,,,,,,,,,,
38,PT09M27.00S,2025-01-03T03:09:23.7Z,1,REGULAR,rebound,defensive,[],203471,,,1610612744,8,2,2025-01-03T03:09:25Z,380000,False,,,0,,D. Schröder REBOUND (Off:0 Def:1),[203471],1610612744.0,GSW,,,,Schröder,D. Schröder,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,37.0,1.0,1.0,0.0,,,,
39,PT09M23.00S,2025-01-03T03:09:27.7Z,1,REGULAR,turnover,bad pass,[],201939,,,1610612744,8,2,2025-01-03T03:18:07Z,390000,False,,,0,,S. Curry bad pass TURNOVER (1 TO),"[201939, 1630178]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,Mid-Range,8-16 Center,1.0,Maxey,1630178.0,,,,,,,,,,,,,,,,,
40,PT09M23.00S,2025-01-03T03:09:27.7Z,1,REGULAR,steal,,[],1630178,,,1610612755,8,2,2025-01-03T03:46:14Z,400000,False,,,0,,T. Maxey STEAL (2 STL),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
41,PT09M15.00S,2025-01-03T03:09:35.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202331,8.623521681997373,55.63725490196079,1610612755,8,4,2025-01-03T03:14:55Z,410000,False,-28.0,29.0,1,left,P. George driving Layup (2 PTS) (T. Maxey 1 AST),"[202331, 1630178]",1610612755.0,PHI,driving,,,George,P. George,,,,,Restricted Area,0-8 Center,,,,4.02,Made,2.0,T. Maxey,1630178.0,1.0,,,,,,,,,,,
