actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-26T03:11:19.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-26T03:11:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2024-11-26T03:11:24.8Z,1,REGULAR,jumpball,recovered,[],203471,,,1610612751,0,0,2024-11-26T03:11:24Z,40000,False,,,0,,Jump Ball Z. Williams vs. T. Jackson-Davis: Tip to D. Schröder,"[203471, 1630533, 1631218]",1610612751.0,BKN,startperiod,D. Schröder,203471.0,Schröder,D. Schröder,Williams,1630533.0,Jackson-Davis,1631218.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2024-11-26T03:11:39.5Z,1,REGULAR,3pt,Jump Shot,[],1630592,67.06636005256242,52.69607843137255,1610612751,0,0,2024-11-26T03:12:19Z,80000,False,13.0,257.0,1,right,MISS J. Wilson 25' 3PT,[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,Above the Break 3,24+ Center,25.75,Missed,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2024-11-26T03:11:42.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612744,0,0,2024-11-26T03:13:42Z,90000,False,,,0,,TEAM defensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,Above the Break 3,24+ Center,,,8.0,,,,,,,,,,,,,,,,,
11,PT11M19.00S,2024-11-26T03:12:20.0Z,1,REGULAR,turnover,out-of-bounds,[],203110,,,1610612744,0,0,2024-11-26T03:13:31Z,110000,False,,,0,,D. Green bad pass out-of-bounds TURNOVER (1 TO),[203110],1610612744.0,GSW,bad pass,,,Green,D. Green,,,,,Above the Break 3,24+ Right Center,,,,200834.0,1.0,,,,,,,,,,,,,,,
12,PT11M04.00S,2024-11-26T03:12:36.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629661,94.13600525624179,4.901960784313729,1610612751,0,3,2024-11-26T03:12:43Z,120000,False,-225.0,3.0,1,right,C. Johnson 3PT  (3 PTS) (C. Thomas 1 AST),"[1629661, 1630560]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Left Corner 3,24+ Left,22.55,Made,,,,3.0,C. Thomas,1630560.0,1.0,,,,,,,,,,,
14,PT10M49.00S,2024-11-26T03:12:51.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630322,5.436925098554539,43.38235294117647,1610612744,2,3,2024-11-26T03:12:55Z,140000,False,33.0,-1.0,1,left,L. Waters III driving Layup (2 PTS) (D. Green 1 AST),"[1630322, 203110]",1610612744.0,GSW,driving,,,Waters III,L. Waters III,,,,,Restricted Area,0-8 Center,3.31,Made,,,,2.0,D. Green,203110.0,1.0,,,,,,,,,,,
16,PT10M37.00S,2024-11-26T03:13:03.4Z,1,REGULAR,3pt,Jump Shot,[],1630560,96.10709592641261,3.4313725490196134,1610612751,2,6,2024-11-26T03:16:15Z,160000,False,-233.0,-16.0,1,right,C. Thomas 3PT step back (3 PTS),[1630560],1610612751.0,BKN,step back,,,Thomas,C. Thomas,,,,,Left Corner 3,24+ Left,23.33,Made,,,,3.0,,,,,,,,,,,,,,
17,PT10M27.00S,2024-11-26T03:13:14.4Z,1,REGULAR,turnover,bad pass,[],201939,,,1610612744,2,6,2024-11-26T03:13:17Z,170000,False,,,0,,S. Curry bad pass TURNOVER (1 TO),"[201939, 1629661]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,Mid-Range,8-16 Center,,,,,1.0,,,,,Johnson,1629661.0,,,,,,,,,
18,PT10M27.00S,2024-11-26T03:13:14.4Z,1,REGULAR,steal,,[],1629661,,,1610612751,2,6,2024-11-26T03:13:16Z,180000,False,,,0,,C. Johnson STEAL (1 STL),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
