actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-03-11T02:10:25.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-11T02:10:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-03-11T02:10:35.5Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2025-03-11T02:10:35Z,40000,False,,,0,,Jump Ball Q. Post vs. D. Clingan: Tip to D. Green,"[203110, 1642366, 1642270]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Post,1642366.0,Clingan,1642270.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2025-03-11T02:10:59.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1642366,12.565703022339028,48.28431372549019,1610612744,0,0,2025-03-11T02:11:04Z,70000,False,9.0,66.0,1,left,MISS Q. Post 6' Hook - blocked,"[1642366, 1642270]",1610612744.0,GSW,,,,Post,Q. Post,,,,,In The Paint (Non-RA),0-8 Center,6.62,Missed,Clingan,1642270.0,,,,,,,,,,,,,,,,
8,PT11M34.00S,2025-03-11T02:10:59.0Z,1,REGULAR,block,,[],1642270,,,1610612744,0,0,2025-03-11T02:11:01Z,80000,False,,,0,,D. Clingan BLOCK (1 BLK),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M31.00S,2025-03-11T02:11:02.0Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,0,0,2025-03-11T02:11:04Z,90000,False,,,0,,D. Clingan REBOUND (Off:0 Def:1),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,In The Paint (Non-RA),0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M28.00S,2025-03-11T02:11:05.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631101,70.90998685939553,80.88235294117648,1610612757,0,0,2025-03-11T02:11:12Z,100000,False,154.0,221.0,1,right,MISS S. Sharpe 26' running 3PT,[1631101],1610612757.0,POR,running,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Right Center,26.95,Missed,,,,,,,,,,,,,,,,,,
11,PT11M26.00S,2025-03-11T02:11:07.4Z,1,REGULAR,rebound,defensive,[],202710,,,1610612744,0,0,2025-03-11T02:11:12Z,110000,False,,,0,,J. Butler III REBOUND (Off:0 Def:1),[202710],1610612744.0,GSW,,,,Butler III,J. Butler III,,,,,Above the Break 3,24+ Right Center,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
12,PT11M09.00S,2025-03-11T02:11:24.5Z,1,REGULAR,2pt,Jump Shot,[],201939,4.862023653088042,91.93474264705883,1610612744,0,0,2025-03-11T02:11:36Z,120000,False,-210.0,-7.0,1,left,MISS S. Curry 20' Jump Shot,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Mid-Range,16-24 Left,20.98,Missed,,,,,,,,,,,,,,,,,,
13,PT11M05.00S,2025-03-11T02:11:28.5Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612757,0,0,2025-03-11T02:11:29Z,130000,False,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Left Corner 3,24+ Left,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,
14,PT11M00.00S,2025-03-11T02:11:34.3Z,1,REGULAR,3pt,Jump Shot,[],1630166,67.23061760840999,59.80392156862745,1610612757,0,3,2025-03-11T02:11:40Z,140000,False,49.0,256.0,1,right,D. Avdija 26' 3PT  (3 PTS) (S. Sharpe 1 AST),"[1630166, 1631101]",1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Center,26.02,Made,,,,,,,3.0,S. Sharpe,1631101.0,1.0,,,,,,,,
16,PT10M43.00S,2025-03-11T02:11:50.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203110,8.229303547963205,55.88235294117647,1610612744,0,3,2025-03-11T02:12:09Z,160000,False,-29.0,25.0,1,left,MISS D. Green cutting finger roll Layup,[203110],1610612744.0,GSW,cutting finger roll,,,Green,D. Green,,,,,Restricted Area,0-8 Center,3.85,Missed,,,,,,,,,,,,,,,,,,
17,PT10M41.00S,2025-03-11T02:11:52.3Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612757,0,3,2025-03-11T02:11:54Z,170000,False,,,0,,D. Avdija REBOUND (Off:0 Def:2),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,,,16.0,2.0,2.0,0.0,,,,,,,,,,,,
18,PT10M34.00S,2025-03-11T02:11:59.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629014,84.31340341655716,50.73529411764706,1610612757,0,5,2025-03-11T02:12:03Z,180000,False,4.0,95.0,1,right,A. Simons 9' driving floating Jump Shot (2 PTS),[1629014],1610612757.0,POR,driving floating,,,Simons,A. Simons,,,,,In The Paint (Non-RA),8-16 Center,9.51,Made,,,,,,,2.0,,,,,,,,,,,
19,PT10M18.00S,2025-03-11T02:12:16.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1642366,7.440867279894875,40.68627450980392,1610612744,0,5,2025-03-11T02:13:04Z,190000,False,47.0,17.0,1,left,MISS Q. Post driving Hook - blocked,"[1642366, 1642270]",1610612744.0,GSW,driving,,,Post,Q. Post,,,,,In The Paint (Non-RA),0-8 Center,4.97,Missed,Clingan,1642270.0,,,,,,,,,,,,,,,,
20,PT10M18.00S,2025-03-11T02:12:16.6Z,1,REGULAR,block,,[],1642270,,,1610612744,0,5,2025-03-11T02:12:18Z,200000,False,,,0,,D. Clingan BLOCK (2 BLK),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
21,PT10M15.00S,2025-03-11T02:12:19.6Z,1,REGULAR,rebound,defensive,[],1631101,,,1610612757,0,5,2025-03-11T02:13:04Z,210000,False,,,0,,S. Sharpe REBOUND (Off:0 Def:1),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,In The Paint (Non-RA),0-8 Center,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,
22,PT10M08.00S,2025-03-11T02:12:24.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630166,93.38042049934296,54.166666666666664,1610612757,0,7,2025-03-11T02:12:32Z,220000,False,21.0,10.0,1,right,D. Avdija running reverse Layup (5 PTS) (S. Sharpe 2 AST),"[1630166, 1631101]",1610612757.0,POR,running reverse,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,2.3,Made,,,,,,,5.0,S. Sharpe,1631101.0,2.0,,,,,,,,
24,PT09M57.00S,2025-03-11T02:12:36.0Z,1,REGULAR,3pt,Jump Shot,[],1642366,22.683968462549277,90.19607843137256,1610612744,3,7,2025-03-11T02:12:40Z,240000,False,-201.0,161.0,1,left,Q. Post 25' 3PT  (3 PTS) (J. Butler III 1 AST),"[1642366, 202710]",1610612744.0,GSW,,,,Post,Q. Post,,,,,Above the Break 3,24+ Left Center,25.73,Made,,,,,,,3.0,J. Butler III,202710.0,1.0,,,,,,,,
26,PT09M32.00S,2025-03-11T02:13:01.7Z,1,REGULAR,3pt,Jump Shot,[],1641739,70.64717477003943,18.137254901960784,1610612757,3,7,2025-03-11T02:13:07Z,260000,False,-159.0,223.0,1,right,MISS T. Camara 27' 3PT,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Left Center,27.44,Missed,,,,,,,,,,,,,,,,,,
27,PT09M27.00S,2025-03-11T02:13:06.7Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,3,7,2025-03-11T02:13:07Z,270000,False,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,
28,PT09M24.00S,2025-03-11T02:13:12.3Z,1,REGULAR,foul,personal,['2freethrow'],1641739,,,1610612744,3,7,2025-03-11T02:13:23Z,280000,False,,,0,,T. Camara shooting personal FOUL (1 PF) (Butler III 2 FT),"[1641739, 202710]",1610612757.0,POR,shooting,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,203591.0,1.0,0.0,Butler III,202710.0,,,
30,PT09M24.00S,2025-03-11T02:13:39.4Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],202710,,,1610612744,4,7,2025-03-11T02:13:39Z,300000,False,,,0,,J. Butler III Free Throw 1 of 2 (1 PTS),[202710],1610612744.0,GSW,,,,Butler III,J. Butler III,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
31,PT09M24.00S,2025-03-11T02:13:55.1Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],202710,,,1610612744,5,7,2025-03-11T02:13:55Z,310000,False,,,0,,J. Butler III Free Throw 2 of 2 (2 PTS),[202710],1610612744.0,GSW,,,,Butler III,J. Butler III,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
32,PT09M16.00S,2025-03-11T02:14:08.5Z,1,REGULAR,2pt,Jump Shot,[],1629014,82.34231274638634,31.862745098039213,1610612757,5,7,2025-03-11T02:14:12Z,320000,False,-91.0,113.0,1,right,MISS A. Simons 14' pullup Shot,[1629014],1610612757.0,POR,pullup,,,Simons,A. Simons,,,,,Mid-Range,8-16 Left,14.53,Missed,,,,,,,,,,,,,,,,,,
33,PT09M12.00S,2025-03-11T02:14:11.8Z,1,REGULAR,rebound,offensive,[],1642270,,,1610612757,5,7,2025-03-11T02:14:11Z,330000,False,,,0,,D. Clingan REBOUND (Off:1 Def:1),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Mid-Range,8-16 Left,,,,,32.0,2.0,1.0,1.0,,,,,,,,,,,,
