actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-10-30T02:05:37.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-10-30T02:05:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-10-30T02:05:40.0Z,1,REGULAR,jumpball,recovered,[],1641764,,,1610612744,0,0,2024-10-30T02:05:40Z,40000,False,,,0,,Jump Ball T. Jackson-Davis vs. D. Theis: Tip to B. Podziemski,"[1641764, 1631218, 1628464]",1610612744.0,GSW,startperiod,B. Podziemski,1641764.0,Podziemski,B. Podziemski,Jackson-Davis,1631218.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2024-10-30T02:05:53.5Z,1,REGULAR,3pt,Jump Shot,[],1630541,30.831143232588698,19.11764705882353,1610612744,3,0,2024-10-30T02:06:01Z,70000,False,154.0,237.0,1,left,M. Moody 28' 3PT  (3 PTS) (B. Podziemski 1 AST),"[1630541, 1641764]",1610612744.0,GSW,,,,Moody,M. Moody,,,,,Above the Break 3,24+ Right Center,28.31,Made,3.0,B. Podziemski,1641764.0,1.0,,,,,,,,,,,,,,
9,PT11M20.00S,2024-10-30T02:06:15.4Z,1,REGULAR,2pt,Jump Shot,[],1627742,91.01511169513797,27.941176470588236,1610612740,3,2,2024-10-30T02:07:31Z,90000,False,-110.0,32.0,1,right,B. Ingram 11' turnaround Jump Shot (2 PTS),[1627742],1610612740.0,NOP,turnaround,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Left,11.48,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M08.00S,2024-10-30T02:06:28.2Z,1,REGULAR,3pt,Jump Shot,[],203110,5.601182654402102,94.36274509803921,1610612744,3,2,2024-10-30T02:06:43Z,100000,False,-222.0,0.0,1,left,MISS D. Green 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Left Corner 3,24+ Left,22.18,Missed,,,,,,,,,,,,,,,,,,
11,PT11M08.00S,2024-10-30T02:06:28.2Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,3,2,2024-10-30T02:06:43Z,110000,False,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Left Corner 3,24+ Left,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT10M44.00S,2024-10-30T02:06:52.5Z,1,REGULAR,2pt,Jump Shot,[],1627742,77.34888304862024,39.705882352941174,1610612740,3,2,2024-10-30T02:09:00Z,120000,False,-51.0,160.0,1,right,MISS B. Ingram 16' pullup Shot - blocked,"[1627742, 1630541]",1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Center,16.85,Missed,,,,,,,,,Moody,1630541.0,,,,,,,,
13,PT10M44.00S,2024-10-30T02:06:52.5Z,1,REGULAR,block,,[],1630541,,,1610612740,3,2,2024-10-30T02:15:58Z,130000,False,,,0,,M. Moody BLOCK (1 BLK),[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
14,PT10M43.00S,2024-10-30T02:06:53.5Z,1,REGULAR,rebound,offensive,[],203468,,,1610612740,3,2,2024-10-30T02:07:11Z,140000,False,,,0,,C. McCollum REBOUND (Off:1 Def:0),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Mid-Range,16-24 Center,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,,,
15,PT10M43.00S,2024-10-30T02:07:01.8Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612740,3,2,2024-10-30T02:07:31Z,150000,False,,,0,,NOP shot clock Team TURNOVER,[],1610612740.0,NOP,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,200834.0,,,,,,,
