actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-26T01:41:17.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-26T01:41:17Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-26T01:41:19.9Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2025-01-26T01:41:19Z,40000,False,,,0,,Jump Ball A. Davis vs. T. Jackson-Davis: Tip to L. James,"[2544, 203076, 1631218]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Davis,203076.0,Jackson-Davis,1631218.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-01-26T01:41:33.5Z,1,REGULAR,3pt,Jump Shot,[],1627827,2.578843626806833,96.07843137254902,1610612747,0,3,2025-01-26T01:41:38Z,70000,False,-230.0,-28.0,1,left,D. Finney-Smith 3PT  (3 PTS) (A. Reaves 1 AST),"[1627827, 1630559]",1610612747.0,LAL,,,,Finney-Smith,D. Finney-Smith,,,,,Left Corner 3,24+ Left,23.21,Made,3.0,A. Reaves,1630559.0,1.0,,,,,,,,,,,,,,
9,PT11M21.00S,2025-01-26T01:41:55.0Z,1,REGULAR,3pt,Jump Shot,[],203952,91.27792378449409,4.411764705882353,1610612744,0,3,2025-01-26T01:42:01Z,90000,False,-228.0,29.0,1,right,MISS A. Wiggins 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Left Corner 3,24+ Left,22.98,Missed,,,,,,,,,,,,,,,,,,
10,PT11M17.00S,2025-01-26T01:41:59.0Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,0,3,2025-01-26T01:42:01Z,100000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Left Corner 3,24+ Left,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M05.00S,2025-01-26T01:42:11.9Z,1,REGULAR,foul,personal,['2freethrow'],1631218,,,1610612747,0,3,2025-01-26T01:42:20Z,110000,False,,,0,,T. Jackson-Davis shooting personal FOUL (1 PF) (Davis 2 FT),"[1631218, 203076]",1610612744.0,GSW,shooting,,,Jackson-Davis,T. Jackson-Davis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,202056.0,1.0,0.0,Davis,203076.0,,,,,
13,PT11M05.00S,2025-01-26T01:43:02.2Z,1,REGULAR,freethrow,1 of 2,[],203076,,,1610612747,0,4,2025-01-26T01:43:02Z,130000,False,,,0,,A. Davis Free Throw 1 of 2 (1 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
14,PT11M05.00S,2025-01-26T01:43:17.7Z,1,REGULAR,freethrow,2 of 2,[],203076,,,1610612747,0,5,2025-01-26T01:43:17Z,140000,False,,,0,,A. Davis Free Throw 2 of 2 (2 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
15,PT10M46.00S,2025-01-26T01:43:36.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,91.80354796320631,45.83333333333333,1610612744,0,5,2025-01-26T01:43:39Z,150000,False,-21.0,25.0,1,right,MISS A. Wiggins driving Layup,[203952],1610612744.0,GSW,driving,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,3.21,Missed,,,,,,,,,,,,,,,,,,
16,PT10M44.00S,2025-01-26T01:43:38.2Z,1,REGULAR,rebound,offensive,[],1631218,,,1610612744,0,5,2025-01-26T01:43:38Z,160000,False,,,0,,T. Jackson-Davis REBOUND (Off:1 Def:0),[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,Restricted Area,0-8 Center,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,
