actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-04-10T02:11:16.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-10T02:11:16Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-04-10T02:11:18.9Z,1,REGULAR,jumpball,recovered,[],201939,,,1610612744,0,0,2025-04-10T02:11:18Z,40000,False,,,0,,Jump Ball D. Green vs. B. Biyombo: Tip to S. Curry,"[201939, 203110, 202687]",1610612744.0,GSW,startperiod,S. Curry,201939.0,Curry,S. Curry,Green,203110.0,Biyombo,202687.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-04-10T02:11:38.0Z,1,REGULAR,foul,personal,[],1642264,,,1610612744,0,0,2025-04-10T02:11:45Z,70000,False,,,0,,S. Castle personal FOUL (1 PF),"[1642264, 201939]",1610612759.0,SAS,,,,Castle,S. Castle,,,,,Mid-Range,16-24 Left Center,1628480.0,1.0,0.0,Curry,201939.0,,,,,,,,,,,,,,,
9,PT11M29.00S,2025-04-10T02:12:02.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,5.206964520367937,56.86274509803921,1610612744,2,0,2025-04-10T02:12:08Z,90000,False,-34.0,-4.0,1,left,J. Butler III driving reverse Layup (2 PTS) (D. Green 1 AST),"[202710, 203110]",1610612744.0,GSW,driving reverse,,,Butler III,J. Butler III,,,,,Restricted Area,0-8 Center,,,,,,3.45,Made,2.0,D. Green,203110.0,1.0,,,,,,,,,
11,PT11M02.00S,2025-04-10T02:12:28.7Z,1,REGULAR,3pt,Jump Shot,[],1642264,90.22667542706965,94.36274509803921,1610612759,2,0,2025-04-10T02:12:34Z,110000,False,222.0,39.0,1,right,MISS S. Castle 3PT,[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,Right Corner 3,24+ Right,,,,,,22.53,Missed,,,,,,,,,,,,,
12,PT11M00.00S,2025-04-10T02:12:30.7Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,2,0,2025-04-10T02:12:34Z,120000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,
13,PT10M43.00S,2025-04-10T02:12:48.1Z,1,REGULAR,3pt,Jump Shot,[],1630541,9.806176084099869,96.07843137254902,1610612744,2,0,2025-04-10T02:12:53Z,130000,False,-230.0,40.0,1,left,MISS M. Moody 3PT,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,Left Corner 3,24+ Left,,,,,,23.38,Missed,,,,,,,,,,,,,
14,PT10M41.00S,2025-04-10T02:12:50.1Z,1,REGULAR,rebound,offensive,[],201939,,,1610612744,2,0,2025-04-10T02:12:53Z,140000,False,,,0,,S. Curry REBOUND (Off:1 Def:0),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,13.0,1.0,0.0,1.0,,,,,
15,PT10M34.00S,2025-04-10T02:12:57.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",201939,16.63929040735874,55.88235294117647,1610612744,4,0,2025-04-10T02:13:31Z,150000,False,-29.0,104.0,1,left,S. Curry 10' step back Jump Shot (2 PTS) (D. Green 2 AST),"[201939, 203110]",1610612744.0,GSW,step back,,,Curry,S. Curry,,,,,In The Paint (Non-RA),8-16 Center,,,,,,10.8,Made,2.0,D. Green,203110.0,2.0,,,,,,,,,
17,PT10M15.00S,2025-04-10T02:13:16.1Z,1,REGULAR,turnover,bad pass,[],1630170,,,1610612759,4,0,2025-04-10T02:13:22Z,170000,False,,,0,,D. Vassell bad pass TURNOVER (1 TO),"[1630170, 201939]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1.0,Curry,201939.0,,
