actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-12-09T01:41:00.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-09T01:41:00Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-12-09T01:41:02.6Z,1,REGULAR,jumpball,recovered,[],1630228,,,1610612744,0,0,2024-12-09T01:41:02Z,40000,False,,,0,,Jump Ball D. Green vs. R. Gobert: Tip to J. Kuminga,"[1630228, 203110, 203497]",1610612744.0,GSW,startperiod,J. Kuminga,1630228.0,Kuminga,J. Kuminga,Green,203110.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-12-09T01:41:15.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630228,10.38107752956636,42.19132965686275,1610612744,2,0,2024-12-09T01:41:22Z,70000,False,39.0,45.0,1,left,J. Kuminga driving finger roll Layup (2 PTS) (D. Green 1 AST),"[1630228, 203110]",1610612744.0,GSW,driving finger roll,,,Kuminga,J. Kuminga,,,,,In The Paint (Non-RA),0-8 Center,5.96,Made,2.0,D. Green,203110.0,1.0,,,,,,,,,,,,,,
9,PT11M30.00S,2024-12-09T01:41:29.8Z,1,REGULAR,3pt,Jump Shot,[],201144,69.72733245729303,12.990196078431374,1610612750,2,3,2024-12-09T01:41:42Z,90000,False,-185.0,232.0,1,right,M. Conley 29' 3PT pullup (3 PTS) (R. Gobert 1 AST),"[201144, 203497]",1610612750.0,MIN,pullup,,,Conley,M. Conley,,,,,Above the Break 3,24+ Left Center,29.68,Made,3.0,R. Gobert,203497.0,1.0,,,,,,,,,,,,,,
11,PT11M21.00S,2024-12-09T01:41:38.9Z,1,REGULAR,turnover,bad pass,[],203110,,,1610612744,2,3,2024-12-09T01:41:44Z,110000,False,,,0,,D. Green bad pass TURNOVER (1 TO),"[203110, 1630183]",1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Center,,,,,,,1.0,McDaniels,1630183.0,,,,,,,,,,,
12,PT11M21.00S,2024-12-09T01:41:38.9Z,1,REGULAR,steal,,[],1630183,,,1610612750,2,3,2024-12-09T01:41:42Z,120000,False,,,0,,J. McDaniels STEAL (1 STL),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
13,PT11M07.00S,2024-12-09T01:41:52.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201144,68.01905387647832,70.34313725490196,1610612750,2,3,2024-12-09T01:41:56Z,130000,False,102.0,248.0,1,right,MISS M. Conley 26' 3PT,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,Above the Break 3,24+ Right Center,26.81,Missed,,,,,,,,,,,,,,,,,,
14,PT11M05.00S,2024-12-09T01:41:54.6Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,2,3,2024-12-09T01:41:56Z,140000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,
15,PT10M57.00S,2024-12-09T01:42:03.3Z,1,REGULAR,3pt,Jump Shot,[],203110,32.933639947437584,59.80392156862745,1610612744,2,3,2024-12-09T01:42:07Z,150000,False,-49.0,257.0,1,left,MISS D. Green 26' 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Center,26.17,Missed,,,,,,,,,,,,,,,,,,
16,PT10M54.00S,2024-12-09T01:42:06.3Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,2,3,2024-12-09T01:42:07Z,160000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Center,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,
