actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-12-24T03:11:54.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-24T03:11:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2024-12-24T03:11:57.8Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2024-12-24T03:11:57Z,40000,False,,,0,,Jump Ball T. Jackson-Davis vs. M. Turner: Tip to D. Green,"[203110, 1631218, 1626167]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Jackson-Davis,1631218.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2024-12-24T03:12:06.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203471,7.178055190538765,44.11764705882353,1610612744,0,0,2024-12-24T03:12:35Z,70000,False,29.0,15.0,1,left,MISS D. Schröder driving finger roll Layup - blocked,"[203471, 1626167]",1610612744.0,GSW,driving finger roll,,,Schröder,D. Schröder,,,,,Restricted Area,0-8 Center,3.3,Missed,Turner,1626167.0,,,,,,,,,,,,,,,,
8,PT11M48.00S,2024-12-24T03:12:06.5Z,1,REGULAR,block,,[],1626167,,,1610612744,0,0,2024-12-24T03:12:08Z,80000,False,,,0,,M. Turner BLOCK (1 BLK),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M44.00S,2024-12-24T03:12:10.5Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,0,0,2024-12-24T03:14:13Z,90000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M42.00S,2024-12-24T03:12:12.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629614,91.01511169513797,55.63725490196079,1610612754,0,0,2024-12-24T03:12:19Z,100000,False,28.0,32.0,1,right,MISS A. Nembhard running Layup - blocked,"[1629614, 1631218]",1610612754.0,IND,running,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,4.27,Missed,Jackson-Davis,1631218.0,,,,,,,,,,,,,,,,
11,PT11M42.00S,2024-12-24T03:12:12.1Z,1,REGULAR,block,,[],1631218,,,1610612754,0,0,2024-12-24T03:12:14Z,110000,False,,,0,,T. Jackson-Davis BLOCK (1 BLK),[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M39.00S,2024-12-24T03:12:15.1Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,0,0,2024-12-24T03:12:19Z,120000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Restricted Area,0-8 Center,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
13,PT11M33.00S,2024-12-24T03:12:20.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203471,7.703679369250986,45.34313725490196,1610612744,2,0,2024-12-24T03:22:53Z,130000,False,23.0,20.0,1,left,D. Schröder driving finger roll Layup (2 PTS),[203471],1610612744.0,GSW,driving finger roll,,,Schröder,D. Schröder,,,,,Restricted Area,0-8 Center,3.06,Made,,,,,,,2.0,,,,,,,,,,,
15,PT11M13.00S,2024-12-24T03:12:40.1Z,1,REGULAR,2pt,Jump Shot,[],1631097,75.77201051248358,43.38235294117647,1610612754,2,2,2024-12-24T03:12:47Z,150000,False,-33.0,175.0,1,right,B. Mathurin 17' pullup Jump Shot (2 PTS) (M. Turner 1 AST),"[1631097, 1626167]",1610612754.0,IND,pullup,,,Mathurin,B. Mathurin,,,,,Mid-Range,16-24 Center,17.83,Made,,,,,,,2.0,M. Turner,1626167.0,1.0,,,,,,,,
17,PT10M59.00S,2024-12-24T03:12:54.7Z,1,REGULAR,3pt,Jump Shot,[],203110,12.040078843626807,4.411764705882353,1610612744,5,2,2024-12-24T03:12:58Z,170000,False,228.0,61.0,1,left,D. Green 3PT  (3 PTS) (T. Jackson-Davis 1 AST),"[203110, 1631218]",1610612744.0,GSW,,,,Green,D. Green,,,,,Right Corner 3,24+ Right,23.58,Made,,,,,,,3.0,T. Jackson-Davis,1631218.0,1.0,,,,,,,,
19,PT10M33.00S,2024-12-24T03:13:20.7Z,1,REGULAR,2pt,Jump Shot,[],1626167,82.21090670170827,26.225490196078432,1610612754,5,4,2024-12-24T03:13:29Z,190000,False,-119.0,115.0,1,right,M. Turner 16' turnaround fadeaway Jump Shot (2 PTS),[1626167],1610612754.0,IND,turnaround fadeaway,,,Turner,M. Turner,,,,,Mid-Range,16-24 Left Center,16.52,Made,,,,,,,2.0,,,,,,,,,,,
20,PT10M20.00S,2024-12-24T03:13:35.1Z,1,REGULAR,turnover,bad pass,[],203952,,,1610612744,5,4,2024-12-24T03:14:39Z,200000,False,,,0,,A. Wiggins bad pass TURNOVER (1 TO),"[203952, 1630169]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,1.0,Haliburton,1630169.0,,,,,
21,PT10M20.00S,2024-12-24T03:13:35.1Z,1,REGULAR,steal,,[],1630169,,,1610612754,5,4,2024-12-24T03:24:40Z,210000,False,,,0,,T. Haliburton STEAL (1 STL),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
22,PT10M14.00S,2024-12-24T03:13:42.0Z,1,REGULAR,foul,personal,['2freethrow'],201939,,,1610612754,5,4,2024-12-24T03:13:53Z,220000,False,,,0,,S. Curry shooting personal FOUL (1 PF) (Mathurin 2 FT),"[201939, 1631097]",1610612744.0,GSW,shooting,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,202056.0,1.0,0.0,Mathurin,1631097.0
24,PT10M14.00S,2024-12-24T03:14:07.3Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1631097,,,1610612754,5,5,2024-12-24T03:14:29Z,240000,False,,,0,,B. Mathurin Free Throw 1 of 2 (3 PTS),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
25,PT10M14.00S,2024-12-24T03:14:07.3Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1631097,,,1610612754,5,5,2024-12-24T03:14:29Z,250000,False,,,0,,MISS B. Mathurin Free Throw 2 of 2,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
26,PT10M12.00S,2024-12-24T03:14:09.3Z,1,REGULAR,rebound,defensive,[],1631218,,,1610612744,5,5,2024-12-24T03:14:29Z,260000,False,,,0,,T. Jackson-Davis REBOUND (Off:0 Def:1),[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,
27,PT09M58.00S,2024-12-24T03:14:41.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631218,9.280551905387648,51.9607843137255,1610612744,7,5,2024-12-24T03:14:45Z,270000,False,-10.0,35.0,1,left,T. Jackson-Davis cutting DUNK (2 PTS) (S. Curry 1 AST),"[1631218, 201939]",1610612744.0,GSW,cutting,,,Jackson-Davis,T. Jackson-Davis,,,,,Restricted Area,0-8 Center,3.61,Made,,,,,,,2.0,S. Curry,201939.0,1.0,,,,,,,,
29,PT09M46.00S,2024-12-24T03:14:54.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626167,81.47174770039422,51.90716911764706,1610612754,7,5,2024-12-24T03:15:02Z,290000,False,10.0,122.0,1,right,MISS M. Turner 12' floating Shot,[1626167],1610612754.0,IND,floating,,,Turner,M. Turner,,,,,In The Paint (Non-RA),8-16 Center,12.21,Missed,,,,,,,,,,,,,,,,,,
30,PT09M43.00S,2024-12-24T03:14:57.1Z,1,REGULAR,rebound,defensive,[],1631218,,,1610612744,7,5,2024-12-24T03:15:02Z,300000,False,,,0,,T. Jackson-Davis REBOUND (Off:0 Def:2),[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,In The Paint (Non-RA),8-16 Center,,,,,29.0,2.0,2.0,0.0,,,,,,,,,,,,
31,PT09M36.00S,2024-12-24T03:15:04.5Z,1,REGULAR,3pt,Jump Shot,[],203952,6.258212877792378,3.9215686274509802,1610612744,10,5,2024-12-24T03:15:08Z,310000,False,230.0,6.0,1,left,A. Wiggins 3PT  (3 PTS) (D. Schröder 1 AST),"[203952, 203471]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Right Corner 3,24+ Right,23.05,Made,,,,,,,3.0,D. Schröder,203471.0,1.0,,,,,,,,
33,PT09M22.00S,2024-12-24T03:15:17.7Z,1,REGULAR,2pt,Jump Shot,[],1631097,94.95729303547962,80.3921568627451,1610612754,10,7,2024-12-24T03:15:21Z,330000,False,152.0,-5.0,1,right,B. Mathurin 15' pullup Jump Shot (5 PTS) (A. Nembhard 1 AST),"[1631097, 1629614]",1610612754.0,IND,pullup,,,Mathurin,B. Mathurin,,,,,Mid-Range,8-16 Right,15.21,Made,,,,,,,5.0,A. Nembhard,1629614.0,1.0,,,,,,,,
35,PT09M10.00S,2024-12-24T03:15:29.9Z,1,REGULAR,3pt,Jump Shot,[],203110,22.026938239159,7.107843137254902,1610612744,10,7,2024-12-24T03:15:34Z,350000,False,214.0,155.0,1,left,MISS D. Green 26' 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Right Center,26.44,Missed,,,,,,,,,,,,,,,,,,
36,PT09M07.00S,2024-12-24T03:15:32.9Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612754,10,7,2024-12-24T03:15:34Z,360000,False,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Right Center,,,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,
37,PT09M00.00S,2024-12-24T03:15:39.9Z,1,REGULAR,3pt,Jump Shot,[],1630169,70.25295663600527,80.3921568627451,1610612754,10,7,2024-12-24T03:15:45Z,370000,False,152.0,227.0,1,right,MISS T. Haliburton 27' pullup 3PT,[1630169],1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Right Center,27.33,Missed,,,,,,,,,,,,,,,,,,
38,PT08M57.00S,2024-12-24T03:15:42.9Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,10,7,2024-12-24T03:15:45Z,380000,False,,,0,,D. Green REBOUND (Off:0 Def:2),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Right Center,,,,,37.0,2.0,2.0,0.0,,,,,,,,,,,,
