actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-05T01:40:59.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-05T01:40:59Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-01-05T01:41:01.7Z,1,REGULAR,jumpball,recovered,[],1628991,,,1610612763,0,0,2025-01-05T01:41:01Z,40000,False,,,0,,Jump Ball Z. Edey vs. T. Jackson-Davis: Tip to J. Jackson Jr.,"[1628991, 1641744, 1631218]",1610612763.0,MEM,startperiod,J. Jackson Jr.,1628991.0,Jackson Jr.,J. Jackson Jr.,Edey,1641744.0,Jackson-Davis,1631218.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-01-05T01:41:14.6Z,1,REGULAR,2pt,Jump Shot,[],1630217,83.18002628120894,73.06219362745098,1610612763,0,2,2025-01-05T01:41:39Z,70000,False,115.0,106.0,1,right,D. Bane 15' step back Jump Shot (2 PTS),[1630217],1610612763.0,MEM,step back,,,Bane,D. Bane,,,,,Mid-Range,8-16 Right,15.64,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M23.00S,2025-01-05T01:41:35.1Z,1,REGULAR,3pt,Jump Shot,[],203471,30.962549277266753,72.54901960784314,1610612744,3,2,2025-01-05T01:41:39Z,80000,False,-113.0,239.0,1,left,D. Schröder 26' 3PT pullup (3 PTS),[203471],1610612744.0,GSW,pullup,,,Schröder,D. Schröder,,,,,Above the Break 3,24+ Left Center,26.38,Made,3.0,,,,,,,,,,,,,,,,,
9,PT11M05.00S,2025-01-05T01:41:53.3Z,1,REGULAR,turnover,bad pass,[],1630590,,,1610612763,3,2,2025-01-05T01:41:56Z,90000,False,,,0,,S. Pippen Jr. bad pass TURNOVER (1 TO),"[1630590, 1631218]",1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,1.0,Jackson-Davis,1631218.0,,,,,,,,,,,,,,
10,PT11M05.00S,2025-01-05T01:41:53.3Z,1,REGULAR,steal,,[],1631218,,,1610612744,3,2,2025-01-05T01:41:54Z,100000,False,,,0,,T. Jackson-Davis STEAL (1 STL),[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
11,PT10M59.00S,2025-01-05T01:41:59.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203110,30.305519053876477,66.91176470588235,1610612744,6,2,2025-01-05T01:42:08Z,110000,False,-85.0,232.0,1,left,D. Green 24' 3PT running (3 PTS) (T. Jackson-Davis 1 AST),"[203110, 1631218]",1610612744.0,GSW,running,,,Green,D. Green,,,,,Above the Break 3,24+ Left Center,24.73,Made,3.0,,,,T. Jackson-Davis,1631218.0,1.0,,,,,,,,,,,
13,PT10M38.00S,2025-01-05T01:42:20.3Z,1,REGULAR,3pt,Jump Shot,[],1628991,95.0886990801577,96.56862745098039,1610612763,6,2,2025-01-05T01:42:24Z,130000,False,233.0,-6.0,1,right,MISS J. Jackson Jr. step back 3PT,[1628991],1610612763.0,MEM,step back,,,Jackson Jr.,J. Jackson Jr.,,,,,Right Corner 3,24+ Right,23.29,Missed,,,,,,,,,,,,,,,,,,
14,PT10M37.00S,2025-01-05T01:42:21.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612744,6,2,2025-01-05T01:42:24Z,140000,False,,,0,,TEAM defensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,Right Corner 3,24+ Right,,,,,,,,,,13.0,,,,,,,,,,
16,PT10M21.00S,2025-01-05T01:42:49.7Z,1,REGULAR,3pt,Jump Shot,[],203471,32.013797634691194,66.91176470588235,1610612744,9,2,2025-01-05T01:43:15Z,160000,False,-85.0,248.0,1,left,D. Schröder 26' 3PT pullup (6 PTS) (T. Jackson-Davis 2 AST),"[203471, 1631218]",1610612744.0,GSW,pullup,,,Schröder,D. Schröder,,,,,Above the Break 3,24+ Left Center,26.24,Made,6.0,,,,T. Jackson-Davis,1631218.0,2.0,,,,,,,,,,,
18,PT10M18.00S,2025-01-05T01:42:55.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,9,2,2025-01-05T01:42:55Z,180000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M10.00S,2025-01-05T01:46:02.7Z,1,REGULAR,turnover,8-second-violation,['team'],0,,,1610612763,9,2,2025-01-05T01:46:11Z,190000,False,,,0,,MEM 8-second-violation Team TURNOVER,[],1610612763.0,MEM,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,204058.0,,,,,,,,,
