actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-02-25T00:40:38.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-25T00:40:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-02-25T00:40:41.2Z,1,REGULAR,jumpball,recovered,[],1642856,,,1610612751,0,0,2026-02-25T00:40:41Z,40000,False,,,0,,Jump Ball N. Claxton vs. D. Gafford: Tip to E. Dëmin,"[1642856, 1629651, 1629655]",1610612751.0,BKN,startperiod,E. Dëmin,1642856.0,Dëmin,E. Dëmin,Claxton,1629651.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2026-02-25T00:40:53.5Z,1,REGULAR,foul,personal,[],1630230,,,1610612751,0,0,2026-02-25T00:41:03Z,70000,False,,,0,,N. Marshall personal FOUL (1 PF),"[1630230, 1642856]",1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Mid-Range,8-16 Right,1151.0,1.0,0.0,Dëmin,1642856.0,,,,,,,,,,,,,,,
9,PT11M37.00S,2026-02-25T00:41:22.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629008,92.85479632063075,54.166666666666664,1610612751,2,0,2026-02-25T00:41:26Z,90000,False,21.0,15.0,1,right,M. Porter Jr. cutting Layup (2 PTS) (N. Claxton 1 AST),"[1629008, 1629651]",1610612751.0,BKN,cutting,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,,,2.55,Made,2.0,N. Claxton,1629651.0,1.0,,,,,,,,,
11,PT11M12.00S,2026-02-25T00:41:47.1Z,1,REGULAR,2pt,Jump Shot,[],203114,13.61695137976347,9.803921568627452,1610612742,2,2,2026-02-25T00:41:53Z,110000,False,201.0,75.0,1,left,K. Middleton 21' Jump Shot (2 PTS) (P. Washington 1 AST),"[203114, 1629023]",1610612742.0,DAL,,,,Middleton,K. Middleton,,,,,Mid-Range,16-24 Right,,,,,,21.47,Made,2.0,P. Washington,1629023.0,1.0,,,,,,,,,
13,PT11M05.00S,2026-02-25T00:41:54.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642856,93.11760840998686,50.245098039215684,1610612751,2,2,2026-02-25T00:41:58Z,130000,False,1.0,12.0,1,right,MISS E. Dëmin driving finger roll Layup,[1642856],1610612751.0,BKN,driving finger roll,,,Dëmin,E. Dëmin,,,,,Restricted Area,0-8 Center,,,,,,1.23,Missed,,,,,,,,,,,,,
14,PT11M03.00S,2026-02-25T00:41:56.8Z,1,REGULAR,rebound,defensive,[],203114,,,1610612742,2,2,2026-02-25T00:41:58Z,140000,False,,,0,,K. Middleton REBOUND (Off:0 Def:1),[203114],1610612742.0,DAL,,,,Middleton,K. Middleton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,
15,PT10M58.00S,2026-02-25T00:42:01.4Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1630230,7.178055190538765,21.568627450980394,1610612742,2,2,2026-02-25T00:42:38Z,150000,False,142.0,15.0,1,left,MISS N. Marshall 14' running pullup Shot,[1630230],1610612742.0,DAL,running pullup,,,Marshall,N. Marshall,,,,,Mid-Range,8-16 Right,,,,,,14.3,Missed,,,,,,,,,,,,,
16,PT10M55.00S,2026-02-25T00:42:04.4Z,1,REGULAR,rebound,defensive,[],1641730,,,1610612751,2,2,2026-02-25T00:42:38Z,160000,False,,,0,,N. Clowney REBOUND (Off:0 Def:1),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,
17,PT10M41.00S,2026-02-25T00:42:18.7Z,1,REGULAR,3pt,Jump Shot,[],1629008,69.85873850197109,20.833333333333336,1610612751,5,2,2026-02-25T00:42:25Z,170000,False,-146.0,231.0,1,right,M. Porter Jr. 27' 3PT  (5 PTS) (N. Claxton 2 AST),"[1629008, 1629651]",1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,27.3,Made,5.0,N. Claxton,1629651.0,2.0,,,,,,,,,
