actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-02-07T20:11:02.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-07T20:11:02Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-02-07T20:11:05.7Z,1,REGULAR,jumpball,recovered,[],1641730,,,1610612751,0,0,2026-02-07T20:11:05Z,40000,False,,,0,,Jump Ball N. Claxton vs. T. Vukcevic: Tip to N. Clowney,"[1641730, 1629651, 1641774]",1610612751.0,BKN,startperiod,N. Clowney,1641730.0,Clowney,N. Clowney,Claxton,1629651.0,Vukcevic,1641774.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2026-02-07T20:11:20.4Z,1,REGULAR,foul,personal,['2freethrow'],1642860,,,1610612751,0,0,2026-02-07T20:11:37Z,70000,False,,,0,,W. Riley shooting personal FOUL (1 PF) (Claxton 2 FT),"[1642860, 1629651]",1610612764.0,WAS,shooting,,,Riley,W. Riley,,,,,Restricted Area,0-8 Center,1627529.0,1.0,0.0,Claxton,1629651.0,,,,,,,,,,,,,,,
9,PT11M43.00S,2026-02-07T20:11:44.9Z,1,REGULAR,freethrow,1 of 2,[],1629651,,,1610612751,0,0,2026-02-07T20:11:44Z,90000,False,,,0,,MISS N. Claxton Free Throw 1 of 2,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
10,PT11M43.00S,2026-02-07T20:11:44.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612751,0,0,2026-02-07T20:11:44Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,
11,PT11M43.00S,2026-02-07T20:11:59.2Z,1,REGULAR,freethrow,2 of 2,[],1629651,,,1610612751,1,0,2026-02-07T20:11:59Z,110000,False,,,0,,N. Claxton Free Throw 2 of 2 (1 PTS),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
12,PT11M26.00S,2026-02-07T20:12:16.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642364,6.521024967148489,46.32352941176471,1610612764,1,0,2026-02-07T20:12:24Z,120000,False,18.0,9.0,1,left,MISS J. Watkins driving Layup,[1642364],1610612764.0,WAS,driving,,,Watkins,J. Watkins,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,2.04,,,,,,,,,,,
13,PT11M22.00S,2026-02-07T20:12:20.4Z,1,REGULAR,rebound,defensive,[],1642856,,,1610612751,1,0,2026-02-07T20:12:24Z,130000,False,,,0,,E. Dëmin REBOUND (Off:0 Def:1),[1642856],1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,Restricted Area,0-8 Center,,,,,,,12.0,,,1.0,1.0,0.0,,,,,,,,
14,PT11M18.00S,2026-02-07T20:12:24.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642856,84.57621550591328,94.6078431372549,1610612751,1,0,2026-02-07T20:14:19Z,140000,False,223.0,92.0,1,right,MISS E. Dëmin 24' running 3PT,[1642856],1610612751.0,BKN,running,,,Dëmin,E. Dëmin,,,,,Above the Break 3,24+ Right,,,,,,Missed,,,24.14,,,,,,,,,,,
15,PT11M18.00S,2026-02-07T20:12:24.5Z,1,REGULAR,rebound,offensive,[],1641730,,,1610612751,1,0,2026-02-07T20:12:28Z,150000,False,,,0,,N. Clowney REBOUND (Off:1 Def:0),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Right Center,,,,,,,14.0,,,1.0,0.0,1.0,,,,,,,,
16,PT11M18.00S,2026-02-07T20:12:27.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1641730,94.40999984741211,50.0,1610612751,1,0,2026-02-07T20:12:29Z,160000,False,0.0,0.0,1,right,MISS N. Clowney tip Layup,[1641730],1610612751.0,BKN,tip,,,Clowney,N. Clowney,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,0.0,,,,,,,,,,,
17,PT11M18.00S,2026-02-07T20:12:27.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612764,1,0,2026-02-07T20:12:29Z,170000,False,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,16.0,,,,,,,,,,,,,
19,PT11M01.00S,2026-02-07T20:12:51.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630551,6.652431011826544,47.794117647058826,1610612764,1,0,2026-02-07T20:12:57Z,190000,False,11.0,10.0,1,left,MISS J. Champagnie driving floating bank Shot,[1630551],1610612764.0,WAS,driving floating bank,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,1.49,,,,,,,,,,,
20,PT10M59.00S,2026-02-07T20:12:54.0Z,1,REGULAR,rebound,offensive,[],1630551,,,1610612764,1,0,2026-02-07T20:12:54Z,200000,False,,,0,,J. Champagnie REBOUND (Off:1 Def:0),[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,,,,,,,19.0,,,1.0,0.0,1.0,,,,,,,,
21,PT10M59.00S,2026-02-07T20:12:55.9Z,1,REGULAR,foul,personal,['2freethrow'],1642856,,,1610612764,1,0,2026-02-07T20:18:10Z,210000,False,,,0,,E. Dëmin shooting personal FOUL (1 PF) (Champagnie 2 FT),"[1642856, 1630551]",1610612751.0,BKN,shooting,,,Dëmin,E. Dëmin,,,,,Restricted Area,0-8 Center,1627529.0,1.0,0.0,Champagnie,1630551.0,,,,,,,,,,,,,,,
