actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-12-19T00:40:54.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-19T00:40:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-12-19T00:40:56.6Z,1,REGULAR,jumpball,recovered,[],1629611,,,1610612751,0,0,2025-12-19T00:40:56Z,40000,False,,,0,,Jump Ball N. Claxton vs. K. Ware: Tip to T. Mann,"[1629611, 1629651, 1642276]",1610612751.0,BKN,startperiod,T. Mann,1629611.0,Mann,T. Mann,Claxton,1629651.0,Ware,1642276.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-12-19T00:41:14.9Z,1,REGULAR,3pt,Jump Shot,[],1629008,72.48685939553219,81.86274509803921,1610612751,0,0,2025-12-19T00:48:57Z,70000,False,159.0,206.0,1,right,MISS M. Porter Jr. 26' 3PT,[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,26.05,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2025-12-19T00:41:15.9Z,1,REGULAR,rebound,defensive,[],1626181,,,1610612748,0,0,2025-12-19T00:41:56Z,80000,False,,,0,,N. Powell REBOUND (Off:0 Def:1),[1626181],1610612748.0,MIA,,,,Powell,N. Powell,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M39.00S,2025-12-19T00:41:18.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628389,8.754927726675426,47.05882352941176,1610612748,0,2,2025-12-19T00:49:03Z,90000,False,15.0,30.0,1,left,B. Adebayo running Layup (2 PTS) (N. Powell 1 AST),"[1628389, 1626181]",1610612748.0,MIA,running,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,3.32,Made,,,,,2.0,N. Powell,1626181.0,1.0,,,,,,,,,,
10,PT11M23.00S,2025-12-19T00:41:30.7Z,1,REGULAR,3pt,Jump Shot,[],1641730,74.19513797634691,83.82352941176471,1610612751,0,2,2025-12-19T00:49:09Z,100000,False,169.0,190.0,1,right,MISS N. Clowney 25' 3PT,[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Right Center,25.44,Missed,,,,,,,,,,,,,,,,,,
11,PT11M23.00S,2025-12-19T00:41:30.7Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,0,2,2025-12-19T00:54:32Z,110000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Right Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
94,PT11M22.00S,2025-12-19T00:41:35.5Z,1,REGULAR,turnover,out-of-bounds,[],1628389,,,1610612748,0,2,2025-12-19T00:55:09Z,115000,False,,,0,,B. Adebayo step out-of-bounds TURNOVER (1 TO),[1628389],1610612748.0,MIA,step,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1151.0,1.0,,,,,,,,
13,PT11M15.00S,2025-12-19T00:42:00.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629611,91.01511169513797,56.86274509803921,1610612751,0,2,2025-12-19T00:55:09Z,130000,False,34.0,32.0,1,right,MISS T. Mann turnaround Shot,[1629611],1610612751.0,BKN,turnaround,,,Mann,T. Mann,,,,,In The Paint (Non-RA),0-8 Center,4.69,Missed,,,,,,,,,,,,,,,,,,
14,PT11M12.00S,2025-12-19T00:42:03.9Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,0,2,2025-12-19T00:42:09Z,140000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Right,,,13.0,2.0,2.0,0.0,,,,,,,,,,,,,,
