actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-02T23:10:58.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-02T23:10:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-11-02T23:11:09.9Z,1,REGULAR,jumpball,recovered,[],1631133,,,1610612755,0,0,2025-11-02T23:11:09Z,40000,False,,,0,,Jump Ball A. Bona vs. N. Claxton: Tip to J. Walker,"[1631133, 1641737, 1629651]",1610612755.0,PHI,startperiod,J. Walker,1631133.0,Walker,J. Walker,Bona,1641737.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-11-02T23:11:22.6Z,1,REGULAR,3pt,Jump Shot,[],1630178,30.962549277266753,70.34313725490196,1610612755,0,3,2025-11-02T23:11:26Z,70000,False,-102.0,239.0,1,left,T. Maxey 25' 3PT pullup (3 PTS),[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,25.93,Made,3.0,,,,,,,,,,,,,,,,,
8,PT11M18.00S,2025-11-02T23:11:49.6Z,1,REGULAR,foul,personal,['2freethrow'],1631133,,,1610612751,0,3,2025-11-02T23:12:07Z,80000,False,,,0,,J. Walker shooting personal FOUL (1 PF) (Thomas 2 FT),"[1631133, 1630560]",1610612755.0,PHI,shooting,,,Walker,J. Walker,,,,,In The Paint (Non-RA),8-16 Center,,,,2002.0,1.0,0.0,Thomas,1630560.0,,,,,,,,,,,,
10,PT11M18.00S,2025-11-02T23:12:22.8Z,1,REGULAR,freethrow,1 of 2,[],1630560,,,1610612751,1,3,2025-11-02T23:12:22Z,100000,False,,,0,,C. Thomas Free Throw 1 of 2 (1 PTS),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
11,PT11M18.00S,2025-11-02T23:12:38.2Z,1,REGULAR,freethrow,2 of 2,[],1630560,,,1610612751,2,3,2025-11-02T23:12:38Z,110000,False,,,0,,C. Thomas Free Throw 2 of 2 (2 PTS),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
12,PT11M01.00S,2025-11-02T23:12:56.6Z,1,REGULAR,3pt,Jump Shot,[],1642845,27.677398160315374,23.52941176470588,1610612755,2,3,2025-11-02T23:13:02Z,120000,False,132.0,208.0,1,left,MISS V. Edgecombe 24' 3PT,[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,Above the Break 3,24+ Right Center,24.63,Missed,,,,,,,,,,,,,,,,,,
13,PT10M59.00S,2025-11-02T23:12:58.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,2,3,2025-11-02T23:13:02Z,130000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,12.0,,,,,,,,,,,
15,PT10M49.00S,2025-11-02T23:13:24.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641737,11.251642575558476,47.30392156862745,1610612755,2,3,2025-11-02T23:13:30Z,150000,False,13.0,53.0,1,left,MISS A. Bona Layup,[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,In The Paint (Non-RA),0-8 Center,5.5,Missed,,,,,,,,,,,,,,,,,,
16,PT10M46.00S,2025-11-02T23:13:27.4Z,1,REGULAR,rebound,offensive,[],1641737,,,1610612755,2,3,2025-11-02T23:14:04Z,160000,False,,,0,,A. Bona REBOUND (Off:1 Def:0),[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,
